"","fly","class","order","family","genus.species","common.name","sum_mass","trial.diet","N_tot","total_transit","transit","avg_mass","re_class"
"1","Y","Aves","Passeriformes","Meliphagidae","Acanthagenys refogularis","spiny cheeked honeyeater",54.5,"fruit/nectar/pollen",6,243.40000002,40.56666667,9.08333333333333,"Flying Birds"
"2","Y","Aves","Falconiformes","Accipitridae","Accipiter gentilis","goshawk",997.5,"meat",4,86.36,21.59,249.375,"Flying Birds"
"3","Y","Aves","Passeriformes","Pyconotidae","Adropadus milanjenis","stripe-cheeked greenbul",45,"fruit/nectar/pollen",90,2970,33,0.5,"Flying Birds"
"4","Y","Aves","Stringiformes","Stringidae","Aegolius acadicus","saw-whet owl",75,"meat",1,10.04,10.04,75,"Flying Birds"
"5","N","Mammalia","Carnivora","Ailuridae","Ailurus fulgens","red panda",5130,"fiber/foliage",3,540,180,1710,"Carnivora"
"6","N","Mammalia","Artiodactyla","Cervidae","Alces alces","moose",1119000,"fiber/foliage",11,9300,845.454545454545,101727.272727273,"Artiodactyla"
"7","N","Mammalia","Primates","Cercopithecidae","Allenopithecus nigroviridis","Allen’s swamp monkey",9800,"fiber/foliage",3,3960,1320,3266.66666666667,"Primates"
"8","Y","Aves","Passeriformes","Pyconotidae","Alophoixus pallidus","Puff-throated Bulbul",42.7,"fruit/nectar/pollen",2,88,44,21.35,"Flying Birds"
"9","N","Mammalia","Primates","Atelidae","Alouatta caraya ","black howler monkey",16220,"fiber/foliage",6,4680,780,2703.33333333333,"Primates"
"10","N","Mammalia","Primates","Atelidae","Alouatta palliata","mantled howler monkey",6900,"protein",4,4896,1224,1725,"Primates"
"11","N","Mammalia","Primates","Atelidae","Alouatta palliata","mantled howler monkey",36900,"fiber/foliage",12,7560,630,3075,"Primates"
"12","N","Mammalia","Primates","Atelidae","Alouatta palliata mexicana","Mexican howler monkey",7500,"fiber/foliage",1,1224,1224,7500,"Primates"
"13","N","Mammalia","Primates","Atelidae","Alouatta pigra","Yucatan black howler",8900,"fiber/foliage",1,1380,1380,8900,"Primates"
"14","N","Mammalia","Primates","Atelidae","Alouatta sara","Bolivian red howler monkey",49080,"fiber/foliage",12,24120,2010,4090,"Primates"
"15","Y","Mammalia","Chiroptera","Phyllostomidae","Anoura geoffroyi","Geoffrey's tailless bat",43.9,"fruit/nectar/pollen",22,2460,111.818181818182,1.99545454545455,"Chiroptera"
"16","Y","Aves","Passeriformes","Pycnonotidae","Arizelocichla tephrolaemus","western greenbul",43.5,"fruit/nectar/pollen",4,71.2,17.8,10.875,"Flying Birds"
"17","Y","Mammalia","Chiroptera","Phyllostomidae","Artibeus jamaicensis","Jamaican fruit bat",159.9,"fruit/nectar/pollen",26,2921.1,112.35,6.15,"Chiroptera"
"18","Y","Mammalia","Chiroptera","Phyllostomidae","Artibeus lituratus","great fruit-eating bat",200.7,"fruit/nectar/pollen",90,5190,57.6666666666667,2.23,"Chiroptera"
"19","Y","Aves","Stringiformes","Stringidae","Asio flammeus","short eared owl",340.5,"meat",1,10.22,10.22,340.5,"Flying Birds"
"20","N","Mammalia","Primates","Atelidae","Ateles geoffroyi","Geoffroy's spider monkey",7600,"protein",9,2376,264,844.444444444444,"Primates"
