"","fly","class","order","family","genus.species","common.name","sum_mass","trial.diet","N_tot","total_transit","transit","avg_mass","re_class"
"21","N","Mammalia","Primates","Atelidae","Ateles paniscus","red-faced spider monkey",7800,"protein",4,1260,315,1950,"Primates"
"22","N","Reptilia","Squamata","Viperidae","Atheris nitscheri","Great Lakes bush viper",0,"meat",3,31104,10368,0,"Reptilia"
"23","N","Reptilia","Squamata","Viperidae","Bitis arietans","puff ader",945.4,"meat",5,212400,42480,189.08,"Reptilia"
"24","N","Reptilia","Squamata","Viperidae","Bitis gabonica","Gaboon viper",1172,"meat",8,1324800,165600,146.5,"Reptilia"
"25","Y","Aves","Passeriformes","Bombycillidae","Bombycilla cedrorum","Cedar Waxwing",33,"fruit/nectar/pollen",8,40,5,4.125,"Flying Birds"
"26","N","Mammalia","Artiodactyla","Bovidae","Bos taurus","cow",5765156,"fiber/foliage",74,53201.7857144,718.943050194595,77907.5135135135,"Artiodactyla"
"27","N","Mammalia","Artiodactyla","Bovidae","Bos taurus","belgian blue cow",575000,"fiber/foliage",14,20160,1440,41071.4285714286,"Artiodactyla"
"28","N","Mammalia","Artiodactyla","Bovidae","Bos taurus","cow",755000,"fruit/nectar/pollen",1,9354,9354,755000,"Artiodactyla"
"29","Y","Mammalia","Chiroptera","Phyllostomidae","Brachyphylla nana","Antillean nectar bat",34.3,"fruit/nectar/pollen",8,326.4,40.8,4.2875,"Chiroptera"
"30","N","Mammalia","Primates","Atelidae","Brachyteles arachnoides","southern muriqui",12000,"protein",1,480,480,12000,"Primates"
"31","N","Mammalia","Artiodactyla","Bovidae","Bubalus bubalis","swamp buffalo",2625006,"fiber/foliage",16,5640,352.5,164062.875,"Artiodactyla"
"32","Y","Aves","Stringiformes","Stringidae","Bubo virginianus","great horned owl",1500,"meat",4,53,13.25,375,"Flying Birds"
"33","Y","Aves","Accipitriformes","Accipitridae","Buteo jamaicensis","Red-tailed hawks",1009.5,"meat",9,900,100,112.166666666667,"Flying Birds"
"34","Y","Aves","Falconiformes","Accipitridae","Buteo jamaicensis","red tail hawk",1100,"meat",6,135.24,22.54,183.333333333333,"Flying Birds"
"35","Y","Aves","Falconiformes","Accipitridae","Buteo lagopus","rough legged hawk",1062.5,"meat",3,65.13,21.71,354.166666666667,"Flying Birds"
"36","Y","Aves","Falconiformes","Accipitridae","Buteo platypterus","broad winged hawk",412.5,"meat",2,43.4,21.7,206.25,"Flying Birds"
"37","Y","Aves","Coraciiformes","Bucerotidae","Bycanistes bucinator","Trumpeter hornbill",743,"fruit/nectar/pollen",2,154,77,371.5,"Flying Birds"
"38","N","Mammalia","Primates","Pitheciidae","Cacajao calvus"," bald uakari",3000,"protein",2,600,300,1500,"Primates"
"39","N","Mammalia","Primates","Cebidae","Callithrix jacchus","common marmoset",696,"fruit/nectar/pollen",6,1296,216,116,"Primates"
"40","N","Mammalia","Primates","Callitrichidae","Callithrix jacchus","common marmoset",492,"fruit/nectar/pollen",16,3440,215,30.75,"Primates"
"41","N","Mammalia","Carnivora","Canidae","Canis familiaris","domestic dog",414900,"protein",99,174064.8,1758.2303030303,4190.90909090909,"Carnivora"
"42","N","Mammalia","Carnivora","Canidae","Canis familiaris","domestic dog",11550,"meat",6,10980,1830,1925,"Carnivora"
"43","N","Mammalia","Carnivora","Canidae","Canis familiaris","domestic dog",11339.825,"fiber/foliage",5,2166,433.2,2267.965,"Carnivora"
"44","N","Mammalia","Artiodactyla","Bovidae","Capra hircus","domestic goat",31000,"fiber/foliage",27,81864,3032,1148.14814814815,"Artiodactyla"
"45","N","Mammalia","Artiodactyla","Bovidae","Capra nubiana","Nunian ibex",166400,"fiber/foliage",16,10224,639,10400,"Artiodactyla"
"46","N","Mammalia","Carnivora","Felidae","Caracal caracal","Caracal",25950,"protein",6,8640,1440,4325,"Carnivora"
"47","Y","Aves","Falconiformes","Falconidae","Caracara plancus","Southern crested caracara",1348,"meat",6,4020,670,224.666666666667,"Flying Birds"
"48","Y","Aves","Falconiformes","Falconidae","Caracara plancus","caracara",1250,"meat",1,19.58,19.58,1250,"Flying Birds"
"49","N","Reptilia","Testudines","Cheloniidae","Caretta caretta","Loggerhead sea turtle",10187.5,"unknown",8,204480,25560,1273.4375,"Reptilia"
"50","N","Reptilia","Testudines","Cheloniidae","Caretta caretta","Loggerhead sea turtle",13300,"protein",22,286704,13032,604.545454545455,"Reptilia"
"51","N","Reptilia","Testudines","Cheloniidae","Caretta caretta","Loggerhead sea turtle",14380,"meat",8,152640,19080,1797.5,"Reptilia"
"52","Y","Mammalia","Chiroptera","Phyllostomidae","Carollia perspicillata","Seba's short-tailed bat",17.3,"unknown",5,600,120,3.46,"Chiroptera"
"53","Y","Mammalia","Chiroptera","Phyllostomidae","Carollia perspicillata","Seba's short-tailed bat",33,"fruit/nectar/pollen",24,553.2,23.05,1.375,"Chiroptera"
"54","Y","Mammalia","Chiroptera","Phyllostomidae","Carollia perspicillata","Seba's short-tailed bat ",18,"fruit/nectar/pollen",6,133.8,22.3,3,"Chiroptera"
"55","N","Aves","Casuariiformes","Cassuaridae","Casuaris casuaris","Southern Cassuary",0,"fruit/nectar/pollen",82,36640,446.829268292683,0,"Non-Flying Birds"
"56","N","Mammalia","Rodentia","Caviidae","Cavia porcellus","guinea pig",11212,"fiber/foliage",66,18359.4,278.172727272727,169.878787878788,"Rodentia"
"57","N","Mammalia","Primates","Callitrichidae","Cebuella pygmaea","pygmy marmoset",200,"fruit/nectar/pollen",6,2460,410,33.3333333333333,"Primates"
"58","N","Mammalia","Primates","Cebidae","Cebus apella","tufted capuchin",3500,"protein",1,210,210,3500,"Primates"
"59","N","Mammalia","Primates","Cebidae","Cebus capucinus","Colombian white-faced capuchin",3000,"protein",3,630,210,1000,"Primates"
"60","N","Mammalia","Primates","Cercopithecidae","Cercopithecus aethiops","Vervet Monkey",5950,"fiber/foliage",1,1200,1200,5950,"Primates"
"61","N","Mammalia","Primates","Cercopithecidae","Cercopithecus albogularis schwarzi","samango monkey",5350,"fruit/nectar/pollen",2,2505,1252.5,2675,"Primates"
"62","N","Mammalia","Primates","Cercopithecidae","Cercopithecus ascanius","Red-tailed monkey",8785,"fruit/nectar/pollen",3,3600,1200,2928.33333333333,"Primates"
"63","N","Mammalia","Primates","Cercopithecidae","Cercopithecus erythrotis","Red-eared guenon",3585,"fruit/nectar/pollen",1,1236,1236,3585,"Primates"
"64","N","Mammalia","Primates","Cercopithecidae","Cercopithecus lhoesti","L’Hoest’s monkey",3550,"fiber/foliage",2,2832,1416,1775,"Primates"
"65","N","Mammalia","Primates","Cercopithecidae","Cercopithecus mitis","Blue monkey",8600,"fruit/nectar/pollen",2,2028,1014,4300,"Primates"
"66","N","Mammalia","Primates","Cercopithecidae","Cercopithecus mitis","blue monkey",12400,"protein",16,40256,2516,775,"Primates"
"67","N","Mammalia","Primates","Cercopithecidae","Cercopithecus neglectus","De Brazza's monkey",6500,"fruit/nectar/pollen",2,2472,1236,3250,"Primates"
"68","N","Mammalia","Primates","Cercopithecidae","Cercopithecus pogonias","Crested mona monkey",3300,"fruit/nectar/pollen",2,1992,996,1650,"Primates"
"69","N","Mammalia","Primates","Cercopithecidae","Cercopithecus talapoin","Talapoin monkey",1600,"fruit/nectar/pollen",2,1440,720,800,"Primates"
"70","N","Mammalia","Carnivora","Canidae","Cerdocyon thous","crab-eating fox",5600,"fruit/nectar/pollen",2,924,462,2800,"Carnivora"
"71","N","Mammalia","Artiodactyla","Cervidae","Cervus elaphus","red deer",74500,"fiber/foliage",12,5544,462,6208.33333333333,"Artiodactyla"
"72","N","Mammalia","Artiodactyla","Cervidae","Cervus elaphus canadensis","wapiti",422833.33,"fiber/foliage",36,31440,873.333333333333,11745.3702777778,"Artiodactyla"
"73","N","Reptilia","Testudines","Cheloniidae","Chelonia mydas","green sea turtle",12200,"meat",13,181497.6,13961.3538461538,938.461538461538,"Reptilia"
"74","N","Mammalia","Primates","Pitheciidae","Chiropotes albinasus","white-nosed saki",3000,"protein",2,600,300,1500,"Primates"
"75","N","Mammalia","Carnivora","Canidae","Chrysocyon brachyurus","maned wolf",51600,"protein",12,1951.2,162.6,4300,"Carnivora"
"76","Y","Aves","Passeriformes","Nectariniidae","Cinnyris osea","Palestine sunbird",6.15,"fruit/nectar/pollen",14,484.4,34.6,0.439285714285714,"Flying Birds"
"77","N","Mammalia","Primates","Cercopithecidae","Colobus guereza","black and white colubus monkey",6480,"fiber/foliage",6,13800,2300,1080,"Primates"
"78","Y","Aves","Columbiformes","Columbidae","Columba livia","Rock dove",358.7,"fiber/foliage",6,1620,270,59.7833333333333,"Flying Birds"
"79","N","Reptilia","Squamata","Boidae","Corallus caninus","emerald tree boa",1500,"meat",8,292608,36576,187.5,"Reptilia"
"80","N","Reptilia","Squamata","Cordylidae","Cordylus melanotus","common crag lizard",47.6,"protein",19,164491.17,8657.43,2.50526315789474,"Reptilia"
"81","Y","Aves","Galliformes","Phasianidae","Coturnix coturnix japonica","Japanese quail",144,"protein",64,4992,78,2.25,"Flying Birds"
"82","Y","Mammalia","Chiroptera","Pteropodidae","Cynopterus brachyotis","Lesser Short-nosed Fruit Bat",37.3,"fruit/nectar/pollen",10,130,13,3.73,"Chiroptera"
"83","Y","Mammalia","Chiroptera","Pteropodidae","Cynopterus sphinx","Greater short-nosed fruit bat",75.3,"fruit/nectar/pollen",7,2809.8,401.4,10.7571428571429,"Chiroptera"
"84","N","Mammalia","Artiodactyla","Cervidae","Dama dama","Fallow Deer",105000,"fruit/nectar/pollen",4,6000,1500,26250,"Artiodactyla"
"85","N","Mammalia","Artiodactyla","Monodontidae","Delphinapterus leucas","beluga whale",1351666.6633,"meat",13,39240,3018.46153846154,103974.358715385,"Artiodactyla"
"86","Y","Aves","Passeriformes","Dicaeidae","Dicaeum hirundinaceum","mistletoe bird",9.25,"fruit/nectar/pollen",4,54.66666668,13.66666667,2.3125,"Flying Birds"
"87","N","Mammalia","Perissodactyla","Rhinocerotidae","Diceros bicornis","black rhinoceros",2386000,"fiber/foliage",12,9417.6,784.8,198833.333333333,"Perissodactyla"
"88","N","Mammalia","Rodentia","Caviidae","Dolichotis patagonum","Patagonian mara",14800,"fiber/foliage",6,3600,600,2466.66666666667,"Rodentia"
"89","N","Aves","Struthioniformes","Dromaiidae","Dromaius novaehollandiae","emu",99000,"fiber/foliage",6,1082.764849,180.460808166667,16500,"Non-Flying Birds"
"90","N","Aves","Casuariiformes","Cassuaridae","Dromaius novaehollandiae","emu",0,"fruit/nectar/pollen",9,32400,3600,0,"Non-Flying Birds"
"91","Y","Mammalia","Chiroptera","Pteropodidae","Eidolon helvum","Straw-colored fruit bat",270.65,"fruit/nectar/pollen",20,2320,116,13.5325,"Chiroptera"
"92","N","Reptilia","Squamata","Colubridae","Elaphe obsoleta","black rat snake",500,"meat",10,37440,3744,50,"Reptilia"
"93","N","Reptilia","Testudines","Chelidae","Emydura macquarii","Australian short-necked turtle",4000,"meat",8,38160,4770,500,"Reptilia"
"94","N","Reptilia","Testudines","Chelidae","Emydura macquarii","Australian short-necked turtle",4000,"fiber/foliage",8,90720,11340,500,"Reptilia"
"95","Y","Mammalia","Chiroptera","Pteropodidae","Epomops buettikoferi","Buettikofer's epauletted fruit bat ",136,"fruit/nectar/pollen",1,69,69,136,"Chiroptera"
"96","Y","Mammalia","Chiroptera","Vespertilionidae","Eptesicus fuscus","Big Brown Bat",17.23,"protein",22,2684,122,0.783181818181818,"Chiroptera"
"97","Y","Mammalia","Chiroptera","Vespertilionidae","Eptesicus serotinus","Serotine bat",23.1,"protein",5,440,88,4.62,"Chiroptera"
"98","N","Mammalia","Perissodactyla","Equidae","Equus asinus","donkey",246000,"fiber/foliage",10,10290,1029,24600,"Perissodactyla"
"99","N","Mammalia","Perissodactyla","Equidae","Equus caballus","horse",2100500,"fiber/foliage",21,77216.3522144,3676.96915306667,100023.80952381,"Perissodactyla"
"100","N","Mammalia","Perissodactyla","Equidae","Equus ferus","horse",380000,"fiber/foliage",6,114048,19008,63333.3333333333,"Perissodactyla"
"101","Y","Aves","Passeriformes","Muscicapidae","Erithacus rubecula","European robin",19,"unkown",38,1546.6,40.7,0.5,"Flying Birds"
"102","N","Mammalia","Primates","Lemuridae","Eulemer rubriventer","Red-bellied lemur",2000,"fruit/nectar/pollen",12,2575.2,214.6,166.666666666667,"Primates"
"103","N","Mammalia","Primates","Lemuridae","Eulemer rufifrons","Red-fronted brown lemur",2250,"fruit/nectar/pollen",12,2280.96,190.08,187.5,"Primates"
"104","N","Mammalia","Primates","Lemuridae","Eulemur fulvus","common brown lemur",2258.6,"fiber/foliage",6,1152,192,376.433333333333,"Primates"
"105","Y","Aves","Passeriformes","Pycnonotidae","Eurillas latirostris","yellow-whiskered greenbul",29,"fruit/nectar/pollen",4,51.6,12.9,7.25,"Flying Birds"
"106","Y","Aves","Falconiformes","Falconidae","Falco tinnunculus","kestrel",170,"meat",1,23.55,23.55,170,"Flying Birds"
"107","N","Mammalia","Carnivora","Felidae","Felis catus","domestic cat",11495,"protein",50,75514.2,1510.284,229.9,"Carnivora"
"108","Y","Aves","Passeriformes","Muscicapidae","Ficedula hypoleuca","European pied flycatcher",13,"unkown",3,174.9,58.3,4.33333333333333,"Flying Birds"
"109","N","Mammalia","Primates","Galagidae","Galago moholi","Mohol bush baby",400,"protein",16,1920,120,25,"Primates"
"110","Y","Aves","Musophagiformes","Musophagidae","Gallirex johnstoni","Ruwenzori Turaco",1425,"fruit/nectar/pollen",30,880,29.3333333333333,47.5,"Flying Birds"
"111","Y","Aves","Galliformes","Phasianidae","Gallus gallus","chicken",7500,"fiber/foliage",30,3960,132,250,"Flying Birds"
"112","Y","Aves","Galliformes","Phasianidae","Gallus gallus domesticus","domestic chicken",18061.4,"fiber/foliage",233,41275.7333336,177.149070101288,77.5167381974249,"Flying Birds"
"113","N","Mammalia","Primates","Hominidae","Gorilla gorilla","gorilla",215300,"fruit/nectar/pollen",6,13255.2,2209.2,35883.3333333333,"Primates"
"114","N","Mammalia","Primates","Hominidae","Gorilla gorilla","Western lowland gorilla",105000,"fruit/nectar/pollen",5,2400,480,21000,"Primates"
"115","Y","Aves","Falconiformes","Accipitridae","Haliaeetus leucocephalus","bald eagle",4300,"meat",3,65.22,21.74,1433.33333333333,"Flying Birds"
"116","N","Mammalia","Primates","Lemuridae","Hapalemur griseus","Eastern lesser bamboo lemur",1050,"fiber/foliage",6,10900.8,1816.8,175,"Primates"
"117","N","Mammalia","Primates","Hominidae","Homo sapien","human",338500,"fiber/foliage",60,179496,2991.6,5641.66666666667,"Primates"
"118","N","Mammalia","Primates","Hominidae","Homo sapiens","human",67000,"protein",3,4680,1560,22333.3333333333,"Primates"
"119","N","Mammalia","Carnivora","Phocidae","Hydrurga leptonyx","leopard seals",786000,"meat",5,15462,3092.4,157200,"Carnivora"
"120","N","Mammalia","Primates","Hylobatidae","Hylobates lar","white-handed gibbon",11920,"fiber/foliage",8,7680,960,1490,"Primates"
"121","N","Reptilia","Squamata","Iguanidae","Iguana iguana","Green iguana",2350,"fiber/foliage",5,18720,3744,470,"Reptilia"
"122","N ","Mammalia","Artiodactyla","Delphinidae","Lagenorhynchus obscurus","dusky dolphin",67500,"meat",1,150,150,67500,"Artiodactyla"
"123","Y","Aves","Galliformes","Phasianidae","Lagopus muta","Rock Ptarmigan",1080,"unknown",6,882,147,180,"Flying Birds"
"124","N","Mammalia","Primates","Atelidae","Lagothrix lagothricha","Woolly Monkey",7000,"fruit/nectar/pollen",30,20160,672,233.333333333333,"Primates"
"125","N","Mammalia","Primates","Atelidae","Lagothrix lagotricha","common woolly monkey",6500,"protein",3,1215,405,2166.66666666667,"Primates"
"126","N","Mammalia","Artiodactyla","Camelidae","Lama glama","llama",2500,"protein",6,19800,3300,416.666666666667,"Artiodactyla"
"127","N","Mammalia","Rodentia","Cricetidae","Lasiopodomys brandtii","Brandt's vole",4.9,"fruit/nectar/pollen",11,495,45,0.445454545454545,"Rodentia"
"128","N","Mammalia","Primates","Callitrichidae","Leontopithecus rosalia","golden lion marmoset",1200,"fruit/nectar/pollen",14,4165,297.5,85.7142857142857,"Primates"
"129","Y","Mammalia","Chiroptera","Phyllostomidae","Leptonycteris curasoae","Southern long-nosed bat",23.3,"fruit/nectar/pollen",5,575,115,4.66,"Chiroptera"
"130","Y","Mammalia","Chiroptera","Pteropodidae","Lissonycteris angolensis","Angolan rousette",58.5,"fruit/nectar/pollen",1,50,50,58.5,"Chiroptera"
"131","N","Mammalia","Carnivora","Mustelidae","Lontra canadensis","northern river otter",9500,"meat",9,3969,441,1055.55555555556,"Carnivora"
"132","N","Mammalia","Primates","Cercopithecidae","Lophocebus albigena","Gray-cheecked mangabey",5300,"fruit/nectar/pollen",2,2724,1362,2650,"Primates"
"133","N","Mammalia","Carnivora","Mustelidae","Lotra canadensis","north american river otter",29400,"meat",9,1596,177.333333333333,3266.66666666667,"Carnivora"
"134","N","Mammalia","Carnivora","Mustelidae","Lutra canadensus","Northern river otter",9500,"protein",12,2424,202,791.666666666667,"Carnivora"
"135","N","Mammalia","Carnivora","Canidae","Lycalopex gymnocercus","pampa fox",4210,"fruit/nectar/pollen",2,816,408,2105,"Carnivora"
"136","N","Mammalia","Primates","Cercopithecidae","Macaca cyclopis","Taiwanese macaque",16620,"fiber/foliage",12,13608,1134,1385,"Primates"
"137","N","Mammalia","Primates","Cercopithecidae","Macaca fascicularis","long-tailed macaque",9380,"fiber/foliage",8,9888,1236,1172.5,"Primates"
"138","N","Mammalia","Primates","Cercopithecidae","Macaca fuscata","Japanese macaque",8600,"fruit/nectar/pollen",5,6600,1320,1720,"Primates"
"139","Y","Aves","Passeriformes","Pipridae","Manacus vittelinus","golden-collared manakin",17.9,"fruit/nectar/pollen",8,133.86666664,16.73333333,2.2375,"Flying Birds"
"140","N","Mammalia","Rodentia","Sciuridae","Marmota caligata","hoary marmot",4616,"protein",12,10836,903,384.666666666667,"Rodentia"
"141","N","Mammalia","Carnivora","Mustelidae","Martes americana","american marten",950,"mixed",6,1620,270,158.333333333333,"Carnivora"
"142","N","Mammalia","Carnivora","Mustelidae","Martes melampus","Japanese marten",1400,"meat",4,1776,444,350,"Carnivora"
"143","N","Mammalia","Carnivora","Mustelidae","Martes melampus","Japanese Marten",0,"mixed",12,1634.4,136.2,0,"Carnivora"
"144","Y","Aves","Piciformes","Megalaimidae","Megalaima nuchalis","Taiwan Barbets",1440,"fruit/nectar/pollen",126,3388.7,26.8944444444444,11.4285714285714,"Flying Birds"
"145","N","Mammalia","Carnivora","Mustelidae","Melogale moschata","chinese ferret-badger",2000,"fruit/nectar/pollen",35,7413,211.8,57.1428571428571,"Carnivora"
"146","N","Mammalia","Rodentia","Muridae","Meriones unguiculatus","Mongolian gerbils",51.3,"fiber/foliage",11,742.5,67.5,4.66363636363636,"Rodentia"
"147","N","Mammalia","Rodentia","Cricetidae","Mesocricetus auratus","hamster",210,"fiber/foliage",14,6084,434.571428571429,15,"Rodentia"
"148","N","Mammalia","Rodentia","Cricetidae","Microtus townsendii","Townsend vole",109.8,"protein",12,1224,102,9.15,"Rodentia"
"149","N","Mammalia","Carnivora","Phocidae","Mirounga angustirostris","northern elephant seal",750000,"protein",13,3744,288,57692.3076923077,"Carnivora"
"150","Y","Mammalia","Chiroptera","Molossidae","Molossus molossus","Velvety free-tailed bat",10.7,"unknown",5,600,120,2.14,"Chiroptera"
"151","N","Mammalia","Carnivora","Phocidae","Monachus schauinslandi","Hawaiian monk seal",186000,"meat",3,2520,840,62000,"Carnivora"
"152","Y","Aves","Pelecaniformes","Sulidae","Morus capensis","cape gannet",2600,"meat",4,50.8,12.7,650,"Flying Birds"
"153","Y","Aves","Passeriformes","Muscicapidae","Muscicaps striata","Spotted flycatcher",17,"unkown",4,192,48,4.25,"Flying Birds"
"154","N","Mammalia","Carnivora","Mustelidae","Mustela putorius furo","European ferret",1357,"protein",18,3272.4,181.8,75.3888888888889,"Carnivora"
"155","N","Mammalia","Rodentia","Echimyidae","Myocastor coypus","nutria",8800,"fiber/foliage",10,3240,324,880,"Rodentia"
"156","Y","Mammalia","Chiroptera","Pteropodidae","Myonycteris torquata","little collared fruit bat",48,"fruit/nectar/pollen",1,28,28,48,"Chiroptera"
"157","Y","Mammalia","Chiroptera","Vespertilionidae","Myotis bechsteinii","Bechstein's bat",8,"protein",5,475,95,1.6,"Chiroptera"
"158","Y","Mammalia","Chiroptera","Vespertilionidae","Myotis daubentonii","Daubenton's bat",7.6,"protein",17,1530,90,0.447058823529412,"Chiroptera"
"159","Y","Mammalia","Chiroptera","Vespertilionidae","Myotis lucifugus","little brown bat",9.5,"protein",2,205,102.5,4.75,"Chiroptera"
"160","Y","Mammalia","Chiroptera","Vespertilionidae","Myotis myotis","Greater mouse-eared bat",46.8,"protein",17,836,49.1764705882353,2.75294117647059,"Chiroptera"
"161","Y","Mammalia","Chiroptera","Vespertilionidae","Myotis nattereri","Natterer's bat",6.8,"protein",3,231,77,2.26666666666667,"Chiroptera"
"162","N","Mammalia","Primates","Cercopithecidae","Nasalis larvatus","proboscis monkey",10000,"protein",6,5040,840,1666.66666666667,"Primates"
"163","N","Mammalia","Carnivora","Mustelidae","Neovison vison","American mink",9697.5,"protein",19,3504.4,184.442105263158,510.394736842105,"Carnivora"
"164","Y","Mammalia","Chiroptera","Vespertilionidae","Nyctalus leisleri","Lesser Noctule",12.5,"protein",3,612,204,4.16666666666667,"Chiroptera"
"165","Y","Mammalia","Chiroptera","Vespertilionidae","Nyctalus noctula","Noctule",54.5,"protein",10,658,65.8,5.45,"Chiroptera"
"166","Y","Aves","Stringiformes","Stringidae","Nyctea scandiaca","snowy owl",1525,"meat",2,24.04,12.02,762.5,"Flying Birds"
"167","Y","Mammalia","Chiroptera","Pteropodidae","Nyctimene rabori","Philippine tube-nosed fruit bat",75,"fruit/nectar/pollen",3,172.5,57.5,25,"Chiroptera"
"168","Y","Mammalia","Chiroptera","Vespertilionidae","Nyctophilus gouldi","Gould's long-eared bat",9,"protein",36,2027.999988,56.333333,0.25,"Chiroptera"
"169","Y","Mammalia","Chiroptera","Vespertillionidae","Nyctophilus gouldi","Gould’s long-eared bat",9.25,"meat",5,1098,219.6,1.85,"Chiroptera"
"170","Y","Aves","Psittaciformes","Psittacidae","Nymphicus hollandicus","Cockatiel",97,"fiber/foliage",12,720,60,8.08333333333333,"Flying Birds"
"171","N","Mammalia","Rodentia","Octodontidae","Octodon degus","degu",925,"fiber/foliage",32,9888,309,28.90625,"Rodentia"
"172","N","Mammalia","Carnivora","Odobenidae","Odobenus rosmarus divergens","Pacific walrus",170000,"protein",2,1740,870,85000,"Carnivora"
"173","N","Mammalia","Artiodactyla","Giraffidae","Okapia johnstoni","Okapi",290000,"fiber/foliage",4,4050,1012.5,72500,"Artiodactyla"
"174","Y","Aves","Opisthocomiformes","Opisthocomidae","Opisthocomus hoazin","Hoatzin",3600,"unknown",20,7590,379.5,180,"Flying Birds"
"175","Y","Aves","Stringiformes","Stringidae","Otus asio","screech owl",164.1,"meat",2,23.72,11.86,82.05,"Flying Birds"
"176","N","Mammalia","Artiodactyla","Bovidae","Ovis aries","domestic sheep",77200,"fiber/foliage",14,11880,848.571428571429,5514.28571428571,"Artiodactyla"
"177","N","Mammalia","Artiodactyla","Bovidae","Ovis aries","sheep",51400,"fiber/foliage",12,6840,570,4283.33333333333,"Artiodactyla"
"178","N","Mammalia","Primates","Hominidae","Pan paniscus","Bonobo",39000,"fruit/nectar/pollen",19,27360,1440,2052.63157894737,"Primates"
"179","N","Mammalia","Primates","Hominidae","Pan troglodytes","Chimpanzee",58400,"fruit/nectar/pollen",2,2784,1392,29200,"Primates"
"180","N","Mammalia","Primates","Hominidae","Pan troglodytes","Chimpanzee",38500,"fiber/foliage",1,1080,1080,38500,"Primates"
"181","N","Mammalia","Primates","Hominidae","Pan troglodytes","chimpanzee",233000,"protein",27,67320,2493.33333333333,8629.62962962963,"Primates"
"182","N","Mammalia","Primates","Cercopithecidae","Papio cynocephalus","yellow baboon",19600,"protein",24,51720,2155,816.666666666667,"Primates"
"183","N","Mammalia","Primates","Cercopithecidae","Papio hamadryas","Hamadryas baboon",25000,"fiber/foliage",1,840,840,25000,"Primates"
"184","N","Mammalia","Artiodactyla","Tayassuidae","Pecari tacaju","collared peccary",39000,"fiber/foliage",12,18108,1509,3250,"Artiodactyla"
"185","Y","Aves","Galliformes","Phasianidae","Phasianus colchicus","ring-necked pheasant",1750,"mixed",8,3180,397.5,218.75,"Flying Birds"
