fly,class,order,family,genus.species,common.name,sum_mass,trial.diet,N_tot,total_transit,transit,avg_mass,re_class,transit_hrs,mass_kg,phylo_name
N,Reptilia,Squamata,Viperidae,Atheris nitscheri,Great Lakes bush viper,0,meat,3,31104,10368,0,Reptiles,172.8,,Atheris_nitschei
N,Reptilia,Squamata,Colubridae,Uromacer oxyrhynchus,pointed snake,0,meat,2,5184,2592,0,Reptiles,43.2,,Uromacer_oxyrhynchus
N,Reptilia,Squamata,Lacertidae,Podarcis erhardii,Aegean wall lizard,5.78,protein,47,122200,2600,0.122978723,Reptiles,43.33333333,0.000122979,Podarcis_erhardii
Y,Aves,Passeriformes,Sylviidae,Sylvia melanocephala,Sardinian Warbler,13,unkown,59,1947,33,0.220338983,Flying Birds,0.55,0.000220339,Curruca_melanocephala
Y,Mammalia,Chiroptera,Vespertilionidae,Nyctophilus gouldi,Gould's long-eared bat,9,protein,36,2027.999988,56.333333,0.25,Bats,0.938888883,0.00025,Nyctophilus_gouldi
Y,Aves,Passeriformes,Sylviidae,Sylvia atricapilla,Eurasian Blackcap,15.1,unkown,37,1350.87,36.51,0.408108108,Flying Birds,0.6085,0.000408108,Sylvia_atricapilla
Y,Aves,Passeriformes,Nectariniidae,Cinnyris osea,Palestine sunbird,6.15,fruit/nectar/pollen,14,484.4,34.6,0.439285714,Flying Birds,0.576666667,0.000439286,Cinnyris_venustus
N,Mammalia,Rodentia,Cricetidae,Lasiopodomys brandtii,Brandt's vole,4.9,fruit/nectar/pollen,11,495,45,0.445454545,Rodents,0.75,0.000445455,Lasiopodomys_brandtii
Y,Mammalia,Chiroptera,Vespertilionidae,Myotis daubentonii,Daubenton's bat,7.6,protein,17,1530,90,0.447058824,Bats,1.5,0.000447059,Myotis_daubentonii
Y,Aves,Passeriformes,Pyconotidae,Adropadus milanjenis,stripe-cheeked greenbul,45,fruit/nectar/pollen,90,2970,33,0.5,Flying Birds,0.55,5.00E-04,
Y,Aves,Passeriformes,Muscicapidae,Erithacus rubecula,European robin,19,unkown,38,1546.6,40.7,0.5,Flying Birds,0.678333333,5.00E-04,Erithacus_rubecula
Y,Aves,Passeriformes,Sylviidae,Sylvia borin,Garden Warbler,19,unkown,37,2923,79,0.513513514,Flying Birds,1.316666667,0.000513514,Sylvia_borin
Y,Aves,Passeriformes,Zosteropidae,Zosterops lateralis,Silvereye,31,fruit/nectar/pollen,54,1485,27.5,0.574074074,Flying Birds,0.458333333,0.000574074,Zosterops_lateralis
Y,Aves,Apodiformes,Trochilidae,Selasphorous rufus,Rufous Hummingbirds,2.5,fruit/nectar/pollen,4,60,15,0.625,Flying Birds,0.25,0.000625,Selasphorus_rufus
Y,Aves,Passeriformes,Parulidae,Setophaga coronata,yellow rumped warbler,23,fruit/nectar/pollen,34,374,11,0.676470588,Flying Birds,0.183333333,0.000676471,Setophaga_coronata
Y,Mammalia,Chiroptera,Vespertilionidae,Pipistrellus pipistrellus,Common pipistrelle,5.1,protein,7,483,69,0.728571429,Bats,1.15,0.000728571,Pipistrellus_pipistrellus
Y,Mammalia,Chiroptera,Vespertilionidae,Eptesicus fuscus,Big Brown Bat,17.23,protein,22,2684,122,0.783181818,Bats,2.033333333,0.000783182,Eptesicus_nilssonii
Y,Aves,Passeriformes,Parulidae,Setophaga coronata,yellow rumped warbler,23,protein,28,294,10.5,0.821428571,Flying Birds,0.175,0.000821429,Setophaga_coronata
Y,Aves,Passeriformes,Muscicapidae,Phoenicurus phoenicuris,Common redstart,17,unkown,17,680,40,1,Flying Birds,0.666666667,0.001,Phoenicurus_phoenicurus
Y,Aves,Passeriformes,Zosteropidae,Zosterops pallidus,Cape White-eye,10.19,protein,10,117.2,11.72,1.019,Flying Birds,0.195333333,0.001019,Zosterops_pallidus
Y,Aves,Passeriformes,Parulidae,Setophag coronata,yellow rumped warbler,11.5,fiber/foliage,11,737,67,1.045454545,Flying Birds,1.116666667,0.001045455,Setophaga_coronata
Y,Aves,Passeriformes,Parulidae,Setophaga coronata,yellow rumped warbler,11.5,fiber/foliage,11,737,67,1.045454545,Flying Birds,1.116666667,0.001045455,Setophaga_coronata
Y,Aves,Passeriformes,Sylviidae,Sylvia cantillans,Subalpine Warbler,10.5,unkown,10,299,29.9,1.05,Flying Birds,0.498333333,0.00105,Curruca_cantillans
Y,Aves,Passeriformes,Zosteropidae,Zosterops pallidus,Cape White-eye,21.3,fruit/nectar/pollen,20,475.5,23.775,1.065,Flying Birds,0.39625,0.001065,Zosterops_pallidus
Y,Mammalia,Chiroptera,Vespertilionidae,Plecotus auritus,Brown long-eared bat,6.9,protein,6,552,92,1.15,Bats,1.533333333,0.00115,Plecotus_auritus
Y,Aves,Passeriformes,Troglodytidae,Troglodytes aedon,house wren,11,protein,9,72,8,1.222222222,Flying Birds,0.133333333,0.001222222,Troglodytes_aedon
Y,Aves,Passeriformes,Muscicapidae,Saxicola torquata,African stonechat,3.9,unkown,3,156,52,1.3,Flying Birds,0.866666667,0.0013,Saxicola_torquatus
Y,Mammalia,Chiroptera,Phyllostomidae,Carollia perspicillata,Seba's short-tailed bat,33,fruit/nectar/pollen,24,553.2,23.05,1.375,Bats,0.384166667,0.001375,Carollia_perspicillata
Y,Mammalia,Chiroptera,Vespertilionidae,Myotis bechsteinii,Bechstein's bat,8,protein,5,475,95,1.6,Bats,1.583333333,0.0016,Myotis_bechsteinii
