fly,class,order,family,genus.species,common.name,sum_mass,trial.diet,N_tot,total_transit,transit,avg_mass,re_class,transit_hrs,mass_kg,phylo_name
Y,Aves,Charadriiformes,Alcidae,Fratercula arctica,atlantic puffin,840,meat,2,164,82,420,Flying Birds,1.366666667,0.42,Fratercula_arctica
N,Mammalia,Primates,Pitheciidae,Pithecia pithecia,white-faced saki,1712.5,fiber/foliage,4,3504,876,428.125,Primates,14.6,0.428125,Pithecia_pithecia
N,Mammalia,Carnivora,Mustelidae,Martes melampus,Japanese Marten,5598,mixed,12,1634.4,136.2,466.5,Carnivores,2.27,0.4665,Martes_melampus
N,Reptilia,Squamata,Iguanidae,Iguana iguana,Green iguana,2350,fiber/foliage,5,18720,3744,470,Reptiles,62.4,0.47,Iguana_iguana
N,Reptilia,Testudines,Chelidae,Emydura macquarii,Australian short-necked turtle,4000,meat,8,38160,4770,500,Reptiles,79.5,0.5,Emydura_macquarii
N,Reptilia,Testudines,Chelidae,Emydura macquarii,Australian short-necked turtle,4000,fiber/foliage,8,90720,11340,500,Reptiles,189,0.5,Emydura_macquarii
Y,Aves,Procellariiformes,Diomedeidae,Phoebetria fusca,Sooty Albatrosses,7500,meat,15,12990,866,500,Flying Birds,14.43333333,0.5,Phoebetria
N,Mammalia,Carnivora,Mustelidae,Neovison vison,American mink,9697.5,protein,19,3504.4,184.4421053,510.3947368,Carnivores,3.074035088,0.510394737,Neogale_vison
Y,Mammalia,Chiroptera,Pteropodidae,Pteropus alecto,Black flying fox,540,fruit/nectar/pollen,1,30,30,540,Bats,0.5,0.54,Pteropus_alecto
N,Mammalia,Primates,Indriidae,Propithecus verreauxi coquereli,Coquerel's sifaka,10772,fiber/foliage,18,21070.8,1170.6,598.4444444,Primates,19.51,0.598444444,Propithecus_verreauxi
N,Reptilia,Testudines,Cheloniidae,Caretta caretta,Loggerhead sea turtle,13300,protein,22,286704,13032,604.5454545,Reptiles,217.2,0.604545455,Caretta_caretta
Y,Aves,Charadriiformes,Alcidae,Alca torda,razorbill,1212,meat,2,118.2,59.1,606,Flying Birds,0.985,0.606,Alca_torda
Y,Aves,Pelecaniformes,Sulidae,Morus capensis,cape gannet,2600,meat,4,50.8,12.7,650,Flying Birds,0.211666667,0.65,Morus_capensis
Y,Aves,Procellariiformes,Procellariidae,Fulmarus glacialis,northern fulmar,1372,meat,2,161.8,80.9,686,Flying Birds,1.348333333,0.686,Fulmarus_glacialis
Y,Mammalia,Chiroptera,Pteropodidae,Pteropus poliocephalus,Grey-headed flying fox,692,fruit/nectar/pollen,1,28.5,28.5,692,Bats,0.475,0.692,Pteropus_poliocephalus
Y,Aves,Stringiformes,Stringidae,Nyctea scandiaca,snowy owl,1525,meat,2,24.04,12.02,762.5,Flying Birds,0.200333333,0.7625,Bubo_scandiacus
N,Mammalia,Primates,Cercopithecidae,Cercopithecus mitis,blue monkey,12400,protein,16,40256,2516,775,Primates,41.93333333,0.775,Cercopithecus_nictitans
N,Aves,Sphenisciformes,Spheniscidae,Spheniscus demersus,jackass penguin,9300,meat,12,5276.52,439.71,775,Non-Flying Birds,7.3285,0.775,Spheniscus_demersus
N,Mammalia,Carnivora,Mustelidae,Lutra canadensus,Northern river otter,9500,protein,12,2424,202,791.6666667,Carnivores,3.366666667,0.791666667,Lontra_canadensis
N,Mammalia,Primates,Cercopithecidae,Cercopithecus talapoin,Talapoin monkey,1600,fruit/nectar/pollen,2,1440,720,800,Primates,12,0.8,Miopithecus_talapoin
N,Mammalia,Primates,Cercopithecidae,Papio cynocephalus,yellow baboon,19600,protein,24,51720,2155,816.6666667,Primates,35.91666667,0.816666667,Papio_cynocephalus
N,Mammalia,Primates,Lemuridae,Varecia variegata,black-and-white-ruffed lemur,29782,fiber/foliage,36,6103.8,169.55,827.2777778,Primates,2.825833333,0.827277778,Varecia_variegata
N,Mammalia,Primates,Atelidae,Ateles geoffroyi,Geoffroy's spider monkey,7600,protein,9,2376,264,844.4444444,Primates,4.4,0.844444444,Ateles_geoffroyi
N,Mammalia,Rodentia,Echimyidae,Myocastor coypus,nutria,8800,fiber/foliage,10,3240,324,880,Rodents,5.4,0.88,Myocastor_coypus
Y,Aves,Charadriiformes,Laridae,Larus smithsonianus,herring gull,1814,meat,2,110.8,55.4,907,Flying Birds,0.923333333,0.907,Larus_smithsonianus
Y,Aves,Charadriiformes,Alcidae,Uria aalge,common giuillemot,1856,meat,2,101.5,50.75,928,Flying Birds,0.845833333,0.928,Uria_aalge
N,Reptilia,Testudines,Cheloniidae,Chelonia mydas,green sea turtle,12200,meat,13,181497.6,13961.35385,938.4615385,Reptiles,232.6892308,0.938461538,Chelonia_mydas
N,Mammalia,Primates,Cebidae,Cebus capucinus,Colombian white-faced capuchin,3000,protein,3,630,210,1000,Primates,3.5,1,Cebus_capucinus
N,Mammalia,Primates,Indriidae,Propithecus tattersalli,Golden crowned sifaka,6186,fiber/foliage,6,7200,1200,1031,Primates,20,1.031,Propithecus_tattersalli
Y,Aves,Bucerotiformes,Bucerotidae,Ceratogymna cylindricus,Brown-cheeked hornbill,6228,fruit/nectar/pollen,6,1278,213,1038,Flying Birds,3.55,1.038,Bycanistes
Y,Aves,Bucerotiformes,Bucerotidae,Ceratogymna cylindricus,Brown-cheeked hornbill,1038,,1,251,251,1038,Flying Birds,4.183333333,1.038,Bycanistes
N,Mammalia,Carnivora,Mustelidae,Lontra canadensis,northern river otter,9500,meat,9,3969,441,1055.555556,Carnivores,7.35,1.055555556,Lontra_canadensis
N,Mammalia,Primates,Cercopithecidae,Colobus guereza,black and white colubus monkey,6480,fiber/foliage,6,13800,2300,1080,Primates,38.33333333,1.08,Colobus_guereza
N,Mammalia,Primates,Cercopithecidae,Trachypithecus cristatus,silvered leaf monkey,10800,fruit/nectar/pollen,10,4530,453,1080,Primates,7.55,1.08,Trachypithecus_cristatus
N,Mammalia,Artiodactyla,Bovidae,Capra hircus,domestic goat,31000,fiber/foliage,27,81864,3032,1148.148148,Even-toed Ungulates,50.53333333,1.148148148,Capra_hircus
N,Mammalia,Primates,Cercopithecidae,Macaca fascicularis,long-tailed macaque,9380,fiber/foliage,8,9888,1236,1172.5,Primates,20.6,1.1725,Macaca_fascicularis
N,Mammalia,Primates,Cercopithecidae,Pygathrix nemaeus,red-shanked douc langur,5980,fiber/foliage,5,5850,1170,1196,Primates,19.5,1.196,Pygathrix_nemaeus
Y,Aves,Charadriiformes,Stercorariidae,Stercorarius skua,great skua,2452,meat,2,63.6,31.8,1226,Flying Birds,0.53,1.226,Stercorarius_skua
Y,Aves,Falconiformes,Falconidae,Caracara plancus,caracara,1250,meat,1,19.58,19.58,1250,Flying Birds,0.326333333,1.25,Caracara_plancus
N,Reptilia,Testudines,Cheloniidae,Caretta caretta,Loggerhead sea turtle,10187.5,unknown,8,204480,25560,1273.4375,Reptiles,426,1.2734375,Caretta_caretta
N,Mammalia,Carnivora,Mustelidae,Taxidea taxus,American badger,8000,protein,6,3110.4,518.4,1333.333333,Carnivores,8.64,1.333333333,Taxidea_taxus
N,Mammalia,Primates,Cercopithecidae,Macaca cyclopis,Taiwanese macaque,16620,fiber/foliage,12,13608,1134,1385,Primates,18.9,1.385,Macaca_cyclopis
Y,Aves,Bucerotiformes,Bucerotidae,Ceratogymna atrata,Black-casqued hornbill,7155,fruit/nectar/pollen,5,1242,248.4,1431,Flying Birds,4.14,1.431,Ceratogymna_atrata
Y,Aves,Falconiformes,Accipitridae,Haliaeetus leucocephalus,bald eagle,4300,meat,3,65.22,21.74,1433.333333,Flying Birds,0.362333333,1.433333333,Haliaeetus_leucocephalus
Y,Aves,Suliformes,Phalacrocoracidae,Gulosus aristotelis,shag,2902,meat,2,130.3,65.15,1451,Flying Birds,1.085833333,1.451,
N,Mammalia,Primates,Hylobatidae,Hylobates lar,white-handed gibbon,11920,fiber/foliage,8,7680,960,1490,Primates,16,1.49,Hylobates_lar
N,Mammalia,Primates,Cercopithecidae,Trachypithecus francoisi,Francois's langur,11920,fiber/foliage,8,7032,879,1490,Primates,14.65,1.49,Trachypithecus_francoisi
N,Mammalia,Primates,Pitheciidae,Cacajao calvus, bald uakari,3000,protein,2,600,300,1500,Primates,5,1.5,Cacajao_calvus
N,Mammalia,Primates,Pitheciidae,Chiropotes albinasus,white-nosed saki,3000,protein,2,600,300,1500,Primates,5,1.5,Chiropotes_albinasus
N,Mammalia,Primates,Cercopithecidae,Cercopithecus pogonias,Crested mona monkey,3300,fruit/nectar/pollen,2,1992,996,1650,Primates,16.6,1.65,Cercopithecus_mona
N,Mammalia,Primates,Cercopithecidae,Nasalis larvatus,proboscis monkey,10000,protein,6,5040,840,1666.666667,Primates,14,1.666666667,Nasalis_larvatus
N,Mammalia,Carnivora,Ailuridae,Ailurus fulgens,red panda,5130,fiber/foliage,3,540,180,1710,Carnivores,3,1.71,Ailurus
N,Mammalia,Primates,Cercopithecidae,Macaca fuscata,Japanese macaque,8600,fruit/nectar/pollen,5,6600,1320,1720,Primates,22,1.72,Macaca_fuscata
N,Mammalia,Primates,Atelidae,Alouatta palliata,mantled howler monkey,6900,protein,4,4896,1224,1725,Primates,20.4,1.725,Alouatta_palliata
N,Mammalia,Primates,Cercopithecidae,Cercopithecus lhoesti,L’Hoest’s monkey,3550,fiber/foliage,2,2832,1416,1775,Primates,23.6,1.775,Allochrocebus_lhoesti
N,Reptilia,Testudines,Cheloniidae,Caretta caretta,Loggerhead sea turtle,14380,meat,8,152640,19080,1797.5,Reptiles,318,1.7975,Caretta_caretta
N,Mammalia,Primates,Pitheciidae,Pithecia monachus,monk saki,1900,protein,1,1200,1200,1900,Primates,20,1.9,Pithecia_monachus
N,Mammalia,Carnivora,Canidae,Canis familiaris,domestic dog,11550,meat,6,10980,1830,1925,Carnivores,30.5,1.925,Canis_lupus
N,Reptilia,Testudines,Testudinidae,Stigmochelys pardalis,leopard tortoise,11650,fiber/foliage,6,36720,6120,1941.666667,Reptiles,102,1.941666667,Stigmochelys_pardalis
N,Mammalia,Primates,Atelidae,Ateles paniscus,red-faced spider monkey,7800,protein,4,1260,315,1950,Primates,5.25,1.95,Ateles_paniscus
N,Mammalia,Primates,Hominidae,Pan paniscus,Bonobo,39000,fruit/nectar/pollen,19,27360,1440,2052.631579,Primates,24,2.052631579,Pan_paniscus
N,Mammalia,Carnivora,Canidae,Lycalopex gymnocercus,pampa fox,4210,fruit/nectar/pollen,2,816,408,2105,Carnivores,6.8,2.105,Lycalopex_gymnocercus
N,Mammalia,Primates,Atelidae,Lagothrix lagotricha,common woolly monkey,6500,protein,3,1215,405,2166.666667,Primates,6.75,2.166666667,Lagothrix_lagotricha
N,Mammalia,Carnivora,Canidae,Canis familiaris,domestic dog,11339.83,fiber/foliage,5,2166,433.2,2267.966,Carnivores,7.22,2.267966,Canis_lupus
N,Mammalia,Rodentia,Caviidae,Dolichotis patagonum,Patagonian mara,14800,fiber/foliage,6,3600,600,2466.666667,Rodents,10,2.466666667,Dolichotis_patagonum
N,Mammalia,Primates,Cercopithecidae,Lophocebus albigena,Gray-cheecked mangabey,5300,fruit/nectar/pollen,2,2724,1362,2650,Primates,22.7,2.65,Lophocebus_albigena
N,Mammalia,Primates,Cercopithecidae,Cercopithecus albogularis schwarzi,samango monkey,5350,fruit/nectar/pollen,2,2505,1252.5,2675,Primates,20.875,2.675,Cercopithecinae
N,Mammalia,Primates,Atelidae,Alouatta caraya ,black howler monkey,16220,fiber/foliage,6,4680,780,2703.333333,Primates,13,2.703333333,Alouatta_caraya
N,Mammalia,Carnivora,Canidae,Cerdocyon thous,crab-eating fox,5600,fruit/nectar/pollen,2,924,462,2800,Carnivores,7.7,2.8,Cerdocyon_thous
N,Mammalia,Primates,Cercopithecidae,Cercopithecus ascanius,Red-tailed monkey,8785,fruit/nectar/pollen,3,3600,1200,2928.333333,Primates,20,2.928333333,Cercopithecus_ascanius
N,Mammalia,Primates,Cercopithecidae,Trachypithecus obscurus,dusky leaf monkey,12000,fruit/nectar/pollen,4,4188,1047,3000,Primates,17.45,3,Trachypithecus_obscurus
N,Mammalia,Primates,Atelidae,Alouatta palliata,mantled howler monkey,36900,fiber/foliage,12,7560,630,3075,Primates,10.5,3.075,Alouatta_palliata
N,Mammalia,Primates,Cercopithecidae,Cercopithecus neglectus,De Brazza's monkey,6500,fruit/nectar/pollen,2,2472,1236,3250,Primates,20.6,3.25,Cercopithecus_neglectus
N,Mammalia,Artiodactyla,Tayassuidae,Pecari tacaju,collared peccary,39000,fiber/foliage,12,18108,1509,3250,Even-toed Ungulates,25.15,3.25,Pecari_tajacu
N,Mammalia,Primates,Cercopithecidae,Allenopithecus nigroviridis,Allen’s swamp monkey,9800,fiber/foliage,3,3960,1320,3266.666667,Primates,22,3.266666667,Allenopithecus_nigroviridis
N,Mammalia,Carnivora,Mustelidae,Lotra canadensis,north american river otter,29400,meat,9,1596,177.3333333,3266.666667,Carnivores,2.955555556,3.266666667,Lontra_canadensis
N,Mammalia,Primates,Cebidae,Cebus apella,tufted capuchin,3500,protein,1,210,210,3500,Primates,3.5,3.5,Sapajus_apella
N,Mammalia,Primates,Cercopithecidae,Cercopithecus erythrotis,Red-eared guenon,3585,fruit/nectar/pollen,1,1236,1236,3585,Primates,20.6,3.585,Cercopithecus_erythrotis
N,Aves,Casuariiformes,Cassuaridae,Dromaius novaehollandiae,emu,34000,fruit/nectar/pollen,9,32400,3600,3777.777778,Non-Flying Birds,60,3.777777778,Dromaius_novaehollandiae
N,Mammalia,Primates,Cercopithecidae,Rhinopithecus bieti,Snub-Nosed Monkey,11750,fruit/nectar/pollen,3,4680,1560,3916.666667,Primates,26,3.916666667,Rhinopithecus_bieti
N,Mammalia,Primates,Cercopithecidae,Rhinopithecus bieti,Snub-Nosed Monkey,11750,fiber/foliage,3,5400,1800,3916.666667,Primates,30,3.916666667,Rhinopithecus_bieti
N,Mammalia,Primates,Atelidae,Alouatta sara,Bolivian red howler monkey,49080,fiber/foliage,12,24120,2010,4090,Primates,33.5,4.09,Alouatta_sara
N,Mammalia,Carnivora,Canidae,Canis familiaris,domestic dog,414900,protein,99,174064.8,1758.230303,4190.909091,Carnivores,29.30383838,4.190909091,Canis_lupus
N,Mammalia,Artiodactyla,Bovidae,Ovis aries,sheep,51400,fiber/foliage,12,6840,570,4283.333333,Even-toed Ungulates,9.5,4.283333333,Ovis_aries
N,Mammalia,Primates,Cercopithecidae,Cercopithecus mitis,Blue monkey,8600,fruit/nectar/pollen,2,2028,1014,4300,Primates,16.9,4.3,Cercopithecus_nictitans
N,Mammalia,Carnivora,Canidae,Chrysocyon brachyurus,maned wolf,51600,protein,12,1951.2,162.6,4300,Carnivores,2.71,4.3,Chrysocyon_brachyurus
N,Mammalia,Carnivora,Felidae,Caracal caracal,Caracal,25950,protein,6,8640,1440,4325,Carnivores,24,4.325,Caracal_caracal
N,Aves,Struthioniformes,Rheidae,Rhea americana,greater rhea,72000,fiber/foliage,15,5848.781879,389.9187919,4800,Non-Flying Birds,6.498646532,4.8,Rhea_americana
N,Mammalia,Carnivora,Felidae,Prionailurus bengalensis,Amur leopard cat,15900,protein,3,6300,2100,5300,Carnivores,35,5.3,Prionailurus_bengalensis
N,Mammalia,Artiodactyla,Bovidae,Ovis aries,domestic sheep,77200,fiber/foliage,14,11880,848.5714286,5514.285714,Even-toed Ungulates,14.14285714,5.514285714,Ovis_aries
N,Mammalia,Primates,Hominidae,Homo sapien,human,338500,fiber/foliage,60,179496,2991.6,5641.666667,Primates,49.86,5.641666667,Homo_sapiens
N,Aves,Struthioniformes,Struthionidae,Struthio camelus,common ostrich,56558,unknown,10,10800,1080,5655.8,Non-Flying Birds,18,5.6558,Struthio_camelus
N,Mammalia,Artiodactyla,Phocoenidae,Phocoena phocoena,harbour porpoise,45250,meat,8,1503,187.875,5656.25,Even-toed Ungulates,3.13125,5.65625,Phocoena_phocoena
N,Mammalia,Primates,Cercopithecidae,Cercopithecus aethiops,Vervet Monkey,5950,fiber/foliage,1,1200,1200,5950,Primates,20,5.95,Chlorocebus_aethiops
N,Mammalia,Artiodactyla,Cervidae,Cervus elaphus,red deer,74500,fiber/foliage,12,5544,462,6208.333333,Even-toed Ungulates,7.7,6.208333333,Cervus_elaphus
N,Mammalia,Artiodactyla,Tragulidae,Tragulus napu,greater mouse deer,6500,fiber/foliage,1,2940,2940,6500,Even-toed Ungulates,49,6.5,Tragulus_napu
N,Aves,Casuariiformes,Cassuaridae,Casuaris casuaris,Southern Cassuary,558000,fruit/nectar/pollen,82,36640,446.8292683,6804.878049,Non-Flying Birds,7.447154472,6.804878049,Casuarius_casuarius
N,Mammalia,Primates,Atelidae,Alouatta palliata mexicana,Mexican howler monkey,7500,fiber/foliage,1,1224,1224,7500,Primates,20.4,7.5,Alouatta_palliata
N,Mammalia,Carnivora,Mustelidae,Pteronura brasiliensis,giant river otter,23000,meat,3,563.4,187.8,7666.666667,Carnivores,3.13,7.666666667,Pteronura_brasiliensis
N,Mammalia,Primates,Hominidae,Pan troglodytes,chimpanzee,233000,protein,27,67320,2493.333333,8629.62963,Primates,41.55555556,8.62962963,Pan_troglodytes
N,Mammalia,Primates,Atelidae,Alouatta pigra,Yucatan black howler,8900,fiber/foliage,1,1380,1380,8900,Primates,23,8.9,Alouatta_pigra
N,Mammalia,Artiodactyla,Bovidae,Capra nubiana,Nunian ibex,166400,fiber/foliage,16,10224,639,10400,Even-toed Ungulates,10.65,10.4,Capra_nubiana
N,Mammalia,Artiodactyla,Cervidae,Cervus elaphus canadensis,wapiti,422833.33,fiber/foliage,36,31440,873.3333333,11745.37028,Even-toed Ungulates,14.55555556,11.74537028,Cervus_canadensis
N,Mammalia,Carnivora,Phocidae,Phoca vitulina,harbour seal,47000,meat,4,920,230,11750,Carnivores,3.833333333,11.75,Phoca_vitulina
N,Mammalia,Primates,Atelidae,Brachyteles arachnoides,southern muriqui,12000,protein,1,480,480,12000,Primates,8,12,Brachyteles_arachnoides
N,Mammalia,Perissodactyla,Tapiridae,Tapirus terrestris,lowland tapir,386000,fiber/foliage,30,42300,1410,12866.66667,Odd-toed Ungulates,23.5,12.86666667,Tapirus_terrestris
N,Reptilia,Squamata,Boidae,Python molurus,Indian python,91000,meat,7,352800,50400,13000,Reptiles,840,13,Python_molurus
N,Aves,Struthioniformes,Dromaiidae,Dromaius novaehollandiae,emu,99000,fiber/foliage,6,1082.764849,180.4608082,16500,Non-Flying Birds,3.007680136,16.5,Dromaius_novaehollandiae
N,Mammalia,Primates,Hominidae,Pongo pygmaeus,Bornean orangutan,135140,fiber/foliage,8,25272,3159,16892.5,Primates,52.65,16.8925,Pongo_pygmaeus
N,Mammalia,Artiodactyla,Suidae,Sus scrofa,pig,507000,fiber/foliage,30,43630.8,1454.36,16900,Even-toed Ungulates,24.23933333,16.9,Sus_scrofa
N,Mammalia,Primates,Hominidae,Pongo pygmaeus,Bornean orangutan,213891.67,fruit/nectar/pollen,12,36228,3019,17824.30583,Primates,50.31666667,17.82430583,Pongo_pygmaeus
N,Aves,Struthioniformes,Struthionidae,Struthio camelus,common ostrich,327000,fiber/foliage,18,25957.2666,1442.070367,18166.66667,Non-Flying Birds,24.03450611,18.16666667,Struthio_camelus
N,Mammalia,Carnivora,Otariidae,Zalophus californianus,California sea lions,80000,protein,4,1008,252,20000,Carnivores,4.2,20,Zalophus_californianus
N,Mammalia,Primates,Hominidae,Gorilla gorilla,Western lowland gorilla,105000,fruit/nectar/pollen,5,2400,480,21000,Primates,8,21,Gorilla_gorilla
N,Mammalia,Primates,Hominidae,Homo sapiens,human,67000,protein,3,4680,1560,22333.33333,Primates,26,22.33333333,Homo_sapiens
N,Reptilia,Testudines,Testudinidae,Stigmochelys pardalis,leopard tortoise,146527.5,fruit/nectar/pollen,6,19440,3240,24421.25,Reptiles,54,24.42125,Stigmochelys_pardalis
N,Mammalia,Perissodactyla,Equidae,Equus asinus,donkey,246000,fiber/foliage,10,10290,1029,24600,Odd-toed Ungulates,17.15,24.6,Equus_asinus
N,Mammalia,Primates,Cercopithecidae,Papio hamadryas,Hamadryas baboon,25000,fiber/foliage,1,840,840,25000,Primates,14,25,Papio_hamadryas
N,Mammalia,Artiodactyla,Cervidae,Dama dama,Fallow Deer,105000,fruit/nectar/pollen,4,6000,1500,26250,Even-toed Ungulates,25,26.25,Dama_dama
N,Mammalia,Primates,Hominidae,Pongo pygmaeus,Bornean orangutan,53000,protein,2,4440,2220,26500,Primates,37,26.5,Pongo_pygmaeus
N,Mammalia,Primates,Hominidae,Pan troglodytes,Chimpanzee,58400,fruit/nectar/pollen,2,2784,1392,29200,Primates,23.2,29.2,Pan_troglodytes
N,Mammalia,Perissodactyla,Tapiridae,Tapirus indicus,Malaysian tapir,558000,fiber/foliage,18,31320,1740,31000,Odd-toed Ungulates,29,31,Tapirus_indicus
N,Mammalia,Carnivora,Phocidae,Phoca vitulina,harbor seal,1.00E+05,protein,3,900,300,33333.33333,Carnivores,5,33.33333333,Phoca_vitulina
N,Mammalia,Primates,Hominidae,Gorilla gorilla,gorilla,215300,fruit/nectar/pollen,6,13255.2,2209.2,35883.33333,Primates,36.82,35.88333333,Gorilla_gorilla
N,Mammalia,Primates,Hominidae,Pan troglodytes,Chimpanzee,38500,fiber/foliage,1,1080,1080,38500,Primates,18,38.5,Pan_troglodytes
N,Mammalia,Artiodactyla,Bovidae,Bos taurus,belgian blue cow,575000,fiber/foliage,14,20160,1440,41071.42857,Even-toed Ungulates,24,41.07142857,Bos_taurus
N,Mammalia,Carnivora,Ursidae,Ursus arctos,brown bear,340000,fruit/nectar/pollen,6,1110,185,56666.66667,Carnivores,3.083333333,56.66666667,Ursus_arctos
N,Mammalia,Carnivora,Ursidae,Ursus arctos,brown bear,340000,meat,6,2892,482,56666.66667,Carnivores,8.033333333,56.66666667,Ursus_arctos
N,Mammalia,Carnivora,Phocidae,Mirounga angustirostris,northern elephant seal,750000,protein,13,3744,288,57692.30769,Carnivores,4.8,57.69230769,Mirounga_angustirostris
N,Mammalia,Carnivora,Phocidae,Monachus schauinslandi,Hawaiian monk seal,186000,meat,3,2520,840,62000,Carnivores,14,62,Neomonachus_schauinslandi
N,Mammalia,Perissodactyla,Equidae,Equus ferus,horse,380000,fiber/foliage,6,114048,19008,63333.33333,Odd-toed Ungulates,316.8,63.33333333,Equus_ferus
N,Mammalia,Carnivora,Ursidae,Tremarctos ornatus,spectacled bear,130000,fiber/foliage,2,1920,960,65000,Carnivores,16,65,Tremarctos_ornatus
N ,Mammalia,Artiodactyla,Delphinidae,Lagenorhynchus obscurus,dusky dolphin,67500,meat,1,150,150,67500,Even-toed Ungulates,2.5,67.5,Lagenorhynchus_obscurus
N,Mammalia,Artiodactyla,Giraffidae,Okapia johnstoni,Okapi,290000,fiber/foliage,4,4050,1012.5,72500,Even-toed Ungulates,16.875,72.5,Okapia_johnstoni
N,Mammalia,Primates,Hominidae,Pongo pygmaeus,Bornean Orangutan,75000,fiber/foliage,1,1800,1800,75000,Primates,30,75,Pongo_pygmaeus
N,Mammalia,Artiodactyla,Bovidae,Bos taurus,cow,5765156,fiber/foliage,74,53201.78571,718.9430502,77907.51351,Even-toed Ungulates,11.98238417,77.90751351,Bos_taurus
N,Mammalia,Carnivora,Odobenidae,Odobenus rosmarus divergens,Pacific walrus,170000,protein,2,1740,870,85000,Carnivores,14.5,85,Odobenus_rosmarus
N,Mammalia,Perissodactyla,Equidae,Equus caballus,horse,2100500,fiber/foliage,21,77216.35221,3676.969153,100023.8095,Odd-toed Ungulates,61.28281922,100.0238095,Equus_caballus
N,Mammalia,Artiodactyla,Cervidae,Alces alces,moose,1119000,fiber/foliage,11,9300,845.4545455,101727.2727,Even-toed Ungulates,14.09090909,101.7272727,Alces_alces
N,Mammalia,Artiodactyla,Monodontidae,Delphinapterus leucas,beluga whale,1351666.66,meat,13,39240,3018.461538,103974.3585,Even-toed Ungulates,50.30769231,103.9743585,Delphinapterus_leucas
N,Mammalia,Carnivora,Phocidae,Hydrurga leptonyx,leopard seals,786000,meat,5,15462,3092.4,157200,Carnivores,51.54,157.2,Hydrurga_leptonyx
N,Mammalia,Artiodactyla,Bovidae,Bubalus bubalis,swamp buffalo,2625006,fiber/foliage,16,5640,352.5,164062.875,Even-toed Ungulates,5.875,164.062875,Bubalus_bubalis
N,Mammalia,Perissodactyla,Rhinocerotidae,Diceros bicornis,black rhinoceros,2386000,fiber/foliage,12,9417.6,784.8,198833.3333,Odd-toed Ungulates,13.08,198.8333333,Diceros_bicornis
N,Mammalia,Perissodactyla,Tapiridae,Tapirus bairdii,Baird's tapir,9.00E+05,fruit/nectar/pollen,4,63360,15840,225000,Odd-toed Ungulates,264,225,Tapirus_bairdii
N,Mammalia,Artiodactyla,Bovidae,Bos taurus,cow,755000,fruit/nectar/pollen,1,9354,9354,755000,Even-toed Ungulates,155.9,755,Bos_taurus
