Genus species,can_fly,Class,Order,phylo_dist,Family,phylo_name,Common Name,Typical_Diet,Mass g (mean/median from study),mass-citation-if-not-from-retention-study,Food in Feeding Trial,Feeding.Trial.Food.Cat,N_individuals,N_trials,retention metric description,Minimum (min),IQR_1,Median (min),Mean (min),IQR_3,Maximum (min),SD,SE,mrt (min),mrt_sd,mrt_se,Retention.Citation,Notes,includes keywords,original submision
Alca torda,Y,Aves,Charadriiformes,,Alcidae,Alca_torda,razorbill,carnivore,606,,small whiting,meat,5,1,mean retention time,,,,,,,,,335.4,23.4,,"Hilton GM, Houston DC, Furness RW (1998) Which components of diet quality affect retention time of digesta in seabirds? Functional Ecology 12:929-946",,"gut,time",n
Alca torda,Y,Aves,Charadriiformes,,Alcidae,Alca_torda,razorbill,carnivore,606,,sandeel,meat,,1,mean retention time,,,,49.7,,,12.3,,350.4,18,,"Hilton GM, Furness RW, Houston DC (2000) A comparative study of digestion in North Atlantic seabirds. Journal of Avian Biology 31:36-58",could not find number of birds,"gut, passage, time",n
Alca torda,Y,Aves,Charadriiformes,,Alcidae,Alca_torda,razorbill,carnivore,606,,whiting,meat,,1,mean retention time,,,,68.5,,,11.2,,444,67.2,,"Hilton GM, Furness RW, Houston DC (2000) A comparative study of digestion in North Atlantic seabirds. Journal of Avian Biology 31:36-59",could not find number of birds,"gut, passage, time",n
Alces alces,N,Mammalia,Artiodactyla,188,Cervidae,Alces_alces,moose,folivore,280142.86,,wheat brain + Co-EDTA,fiber/foliage,12,,mean retention time,,,,,,,,,1750.285714,2.157142857,,Przybylo et al 2019,,no,No
Alces alces,N,Mammalia,Artiodactyla,188,Cervidae,Alces_alces,moose,folivore,280142.86,,wheat brain + chromium mordanted fiber,fiber/foliage,12,,mean retention time,,,,,,,,,2282.571429,3.514285714,,Przybylo et al 2019,,no,No
Alces alces,N,Mammalia,Artiodactyla,,Cervidae,Alces_alces,moose,herbivore,353000,,diet pellet,fiber/foliage,4,1,transit time/retention time,,,,792,,,126,,2292,60,,"Schwartz CC, Regelin WL, Franzmann AW, White RG, Holleman DF (1988) Food passage rate in moose. Alces 24:97-101",,rate,no
Alces alces,N,Mammalia,Artiodactyla,,Cervidae,Alces_alces,moose,herbivore,347000,,aspen leaves and pellets,fiber/foliage,3,1,transit time/retention time,,,,780,,,90,,2280,108,,"Schwartz CC, Regelin WL, Franzmann AW, White RG, Holleman DF (1988) Food passage rate in moose. Alces 24:97-102",,rate,no
Alces alces,N,Mammalia,Artiodactyla,,Cervidae,Alces_alces,moose,herbivore,419000,,mixed browse,fiber/foliage,4,1,transit time/retention time,,,,948,,,114,,3216,174,,"Schwartz CC, Regelin WL, Franzmann AW, White RG, Holleman DF (1988) Food passage rate in moose. Alces 24:97-103",,rate,no
Alces alces,N,Mammalia,Artiodactyla,,Cervidae,Alces_alces,moose,folivore,520500,animaldiversity.org,browse + Co-EDTA fluid marker,fiber/foliage,2,1,MRT,,,,,,,,,1980,300,,Lechner et al. (2010),did not include winter browse mix,N,N
Alces alces,N,Mammalia,Artiodactyla,,Cervidae,Alces_alces,moose,folivore,520500,animaldiversity.org,browse + 2mm Cr particle marker,fiber/foliage,2,1,MRT,,,,,,,,,2340,300,,Lechner et al. (2010),did not include winter browse mix,N,N
Alces alces,N,Mammalia,Artiodactyla,,Cervidae,Alces_alces,moose,folivore,520500,animaldiversity.org,browse + 10mm Ce particle marker,fiber/foliage,2,1,MRT,,,,,,,,,3120,180,,Lechner et al. (2010),did not include winter browse mix,N,N
Alces alces,N,Mammalia,Artiodactyla,,Cervidae,Alces_alces,moose,folivore,520500,animaldiversity.org,browse + 20mm La particle marker,fiber/foliage,2,1,MRT,,,,,,,,,3180,120,,Lechner et al. (2010),did not include winter browse mix,N,N
Alces alces,N,Mammalia,Artiodactyla,,Cervidae,Alces_alces,moose,folivore,520500,animaldiversity.org,grass + Co-EDTA fluid marker,fiber/foliage,2,1,MRT,,,,,,,,,3480,0,,Lechner et al. (2010),did not include winter browse mix,N,N
Alces alces,N,Mammalia,Artiodactyla,,Cervidae,Alces_alces,moose,folivore,520500,animaldiversity.org,grass + 2mm Cr particle marker,fiber/foliage,2,1,MRT,,,,,,,,,3840,120,,Lechner et al. (2010),did not include winter browse mix,N,N
Alces alces,N,Mammalia,Artiodactyla,,Cervidae,Alces_alces,moose,folivore,520500,animaldiversity.org,grass + 10mm Ce particle marker,fiber/foliage,2,1,MRT,,,,,,,,,4560,60,,Lechner et al. (2010),did not include winter browse mix,N,N
Alces alces,N,Mammalia,Artiodactyla,,Cervidae,Alces_alces,moose,folivore,520500,animaldiversity.org,grass + 20mm La particle marker,fiber/foliage,2,1,MRT,,,,,,,,,4560,0,,Lechner et al. (2010),did not include winter browse mix,N,N
Allenopithecus nigroviridis,N,Mammalia,Primates,174.3696,Cercopithecidae,Allenopithecus_nigroviridis,Allen’s swamp monkey,folivore,9800,as reported in table from published lit,leaves and fruits and marker,fiber/foliage,3,3,Transit time: first marker in feces,,,,1320,,,116.1895004,,1413.3333,26.68333,,Blaine and Lambert 2012,manually mean and SD of all trials in raw data + manually calculated MRT and SD,,Yes
Alophoixus pallidus,Y,Aves,Passeriformes,,Pyconotidae,Alophoixus_pallidus,Puff-throated Bulbul,,42.7,,various wild fruits,fruit/nectar/pollen,2,1,gut passage time,,,,44,,,11,,,,,"Khamcha D, Savini T, Westcott DA, McKeown A, Brockelman WY, Chimchome V, Gale GA (2014) Behavioral and social structure effects on seed dispersal curves of a forest‐interior bulbul (Pycnonotidae) in a tropical evergreen forest. Biotropica 46:294-301",,,n
Alopochen aegyptiaca,Y,Aves,Anseriformes,,Anatidae,Alopochen_aegyptiaca,Egyptian goose,omnivore,2220,,Amarynthus hybridus seeds,fiber/foliage,10,1,retention time,,,,,,1800,,,324.6,30.6,,"Reynolds C, Cumming GS (2016) Seed traits and bird species influence the dispersal parameters of wetland plants. Freshwater Biology 61:1157-1170",,time,no
Alopochen aegyptiaca,Y,Aves,Anseriformes,,Anatidae,Alopochen_aegyptiaca,Egyptian goose,omnivore,2220,,Elegia capensis seeds,fiber/foliage,10,1,retention time,,,,,,720,,,274.2,11.4,,"Reynolds C, Cumming GS (2016) Seed traits and bird species influence the dispersal parameters of wetland plants. Freshwater Biology 61:1157-1171",,time,no
Alopochen aegyptiaca,Y,Aves,Anseriformes,,Anatidae,Alopochen_aegyptiaca,Egyptian goose,omnivore,2220,,Panicum schizii seeds,fiber/foliage,10,1,retention time,,,,,,1440,,,291.6,36,,"Reynolds C, Cumming GS (2016) Seed traits and bird species influence the dispersal parameters of wetland plants. Freshwater Biology 61:1157-1172",,time,no
Alopochen aegyptiaca,Y,Aves,Anseriformes,,Anatidae,Alopochen_aegyptiaca,Egyptian goose,omnivore,2220,,Persicaria lapathifolia seeds,fiber/foliage,10,1,retention time,,,,,,2160,,,306,17.4,,"Reynolds C, Cumming GS (2016) Seed traits and bird species influence the dispersal parameters of wetland plants. Freshwater Biology 61:1157-1173",,time,no
Alopochen aegyptiaca,Y,Aves,Anseriformes,,Anatidae,Alopochen_aegyptiaca,Egyptian goose,omnivore,2220,,Stuckenia pectinata seeds,fiber/foliage,10,1,retention time,,,,,,1200,,,248.4,28.2,,"Reynolds C, Cumming GS (2016) Seed traits and bird species influence the dispersal parameters of wetland plants. Freshwater Biology 61:1157-1174",,time,no
