Genus species,can_fly,Class,Order,phylo_dist,Family,phylo_name,Common Name,Typical_Diet,Mass g (mean/median from study),mass-citation-if-not-from-retention-study,Food in Feeding Trial,Feeding.Trial.Food.Cat,N_individuals,N_trials,retention metric description,Minimum (min),IQR_1,Median (min),Mean (min),IQR_3,Maximum (min),SD,SE,mrt (min),mrt_sd,mrt_se,Retention.Citation,Notes,includes keywords,original submision
Bos taurus,N,Mammalia,Artiodactyla,,Bovidae,Bos_taurus,large heifer,herbivore,560000,,timothy hay w/ solid marker,fiber/foliage,3,1,mean retention time,,,,,,,,,65,,,"Udén P, Rounsaville TR, Wiggans GR, Van Soest PJ. The measurement of liquid and solid digesta retention in ruminants, equines and rabbits given timothy (Phleum pratense) hay. British Journal of Nutrition. 1982;48(2):329-339. doi:10.1079/BJN19820117",,"passage, time",N
Bos taurus,N,Mammalia,Artiodactyla,,Bovidae,Bos_taurus,large heifer,herbivore,560000,,timothy hay w/ liquid marker,fiber/foliage,3,1,mean retention time,,,,,,,,,18,,,"Udén P, Rounsaville TR, Wiggans GR, Van Soest PJ. The measurement of liquid and solid digesta retention in ruminants, equines and rabbits given timothy (Phleum pratense) hay. British Journal of Nutrition. 1982;48(2):329-339. doi:10.1079/BJN19820118",,"passage, time",N
Bos taurus,N,Mammalia,Artiodactyla,,Bovidae,Bos_taurus,small heifer,herbivore,240000,,timothy hay w/ solid marker,fiber/foliage,2,1,mean retention time,,,,,,,,,48,,,"Udén P, Rounsaville TR, Wiggans GR, Van Soest PJ. The measurement of liquid and solid digesta retention in ruminants, equines and rabbits given timothy (Phleum pratense) hay. British Journal of Nutrition. 1982;48(2):329-339. doi:10.1079/BJN19820119",,"passage, time",N
Bos taurus,N,Mammalia,Artiodactyla,,Bovidae,Bos_taurus,small heifer,herbivore,240000,,timothy hay w/ liquid marker,fiber/foliage,2,1,mean retention time,,,,,,,,,20,,,"Udén P, Rounsaville TR, Wiggans GR, Van Soest PJ. The measurement of liquid and solid digesta retention in ruminants, equines and rabbits given timothy (Phleum pratense) hay. British Journal of Nutrition. 1982;48(2):329-339. doi:10.1079/BJN19820120",,"passage, time",N
Bos taurus,N,Mammalia,Artiodactyla,,Bovidae,Bos_taurus,belgian blue cow,herbivore,575000,,"maize silage, beet pulp, seeds",fiber/foliage,14,1,transit time,360,,,1440,,2880,,,,,,"D'hondt B, Hoffmann M. A reassessment of the role of simple seed traits in mortality following herbivore ingestion. Plant Biol (Stuttg). 2011 Jan;13 Suppl 1:118-24. doi: 10.1111/j.1438-8677.2010.00335.x. PMID: 21134095.",90% of seeds were excreted at listed mean transit time,,N
Bos taurus,N,Mammalia,Artiodactyla,,Bovidae,Bos_taurus,Droughtmaster steer,herbivore,847500,Droughtmaster - Wikipedia,"oat straw, lucerne hay, Leucaena luecocephala seed",fiber/foliage,2,4,mean retention time,,,,,,,,,2280,,,"Gardener, C. J., McIvor, J. G., & Jansen, A. (1993). Passage of Legume and Grass Seeds Through the Digestive Tract of Cattle and Their Survival in Faeces. Journal of Applied Ecology, 30(1), 63–74. https://doi.org/10.2307/2404271",,"rate, passage",N
Bos taurus,N,Mammalia,Artiodactyla,,Bovidae,Bos_taurus,Droughtmaster steer,herbivore,847500,Droughtmaster - Wikipedia,"oat straw, lucerne hay, Centrosema pubescens seed",fiber/foliage,2,4,mean retention time,,,,,,,,,2208,,,"Gardener, C. J., McIvor, J. G., & Jansen, A. (1993). Passage of Legume and Grass Seeds Through the Digestive Tract of Cattle and Their Survival in Faeces. Journal of Applied Ecology, 30(1), 63–74. https://doi.org/10.2307/2404272",,"rate, passage",N
Bos taurus,N,Mammalia,Artiodactyla,,Bovidae,Bos_taurus,Droughtmaster steer,herbivore,847500,Droughtmaster - Wikipedia,"oat straw, lucerne hay, Macroptilium atropurpureum seed",fiber/foliage,2,4,mean retention time,,,,,,,,,2088,,,"Gardener, C. J., McIvor, J. G., & Jansen, A. (1993). Passage of Legume and Grass Seeds Through the Digestive Tract of Cattle and Their Survival in Faeces. Journal of Applied Ecology, 30(1), 63–74. https://doi.org/10.2307/2404273",,"rate, passage",N
Bos taurus,N,Mammalia,Artiodactyla,,Bovidae,Bos_taurus,Droughtmaster steer,herbivore,847500,Droughtmaster - Wikipedia,"oat straw, lucerne hay, Neonotonia wightii seed",fiber/foliage,2,4,mean retention time,,,,,,,,,2088,,,"Gardener, C. J., McIvor, J. G., & Jansen, A. (1993). Passage of Legume and Grass Seeds Through the Digestive Tract of Cattle and Their Survival in Faeces. Journal of Applied Ecology, 30(1), 63–74. https://doi.org/10.2307/2404274",,"rate, passage",N
Bos taurus,N,Mammalia,Artiodactyla,,Bovidae,Bos_taurus,Droughtmaster steer,herbivore,847500,Droughtmaster - Wikipedia,"oat straw, lucerne hay, Stylosanthes hamata seed",fiber/foliage,2,4,mean retention time,,,,,,,,,2850,,,"Gardener, C. J., McIvor, J. G., & Jansen, A. (1993). Passage of Legume and Grass Seeds Through the Digestive Tract of Cattle and Their Survival in Faeces. Journal of Applied Ecology, 30(1), 63–74. https://doi.org/10.2307/2404275",,"rate, passage",N
Bos taurus,N,Mammalia,Artiodactyla,,Bovidae,Bos_taurus,Droughtmaster steer,herbivore,847500,Droughtmaster - Wikipedia,"oat straw, lucerne hayStylosanthes scabra seed",fiber/foliage,2,4,mean retention time,,,,,,,,,3054,,,"Gardener, C. J., McIvor, J. G., & Jansen, A. (1993). Passage of Legume and Grass Seeds Through the Digestive Tract of Cattle and Their Survival in Faeces. Journal of Applied Ecology, 30(1), 63–74. https://doi.org/10.2307/2404276",,"rate, passage",N
Bos taurus,N,Mammalia,Artiodactyla,,Bovidae,Bos_taurus,Droughtmaster steer,herbivore,847500,Droughtmaster - Wikipedia,"oat straw, lucerne hayTrifolium repens seed",fiber/foliage,2,4,mean retention time,,,,,,,,,2484,,,"Gardener, C. J., McIvor, J. G., & Jansen, A. (1993). Passage of Legume and Grass Seeds Through the Digestive Tract of Cattle and Their Survival in Faeces. Journal of Applied Ecology, 30(1), 63–74. https://doi.org/10.2307/2404277",,"rate, passage",N
Bos taurus,N,Mammalia,Artiodactyla,,Bovidae,Bos_taurus,Droughtmaster steer,herbivore,847500,Droughtmaster - Wikipedia,"oat straw, lucerne hayLotononis bainesii seed",fiber/foliage,2,4,mean retention time,,,,,,,,,2676,,,"Gardener, C. J., McIvor, J. G., & Jansen, A. (1993). Passage of Legume and Grass Seeds Through the Digestive Tract of Cattle and Their Survival in Faeces. Journal of Applied Ecology, 30(1), 63–74. https://doi.org/10.2307/2404278",,"rate, passage",N
Bos taurus,N,Mammalia,Artiodactyla,,Bovinae,Bos_taurus,Cattle,herbivore,700000,Cattle - Wikipedia,D. indica fruit,fruit/nectar/pollen,4,1,mean retention time,,,,,,,,,2472,1032,,"Sekar, Nitin & Lee, Chia-Lo & Sukumar, Raman. (2015). In the elephant's seed shadow: The prospects of domestic bovids as replacement dispersers of three tropical Asian trees. Ecology. 96. 2093-2105. 10.1890/14-1543.1.",GRT taken from the Ave. GRT by seed table column in table 7,,N
Bos taurus,N,Mammalia,Artiodactyla,,Bovinae,Bos_taurus,Cattle,herbivore,700000,Cattle - Wikipedia,A. chaplasha fruit,fruit/nectar/pollen,8,1,mean retention time,,,,,,,,,3702,2586,,"Sekar, Nitin & Lee, Chia-Lo & Sukumar, Raman. (2015). In the elephant's seed shadow: The prospects of domestic bovids as replacement dispersers of three tropical Asian trees. Ecology. 96. 2093-2105. 10.1890/14-1543.1.",GRT taken from the Ave. GRT by seed table column in table 8,,N
Bos taurus,N,Mammalia,Artiodactyla,,Bovinae,Bos_taurus,Cattle,herbivore,700000,Cattle - Wikipedia,C.arborea fruit,fruit/nectar/pollen,3,1,mean retention time,,,,,,,,,2358,1026,,"Sekar, Nitin & Lee, Chia-Lo & Sukumar, Raman. (2015). In the elephant's seed shadow: The prospects of domestic bovids as replacement dispersers of three tropical Asian trees. Ecology. 96. 2093-2105. 10.1890/14-1543.1.",GRT taken from the Ave. GRT by seed table column in table 9,,N
Bos taurus,N,Mammalia,Artiodactyla,,Bovidae,Bos_taurus,steer,herbivore,700000,Cattle - Wikipedia,hay w / 1 specific gravity,fiber/foliage,5,1,mean retention time,,,,,,,,,1796.4,,,"Whetsell MS, Prigge EC, Nestor EL. Influence of mass of ruminal contents on voluntary intake and digesta passage in steers fed a forage and a concentrate diet. J Anim Sci. 2004 Jun;82(6):1806-17. doi: 10.2527/2004.8261806x. PMID: 15217009.",,"passage, rate",N
Bos taurus,N,Mammalia,Artiodactyla,,Bovidae,Bos_taurus,steer,herbivore,700000,Cattle - Wikipedia,hay w / 1.1 specific gravity,fiber/foliage,5,1,mean retention time,,,,,,,,,1916.4,,,"Whetsell MS, Prigge EC, Nestor EL. Influence of mass of ruminal contents on voluntary intake and digesta passage in steers fed a forage and a concentrate diet. J Anim Sci. 2004 Jun;82(6):1806-17. doi: 10.2527/2004.8261806x. PMID: 15217009.",,"passage, rate",N
Bos taurus,N,Mammalia,Artiodactyla,,Bovidae,Bos_taurus,steer,herbivore,700000,Cattle - Wikipedia,hay w / 1.2 specific gravity,fiber/foliage,5,1,mean retention time,,,,,,,,,2230.2,,,"Whetsell MS, Prigge EC, Nestor EL. Influence of mass of ruminal contents on voluntary intake and digesta passage in steers fed a forage and a concentrate diet. J Anim Sci. 2004 Jun;82(6):1806-17. doi: 10.2527/2004.8261806x. PMID: 15217009.",,"passage, rate",N
Bos taurus,N,Mammalia,Artiodactyla,,Bovidae,Bos_taurus,steer,herbivore,700000,Cattle - Wikipedia,hay w / 1.3 specific gravity,fiber/foliage,5,1,mean retention time,,,,,,,,,2020.2,,,"Whetsell MS, Prigge EC, Nestor EL. Influence of mass of ruminal contents on voluntary intake and digesta passage in steers fed a forage and a concentrate diet. J Anim Sci. 2004 Jun;82(6):1806-17. doi: 10.2527/2004.8261806x. PMID: 15217009.",,"passage, rate",N
Bos taurus,N,Mammalia,Artiodactyla,,Bovidae,Bos_taurus,steer,herbivore,700000,Cattle - Wikipedia,hay w / 1.4 specific gravity,fiber/foliage,5,1,mean retention time,,,,,,,,,2390.4,,,"Whetsell MS, Prigge EC, Nestor EL. Influence of mass of ruminal contents on voluntary intake and digesta passage in steers fed a forage and a concentrate diet. J Anim Sci. 2004 Jun;82(6):1806-17. doi: 10.2527/2004.8261806x. PMID: 15217009.",,"passage, rate",N
Bos taurus,N,Mammalia,Artiodactyla,,Bovidae,Bos_taurus,cow,folivore,755000,animaldiversity.org,guanacaste fruit + seeds as particle marker,fruit/nectar/pollen,1,961,TT,1440,,,9354,,,,,,,,Janzen (1982),transit time reported in days; each seed counted as a trial; 2 cows and 3 horseswere used but only 1 cow had sufficient info to calculate an average,Y,N
Bos taurus,N,Mammalia,Artiodactyla,,Bovidae,Bos_taurus,cow,folivore,755000,animaldiversity.org,grass + Co-EDTA fluid marker,fiber/foliage,4,1,MRT,,,,,,,,,1920,120,,Lechner et al. (2010),,N,N
Bos taurus,N,Mammalia,Artiodactyla,,Bovidae,Bos_taurus,cow,folivore,755000,animaldiversity.org,grass + 2mm Cr particle marker,fiber/foliage,4,1,MRT,,,,,,,,,3840,60,,Lechner et al. (2010),,N,N
Bos taurus,N,Mammalia,Artiodactyla,,Bovidae,Bos_taurus,cow,folivore,755000,animaldiversity.org,grass + 10mm Ce particle marker,fiber/foliage,4,1,MRT,,,,,,,,,4800,120,,Lechner et al. (2010),,N,N
Bos taurus,N,Mammalia,Artiodactyla,,Bovidae,Bos_taurus,cow,folivore,755000,animaldiversity.org,grass + 20mm La particle marker,fiber/foliage,4,1,MRT,,,,,,,,,4800,120,,Lechner et al. (2010),,N,N
Bos taurus,N,Mammalia,Artiodactyla,,Bovidae,Bos_taurus,cow,folivore,380000,,Coastal bermudagrass + Cr particle marker,fiber/foliage,4,1,MRT,,,,,,,,,4806,,468,Luginbuhl et al. (1994),99% intake level,Y,N
Bos taurus,N,Mammalia,Artiodactyla,,Bovidae,Bos_taurus,cow,folivore,380000,,Coastal bermudagrass + CoEDTA liquid marker,fiber/foliage,4,1,MRT,,,,,,,,,1794,,180,Luginbuhl et al. (1994),99% intake level,Y,N
Bos taurus,N,Mammalia,Artiodactyla,,Bovidae,Bos_taurus,cow,folivore,303000,,natural forage + CoEDTA liquid marker,fiber/foliage,9,4,"TT, MRT",,,,777,,,,,1854,,,McCollum and Galyean (1985),averaged over trials,Y,N
Bos taurus,N,Mammalia,Artiodactyla,,Bovidae,Bos_taurus,cow,folivore,452500,,hay/barley straw + Cr particle marker,fiber/foliage,4,1,MRT,,,,,,,,,3576,,,Pearson et al. (2006),averaged starting weight,N,N
Bos taurus,N,Mammalia,Artiodactyla,,Bovidae,Bos_taurus,cow,folivore,452500,,hay/barley straw + CoEDTA liquid marker,fiber/foliage,4,1,MRT,,,,,,,,,2490,,,Pearson et al. (2006),averaged starting weight,N,N
Bos taurus,N,Mammalia,Artiodactyla,,Bovidae,Bos_taurus,cow,folivore,523750,,molassine meal + Cr particle marker,fiber/foliage,4,1,"TT, MRT",,,,330,,,,,3126,,,Mathers et al. (1989),20C; starting weight averaged; MRT(i) and (iv) used,Y,N
Bos taurus,N,Mammalia,Artiodactyla,,Bovidae,Bos_taurus,cow,folivore,523751,,barley + Cr particle marker,fiber/foliage,4,1,"TT, MRT",,,,462,,,,,3714,,,Mathers et al. (1989),20C; starting weight averaged; MRT(i) and (iv) used,Y,N
Bos taurus,N,Mammalia,Artiodactyla,,Bovidae,Bos_taurus,cow,folivore,523752,,molassine meal + Cr particle marker,fiber/foliage,4,1,"TT, MRT",,,,384,,,,,4044,,,Mathers et al. (1989),33C; starting weight averaged; MRT(i) and (iv) used,Y,N
Bos taurus,N,Mammalia,Artiodactyla,,Bovidae,Bos_taurus,cow,folivore,523753,,barley + Cr particle marker,fiber/foliage,4,1,"TT, MRT",,,,588,,,,,3342,,,Mathers et al. (1989),33C; starting weight averaged; MRT(i) and (iv) used,Y,N
Bos taurus,N,Mammalia,Artiodactyla,,Bovidae,Bos_taurus,cow,folivore,523754,,molassine meal + Co liquid marker,fiber/foliage,4,1,MRT,,,,,,,,,2184,,,Mathers et al. (1989),20C; starting weight averaged; MRT(i) and (iv) used,Y,N
Bos taurus,N,Mammalia,Artiodactyla,,Bovidae,Bos_taurus,cow,folivore,523755,,barley + Co liquid marker,fiber/foliage,4,1,MRT,,,,,,,,,2070,,,Mathers et al. (1989),20C; starting weight averaged; MRT(i) and (iv) used,Y,N
Bos taurus,N,Mammalia,Artiodactyla,,Bovidae,Bos_taurus,cow,folivore,523756,,molassine meal + Co liquid marker,fiber/foliage,4,1,MRT,,,,,,,,,2448,,,Mathers et al. (1989),33C; starting weight averaged; MRT(i) and (iv) used,Y,N
Bos taurus,N,Mammalia,Artiodactyla,,Bovidae,Bos_taurus,cow,folivore,523757,,barley + Co liquid marker,fiber/foliage,4,1,MRT,,,,,,,,,2028,,,Mathers et al. (1989),33C; starting weight averaged; MRT(i) and (iv) used,Y,N
Bos taurus,N,Mammalia,Cetartiodactyla,,Bovidae,Bos_taurus,cow,folivore,509200,,"alfalfa hay, maize + CoEDTA liquid marker",fiber/foliage,4,1,mean retention time,,,,,,,,,1895.4,,,Bartocci et al. (1997),,N,N
Bos taurus,N,Mammalia,Cetartiodactyla,,Bovidae,Bos_taurus,cow,folivore,297000,,switchgrass hay + Cr-mordanted fiber particle marker,fiber/foliage,5,1,mean retention time,4968,,,,,,,,4968,,,Burns et al. (1997),took MRT from harvest day 28,Y,N
Bos taurus,N,Mammalia,Cetartiodactyla,,Bovidae,Bos_taurus,cow,folivore,297000,,switchgrass hay + Co-EDTA liquid marker,fiber/foliage,5,1,mean retention time,1764,,,,,,,,1764,,,Burns et al. (1997),took MRT from harvest day 28,Y,N
Bos taurus,N,Mammalia,Artiodactyla,,Bovidae,Bos_taurus,cow,folivore,661000,,"corn, alfalfa, soybean meal (high forage diet) + Cr particle marker",fiber/foliage,16,1,transit time; MRT,,,,685.5,,,,,2685,,,Colucci et al. (1982),averaged within low forage and high forage diets,N,N
Bos taurus,N,Mammalia,Artiodactyla,,Bovidae,Bos_taurus,cow,folivore,592150,,"corn, alfalfa, soybean meal (low forage diet) + Cr particle marker",fiber/foliage,13,1,transit time; MRT,,,,712.5,,,,,3309,,,Colucci et al. (1982),averaged within low forage and high forage diets,N,N
Bos taurus,N,Mammalia,Artiodactyla,,Bovidae,Bos_taurus,cow,folivore,755000,https://animaldiversity.org/accounts/Bos_taurus/,"animal pellets, maize silage + seeds",fiber/foliage,5,14,mean retention time,,,,,,,,,2820,,,Cosyns et al. (2005),Used plot.digitizer.com for MRT values from Figure 3,Y,N
Bos taurus,N,Mammalia,Artiodactyla,,Bovidae,Bos_taurus,cow,folivore,755000,https://animaldiversity.org/accounts/Bos_taurus/,"grass hay, maize silage, grass pellets + liquid marker",fiber/foliage,15,1,mean retention time,,,,,,,,,1236,,,Grandl et al. (2018),took MRT values from only control group,Y,N
Bos taurus,N,Mammalia,Artiodactyla,,Bovidae,Bos_taurus,cow,folivore,755000,https://animaldiversity.org/accounts/Bos_taurus/,"grass hay, maize silage, grass pellets + Cr 2 mm particle marker",fiber/foliage,15,1,mean retention time,,,,,,,,,2154,,,Grandl et al. (2018),took MRT values from only control group,Y,N
Bos taurus,N,Mammalia,Artiodactyla,,Bovidae,Bos_taurus,cow,folivore,755000,https://animaldiversity.org/accounts/Bos_taurus/,"grass hay, maize silage, grass pellets + La 5 mm particle marker",fiber/foliage,15,1,mean retention time,,,,,,,,,2286,,,Grandl et al. (2018),took MRT values from only control group,Y,N
Bos taurus,N,Mammalia,Artiodactyla,,Bovidae,Bos_taurus,cow,folivore,755000,https://animaldiversity.org/accounts/Bos_taurus/,"grass hay, maize silage, grass pellets + Ce 8 mm particle marker",fiber/foliage,15,1,mean retention time,,,,,,,,,2436,,,Grandl et al. (2018),took MRT values from only control group,Y,N
Boselaphus tragocamelus,N,Mammalia,Artiodactyla,,Bovidae,Boselaphus_tragocamelus,nilgai,folivore,168000,,"grass hay, alfalfa + Co-EDTA liquid marker",fiber/foliage,5,1,transit time; MRT,,,,,,,,,1680,150,,Hummel et al. (2015),,N,N
Boselaphus tragocamelus,N,Mammalia,Artiodactyla,,Bovidae,Boselaphus_tragocamelus,nilgai,folivore,168000,,"grass hay, alfalfa + Cr particle marker",fiber/foliage,5,1,transit time; MRT,,,,,,,,,3240,534,,Hummel et al. (2015),,N,N
Brachyphylla nana,Y,Mammalia,Chiroptera,188,Phyllostomidae,Brachyphylla_nana,Antillean nectar bat,omnivore,34.3,mean reported in paper,pollen + water mixture,fruit/nectar/pollen,8,1,MGT: time from ingestion of pollen to appearance of pollen infeces,,,,40.8,,,8.520408163,,,,,Mancina et al 2005,minimum gut transit time extracted from figure,,Yes
Brachyteles arachnoides,N,Mammalia,Primates,,Atelidae,Brachyteles_arachnoides,southern muriqui,frugivore,12000,,mixed fruit/veggies/bread/etc + plastic particle marker,protein,1,1,TT,,,,480,,,,,,,,Milton (1984),,N,N
Bradypus tridactylus,N,Mammalia,Pilosa,,Bradypodidae,Bradypus_tridactylus,pale-throated three-toed sloth,folivore,2400,,Cecropia palmata leaves + EDTA solute markers,fiber/foliage,6,3,mean retention time,,,,,,,,,9084,,,Foley et al.(1995),,Y,N
Bradypus tridactylus,N,Mammalia,Pilosa,,Bradypodidae,Bradypus_tridactylus,pale-throated three-toed sloth,folivore,2400,,Cecropia palmata leaves + particle markers YbCl3 LaCl3 SmCL3,fiber/foliage,6,3,mean retention time,,,,,,,,,8808,,,Foley et al.(1995),,Y,N
Bubalus bubalis,N,Mammalia,Artiodactyla,,Bovidae,Bubalus_bubalis,swamp buffalo,folivore,656250,,molassine meal + Cr particle marker,fiber/foliage,4,1,"TT, MRT",,,,282,,,,,3630,,,Mathers et al. (1989),20C; starting weight averaged; MRT(i) and (iv) used,Y,N
Bubalus bubalis,N,Mammalia,Artiodactyla,,Bovidae,Bubalus_bubalis,swamp buffalo,folivore,656251,,barley + Cr particle marker,fiber/foliage,4,1,"TT, MRT",,,,456,,,,,3294,,,Mathers et al. (1989),20C; starting weight averaged; MRT(i) and (iv) used,Y,N
Bubalus bubalis,N,Mammalia,Artiodactyla,,Bovidae,Bubalus_bubalis,swamp buffalo,folivore,656252,,molassine meal + Cr particle marker,fiber/foliage,4,1,"TT, MRT",,,,300,,,,,3618,,,Mathers et al. (1989),33C; starting weight averaged; MRT(i) and (iv) used,Y,N
Bubalus bubalis,N,Mammalia,Artiodactyla,,Bovidae,Bubalus_bubalis,swamp buffalo,folivore,656253,,barley + Cr particle marker,fiber/foliage,4,1,"TT, MRT",,,,372,,,,,3372,,,Mathers et al. (1989),33C; starting weight averaged; MRT(i) and (iv) used,Y,N
Bubalus bubalis,N,Mammalia,Artiodactyla,,Bovidae,Bubalus_bubalis,swamp buffalo,folivore,656254,,molassine meal + Co liquid marker,fiber/foliage,4,1,MRT,,,,,,,,,2070,,,Mathers et al. (1989),20C; starting weight averaged; MRT(i) and (iv) used,Y,N
Bubalus bubalis,N,Mammalia,Artiodactyla,,Bovidae,Bubalus_bubalis,swamp buffalo,folivore,656255,,barley + Co liquid marker,fiber/foliage,4,1,MRT,,,,,,,,,1812,,,Mathers et al. (1989),20C; starting weight averaged; MRT(i) and (iv) used,Y,N
Bubalus bubalis,N,Mammalia,Artiodactyla,,Bovidae,Bubalus_bubalis,swamp buffalo,folivore,656256,,molassine meal + Co liquid marker,fiber/foliage,4,1,MRT,,,,,,,,,2082,,,Mathers et al. (1989),33C; starting weight averaged; MRT(i) and (iv) used,Y,N
Bubalus bubalis,N,Mammalia,Artiodactyla,,Bovidae,Bubalus_bubalis,swamp buffalo,folivore,656257,,barley + Co liquid marker,fiber/foliage,4,1,MRT,,,,,,,,,1896,,,Mathers et al. (1989),33C; starting weight averaged; MRT(i) and (iv) used,Y,N
Bubalus bubalis,N,Mammalia,Artiodactyla,,Bovidae,Bubalus_bubalis,water buffalo,folivore,417100,,"alfalfa hay, maize + CoEDTA liquid marker",fiber/foliage,4,1,mean retention time,,,,,,,,,1735.8,,,Bartocci et al. (1997),,N,N
Bubalus depressicornis,N,Mammalia,Artiodactyla,,Bovidae,Bubalus_depressicornis,lowland anoa,folivore,90000,,"legume hay, dairy cow pellets, browse, fruit, vegetables + Co-EDTA fluid marker",fiber/foliage,4,1,mean retention time,,,,,,,,,1500,246,,Flores-Miyamoto et al.(2005),,Y,N
Bubalus depressicornis,N,Mammalia,Artiodactyla,,Bovidae,Bubalus_depressicornis,lowland anoa,folivore,90000,,"legume hay, dairy cow pellets, browse, fruit, vegetables  + Cr particle marker",fiber/foliage,4,1,mean retention time,,,,,,,,,2340,402,,Flores-Miyamoto et al.(2005),,Y,N
Bubo virginianus,Y,Aves,Stringiformes,,Stringidae,Bubo_virginianus,great horned owl,carnivore,1500,Bubo virginianus (great horned owl) | INFORMATION | Animal Diversity Web,lab mice,meat,4,1,meal to pellet interval,,,,13.25,,,1.73,,,,,"Duke GE, Evanson OA, Jegers A (1976) Meal to pellet intervals in 14 species of captive raptors. Comparative Biochemistry and Physiology A 53:1-14","some birds were fed at two different times, this did not seem to have any significant impact on the excretion time (so with the exception of the caracara which was only fed at 1100) all numbers reflected are from the 0900 feeding",,n
Bulbalus bubalis,N,Mammalia,Artiodactyla,,Bovinae,Bubalus_bubalis,Buffalo,herbivore,425000,Water buffalo - Wikipedia,D. indica fruit,fruit/nectar/pollen,4,1,mean retention time,,,,,,,,,2214,876,,"Sekar, Nitin & Lee, Chia-Lo & Sukumar, Raman. (2015). In the elephant's seed shadow: The prospects of domestic bovids as replacement dispersers of three tropical Asian trees. Ecology. 96. 2093-2105. 10.1890/14-1543.1.",GRT taken from the Ave. GRT by seed table column in table 4,,N
Bulbalus bubalis,N,Mammalia,Artiodactyla,,Bovinae,Bubalus_bubalis,Buffalo,herbivore,425000,Water buffalo - Wikipedia,A. chaplasha fruit,fruit/nectar/pollen,3,1,mean retention time,,,,,,,,,3102,1554,,"Sekar, Nitin & Lee, Chia-Lo & Sukumar, Raman. (2015). In the elephant's seed shadow: The prospects of domestic bovids as replacement dispersers of three tropical Asian trees. Ecology. 96. 2093-2105. 10.1890/14-1543.1.",GRT taken from the Ave. GRT by seed table column in table 5,,N
Bulbalus bubalis,N,Mammalia,Artiodactyla,,Bovinae,Bubalus_bubalis,Buffalo,herbivore,425000,Water buffalo - Wikipedia,C.arborea fruit,fruit/nectar/pollen,3,1,mean retention time,,,,,,,,,2730,900,,"Sekar, Nitin & Lee, Chia-Lo & Sukumar, Raman. (2015). In the elephant's seed shadow: The prospects of domestic bovids as replacement dispersers of three tropical Asian trees. Ecology. 96. 2093-2105. 10.1890/14-1543.1.",GRT taken from the Ave. GRT by seed table column in table 6,,N
Buteo buteo,Y,Aves,Accipitriformes,,Accipitridae,Buteo_buteo,common buzzard,carnivore,848,,"cockerel, pigeon, rabbit",meat,4,1,transit time,,,,,,,,,493.8,23.7,,"Barton NWH, Houston DC (1993) The influence of gut morphology on digestion time in raptors. Comparative Biochemistry and Physiology A 105:571–579",,time,n
Buteo jamaicensis,Y,Aves,Accipitriformes,637.9,Accipitridae,Buteo_jamaicensis,Red-tailed hawks,carnivore,1009.5,https://animaldiversity.org/accounts/Buteo_jamaicensis/,30% weight-by-volume suspension; mice,meat,9,,first excretia of marker,30,,,100,,180,52,,,,,Doss et al 2017b,,,Yes
Buteo jamaicensis,Y,Aves,Falconiformes,,Accipitridae,Buteo_jamaicensis,red tail hawk,carnivore,1100,Buteo jamaicensis (red-tailed hawk) | INFORMATION | Animal Diversity Web,lab mice,meat,6,1,meal to pellet interval,,,,22.54,,,0.84,,,,,"Duke GE, Evanson OA, Jegers A (1976) Meal to pellet intervals in 14 species of captive raptors. Comparative Biochemistry and Physiology A 53:1-7","some birds were fed at two different times, this did not seem to have any significant impact on the excretion time (so with the exception of the caracara which was only fed at 1100) all numbers reflected are from the 0900 feeding",,n
Buteo lagopus,Y,Aves,Falconiformes,,Accipitridae,Buteo_lagopus,rough legged hawk,carnivore,1062.5,Buteo lagopus (rough-legged buzzard) | INFORMATION | Animal Diversity Web,lab mice,meat,3,1,meal to pellet interval,,,,21.71,,,0.73,,,,,"Duke GE, Evanson OA, Jegers A (1976) Meal to pellet intervals in 14 species of captive raptors. Comparative Biochemistry and Physiology A 53:1-8","some birds were fed at two different times, this did not seem to have any significant impact on the excretion time (so with the exception of the caracara which was only fed at 1100) all numbers reflected are from the 0900 feeding",,n
Buteo platypterus,Y,Aves,Falconiformes,,Accipitridae,Buteo_platypterus,broad winged hawk,carnivore,412.5,Buteo platypterus (broad-winged hawk) | INFORMATION | Animal Diversity Web,lab mice,meat,2,1,meal to pellet interval,,,,21.7,,,0.53,,,,,"Duke GE, Evanson OA, Jegers A (1976) Meal to pellet intervals in 14 species of captive raptors. Comparative Biochemistry and Physiology A 53:1-9","some birds were fed at two different times, this did not seem to have any significant impact on the excretion time (so with the exception of the caracara which was only fed at 1100) all numbers reflected are from the 0900 feeding",,n
Bycanistes bucinator,Y,Aves,Coraciiformes,,Bucerotidae,Bycanistes_bucinator,Trumpeter hornbill,frugivore/nectivore,743,,"tomatoes, grapes, lychee",fruit/nectar/pollen,2,20,gut passage time,,57,,77,155,,,,,,,"Lenz J, Fiedler W, Caprano T, Friedrichs W, Gaese BH, Wikelski M, Böhning-Gaese K (2011) Seed-dispersal distributions by trumpeter hornbills in fragmented landscapes. Proceedings of the Royal Society B: Biological Sciences 278:2257-2264",,,n
