"genus.species","fly","class","order","family","common.name","sum_mass","trial.diet","N_tot","total_MRT","MRT","avg_mass","re_class","MRT_hrs","mass_kg","phylo_name"
"Macaca fascicularis","N","Mammalia","Primates","Cercopithecidae","long-tailed macaque",9380,"fiber/foliage",8,17928,2241,1172.5,"Primates",37.35,1.1725,"Macaca_fascicularis"
"Macaca fuscata","N","Mammalia","Primates","Cercopithecidae","Japanese macaque",72800,"fiber/foliage",20,46875,2343.75,3640,"Primates",39.0625,3.64,"Macaca_fuscata"
"Macaca fuscata","N","Mammalia","Primates","Cercopithecidae","Japanese macaque",8600,"fruit/nectar/pollen",5,10800,2160,1720,"Primates",36,1.72,"Macaca_fuscata"
"Macaca fuscata","N","Mammalia","Primates","Cercopithecidae","Japanese Macaque",18400,"fruit/nectar/pollen",9,23334,2592.66666666667,2044.44444444444,"Primates",43.2111111111111,2.04444444444444,"Macaca_fuscata"
"Macaca nemestrina","N","Mammalia","Primates","Cercopthecidae","pig-tailed macaque",7000,"fiber/foliage",5,13,2.6,1400,"Primates",0.0433333333333333,1.4,"Macaca_nemestrina"
"Macronectes giganteus","Y","Aves","Procellariiformes","Procellariidae","Southern Giant Petrel",3000,"meat",12,10872,906,250,"Flying Birds",15.1,0.25,"Macronectes_giganteus"
"Madoqua saltiana phillipsi","N","Mammalia","Artiodactyla","Bovidae","Phillip's dik dik",13880,"fiber/foliage",62,114822,1851.96774193548,223.870967741935,"Even-toed Ungulates",30.8661290322581,0.223870967741935,"Madoqua_saltiana"
"Marmaronetta angustirostris","Y","Aves","Anseriformes","Anatidae","Marbled Teal",616,"fiber/foliage",10,9588,958.8,61.6,"Flying Birds",15.98,0.0616,"Marmaronetta_angustirostris"
"Marmota caligata","N","Mammalia","Rodentia","Sciuridae","hoary marmot",4616,"protein",12,19332,1611,384.666666666667,"Rodents",26.85,0.384666666666667,"Marmota_caligata"
"Martes melampus","N","Mammalia","Carnivora","Mustelidae","Japanese Marten",5598,"mixed",12,4977.6,414.8,466.5,"Carnivora",6.91333333333333,0.4665,"Martes_melampus"
"Meleagris gallopavo","Y","Aves","Galliformes","Phasianidae","Turkey",19950,"fiber/foliage",18,15552,864,1108.33333333333,"Flying Birds",14.4,1.10833333333333,"Meleagris_gallopavo"
"Meriones unguiculatus","N","Mammalia","Rodentia","Muridae","Mongolian gerbils",51.3,"fiber/foliage",11,7227,657,4.66363636363636,"Rodents",10.95,0.00466363636363636,"Meriones_unguiculatus"
"Mesocricetus auratus","N","Mammalia","Rodentia","Cricetidae","hamster",105,"fiber/foliage",6,3276,546,17.5,"Rodents",9.1,0.0175,"Mesocricetus_auratus"
"Microtus agrestis","N","Mammalia","Rodentia","Cricetidae","short-tailed field vole",57.2,"fiber/foliage",12,3744,312,4.76666666666667,"Rodents",5.2,0.00476666666666667,"Microtus_agrestis"
"Microtus townsendii","N","Mammalia","Rodentia","Cricetidae","Townsend vole",109.8,"protein",12,10044,837,9.15,"Rodents",13.95,0.00915,"Microtus_townsendii"
"Milvus milvus","Y","Aves","Accipitriformes","Accipitridae","red kite",1033.5,"meat",2,898.8,449.4,516.75,"Flying Birds",7.49,0.51675,"Milvus_milvus"
"Mirounga leonina","N","Mammalia","Carnivora","Phocidae","southern elephant seals",4100000,"meat",6,4242,707,683333.333333333,"Carnivora",11.7833333333333,683.333333333333,"Mirounga_leonina"
"Mitu salvini","N","Aves","Galliformes","Cracidae","Salvin's curassows",9300,"fruit/nectar/pollen",6,844,140.666666666667,1550,"Non-Flying Birds",2.34444444444444,1.55,"Mitu_salvini"
"Monachus schauinslandi","N","Mammalia","Carnivora","Phocidae","Hawaiian monk seal",186000,"meat",3,3060,1020,62000,"Carnivora",17,62,"Neomonachus_schauinslandi"
"Morus capensis","Y","Aves","Suliformes","Sulidae","Cape gannet",7800,"meat",15,9450,630,520,"Flying Birds",10.5,0.52,"Morus_capensis"
"Mus musculus","N","Mammalia","Rodentia","Muridae","laboratory mouse",29,"fiber/foliage",6,1440,240,4.83333333333333,"Rodents",4,0.00483333333333333,"Mus_musculus"
"Myocastor coypus","N","Mammalia","Rodentia","Echimyidae","nutria",8800,"fiber/foliage",10,26754,2675.4,880,"Rodents",44.59,0.88,"Myocastor_coypus"
"Myocastor coypus","N","Mammalia","Rodentia","Myocastoridae","nutria",3720,"fiber/foliage",8,13056,1632,465,"Rodents",27.2,0.465,"Myocastor_coypus"
"Myotis bechsteinii","Y","Mammalia","Chiroptera","Vespertilionidae","Bechstein's bat",8,"protein",5,1545,309,1.6,"Bats",5.15,0.0016,"Myotis_bechsteinii"
"Myotis daubentonii","Y","Mammalia","Chiroptera","Vespertilionidae","Daubenton's bat",7.6,"protein",17,3094,182,0.447058823529412,"Bats",3.03333333333333,0.000447058823529412,"Myotis_daubentonii"
"Myotis myotis","Y","Mammalia","Chiroptera","Vespertilionidae","Greater mouse-eared bat",25.8,"protein",8,984,123,3.225,"Bats",2.05,0.003225,"Myotis_myotis"
"Myotis nattereri","Y","Mammalia","Chiroptera","Vespertilionidae","Natterer's bat",6.8,"protein",3,564,188,2.26666666666667,"Bats",3.13333333333333,0.00226666666666667,"Myotis_nattereri"
"Nanger dama","N","Mammalia","Artiodactyla","Bovidae","Dama gazelle",122200,"fiber/foliage",8,12576,1572,15275,"Even-toed Ungulates",26.2,15.275,"Nanger_dama"
"Nanger soemmerringii","N","Mammalia","Artiodactyla","Bovidae","Soemmerring's gazelle",71200,"fiber/foliage",22,37092,1686,3236.36363636364,"Even-toed Ungulates",28.1,3.23636363636364,"Nanger_soemmerringii"
"Nasalis larvatus","N","Mammalia","Primates","Cercopithecidae","proboscis monkey",40000,"fiber/foliage",16,39030,2439.375,2500,"Primates",40.65625,2.5,"Nasalis_larvatus"
"Nasalis larvatus","N","Mammalia","Primates","Cercopithecidae","proboscis monkey",10000,"protein",6,17640,2940,1666.66666666667,"Primates",49,1.66666666666667,"Nasalis_larvatus"
"Nectarinia amesthystina","Y","Aves","Passeriformes","Nectariniidae","black sunbird",22.5,"fruit/nectar/pollen",21,385,18.3333333333333,1.07142857142857,"Flying Birds",0.305555555555556,0.00107142857142857,"Nectarinia_senegalensis"
"Nectarinia famosa","Y","Aves","Passeriformes","Nectariniidae","malachite sunbird",39,"fruit/nectar/pollen",15,336,22.4,2.6,"Flying Birds",0.373333333333333,0.0026,"Nectarinia_famosa"
"Neotoma lepida","N","Mammalia","Rodentia","Cricetidae","desert woodrat",125,"fiber/foliage",5,3900,780,25,"Rodents",13,0.025,"Neotoma_lepida"
"Netta rufina","Y","Aves","Anseriformes","Anatidae","Red-crested Pochard",2300,"fiber/foliage",6,5752.8,958.8,383.333333333333,"Flying Birds",15.98,0.383333333333333,"Netta_rufina"
"Nyctalus leisleri","Y","Mammalia","Chiroptera","Vespertilionidae","Lesser Noctule",12.5,"protein",3,777,259,4.16666666666667,"Bats",4.31666666666667,0.00416666666666667,"Nyctalus_leisleri"
"Nyctalus noctula","Y","Mammalia","Chiroptera","Vespertilionidae","Noctule",27.5,"protein",9,2655,295,3.05555555555556,"Bats",4.91666666666667,0.00305555555555556,"Nyctalus_noctula"
"Nyctereutes procynoides","N","Mammalia","Carnivora","Canidae","raccoon dog",4130,"fruit/nectar/pollen",6,2700,450,688.333333333333,"Carnivora",7.5,0.688333333333333,"Nyctereutes_procyonoides"
"Nyctereutes procynoides","N","Mammalia","Carnivora","Canidae","raccoon dog",4131,"meat",6,4650,775,688.5,"Carnivora",12.9166666666667,0.6885,"Nyctereutes_procyonoides"
"Nyctophilus gouldi","Y","Mammalia","Chiroptera","Vespertillionidae","Gould’s long-eared bat",9.25,"meat",5,1614,322.8,1.85,"Bats",5.38,0.00185,"Nyctophilus_gouldi"
"Obis aries","N","Mammalia","Artiodactyla","Bovidae","Domestic Sheep",110000,"fiber/foliage",3,6120,2040,36666.6666666667,"Even-toed Ungulates",34,36.6666666666667,"Ovis_aries"
"Octodon degus","N","Mammalia","Rodentia","Octodontidae","degu",925,"fiber/foliage",32,33504,1047,28.90625,"Rodents",17.45,0.02890625,"Octodon_degus"
"Odocoileus virginianus","N","Mammalia","Artiodactyla","Cervidae","white-tailed deer",156750,"fiber/foliage",6,7326,1221,26125,"Even-toed Ungulates",20.35,26.125,"Odocoileus_virginianus"
"Onychognathus morio","Y","Aves","Passeriformes","Sturnidae","red-winged starling",135,"fiber/foliage",4,140,35,33.75,"Flying Birds",0.583333333333333,0.03375,"Onychognathus_morio"
"Onychognathus tristramii","Y","Aves","Passeriformes","Sturnidae","Tristam's Grackle",119,"fruit/nectar/pollen",9,1215.9,135.1,13.2222222222222,"Flying Birds",2.25166666666667,0.0132222222222222,"Onychognathus_morio"
"Opisthocomus hoazin","Y","Aves","Opisthocomiformes","Opisthocomidae","Hoatzin",3600,"unknown",20,36810,1840.5,180,"Flying Birds",30.675,0.18,"Opisthocomus_hoazin"
"Oryx gazella","N","Mammalia","Artiodactyla","Bovidae","Oryx Antelope",420000,"fiber/foliage",6,16020,2670,70000,"Even-toed Ungulates",44.5,70,"Oryx_gazella"
"Oryx leucoryx","N","Mammalia","Artiodactyla","Bovidae","Arabian oryx",140000,"fiber/foliage",2,4488,2244,70000,"Even-toed Ungulates",37.4,70,"Oryx_leucoryx"
"Ovibos moschatus","N","Mammalia","Artiodactyla","Bovidae","muskoxen",2280000,"fiber/foliage",32,118800,3712.5,71250,"Even-toed Ungulates",61.875,71.25,"Ovibos_moschatus"
"Ovibos moschatus","N","Mammalia","Artiodactyla","Bovidae","musk ox",717000,"fiber/foliage",20,55896,2794.8,35850,"Even-toed Ungulates",46.58,35.85,"Ovibos_moschatus"
"Ovis aries","N","Mammalia","Artiodactyla","Bovidae","domestic sheep",277200,"fiber/foliage",19,50580,2662.10526315789,14589.4736842105,"Even-toed Ungulates",44.3684210526316,14.5894736842105,"Ovis_aries"
"Ovis aries","N","Mammalia","Artiodactyla","Bovidae","Domestic Sheep",110000,"fiber/foliage",3,9720,3240,36666.6666666667,"Even-toed Ungulates",54,36.6666666666667,"Ovis_aries"
"Ovis aries","N","Mammalia","Artiodactyla","Bovidae","sheep",1293870,"fiber/foliage",92,184232,2002.52173913043,14063.8043478261,"Even-toed Ungulates",33.3753623188406,14.0638043478261,"Ovis_aries"
"Ovis aries","N","Mammalia","Artiodactyla","Bovidae","kazakh sheep",42000,"fiber/foliage",6,13044.917646,2174.152941,7000,"Even-toed Ungulates",36.23588235,7,"Ovis_aries"
"Pan troglodytes","N","Mammalia","Primates","Hominidae","Chimpanzee",58400,"fruit/nectar/pollen",2,3780,1890,29200,"Primates",31.5,29.2,"Pan_troglodytes"
"Paradoxurus hermaphroditus","N","Mammalia","Carnivora","Viverridae","palm civet",3500,"fiber/foliage",3,468,156,1166.66666666667,"Carnivora",2.6,1.16666666666667,"Paradoxurus_hermaphroditus"
"Pecari tacaju","N","Mammalia","Artiodactyla","Tayassuidae","collared peccary",39000,"fiber/foliage",12,30456,2538,3250,"Even-toed Ungulates",42.3,3.25,"Pecari_tajacu"
"Pernis apivorus","Y","Aves","Accipitriformes","Accipitridae","honey buzzard",470,"meat",1,408.6,408.6,470,"Flying Birds",6.81,0.47,"Pernis"
"Phacochoerus africanus","N","Mammalia","Artiodactyla","Suidae","warthog",2e+05,"fiber/foliage",2,78,39,1e+05,"Even-toed Ungulates",0.65,100,"Phacochoerus_africanus"
"Philantomba maxwellii","N","Mammalia","Artiodactyla","Bovidae","Maxwell's duiker",9000,"fruit/nectar/pollen",6,15192,2532,1500,"Even-toed Ungulates",42.2,1.5,"Philantomba_maxwellii"
"Phoca groenlandica","N","Mammalia","Carnivora","Phocidae","harp seal",260000,"meat",4,2940,735,65000,"Carnivora",12.25,65,"Phoca_groenlandica"
"Phoca vitulina","N","Mammalia","Carnivora","Pinnipedia","harbour seal",177600,"meat",24,32640,1360,7400,"Carnivora",22.6666666666667,7.4,"Phoca_vitulina"
"Phoebetria fusca","Y","Aves","Procellariiformes","Diomedeidae","Sooty Albatrosses",7500,"meat",15,13800,920,500,"Flying Birds",15.3333333333333,0.5,"Phoebetria"
"Phyllotis darwini","N","Mammalia","Rodentia","Cricetidae","Darwin's leaf-eared mouse",162,"fiber/foliage",12,6444,537,13.5,"Rodents",8.95,0.0135,"Phyllotis_darwini"
"Phyllotis xanthopygus","N","Mammalia","Rodentia","Cricetidae","leaf-eared mouse",111,"fiber/foliage",12,4356,363,9.25,"Rodents",6.05,0.00925,"Phyllotis_xanthopygus"
"Phytotoma rara","Y","Aves","Passeriformes","Contingidae","Rufuos tailed plant-cutter",40.9,"fiber/foliage",12,411.6,34.3,3.40833333333333,"Flying Birds",0.571666666666667,0.00340833333333333,"Phytotoma_rara"
"Phytotoma rara","Y","Aves","Passeriformes","Contingidae","Rufuos tailed plant-cutter",40.9,"fruit/nectar/pollen",12,727.2,60.6,3.40833333333333,"Flying Birds",1.01,0.00340833333333333,"Phytotoma_rara"
"Pipistrellus pipistrellus","Y","Mammalia","Chiroptera","Vespertilionidae","Common pipistrelle",5.1,"protein",7,1778,254,0.728571428571429,"Bats",4.23333333333333,0.000728571428571429,"Pipistrellus_pipistrellus"
"Pithecia pithecia","N","Mammalia","Primates","Pitheciidae","white-faced saki",1712.5,"fiber/foliage",4,6150,1537.5,428.125,"Primates",25.625,0.428125,"Pithecia_pithecia"
"Plecotus auritus","Y","Mammalia","Chiroptera","Vespertilionidae","Brown long-eared bat",6.9,"protein",6,792,132,1.15,"Bats",2.2,0.00115,"Plecotus_auritus"
"Plectopterus gambensis","Y","Aves","Anseriformes","Anatidae","Spur-winged goose",3900,"fiber/foliage",4,1528,382,975,"Flying Birds",6.36666666666667,0.975,"Sarkidiornis_melanotos"
"Plectopterus gambensis","Y","Aves","Anseriformes","Anatidae","Spur-winged goose",3900,"protein",4,560,140,975,"Flying Birds",2.33333333333333,0.975,"Sarkidiornis_melanotos"
"Pongo pygmaeus","N","Mammalia","Primates","Hominidae","Bornean orangutan",135140,"fiber/foliage",8,1084.8,135.6,16892.5,"Primates",2.26,16.8925,"Pongo_pygmaeus"
"Pongo pygmaeus","N","Mammalia","Primates","Hominidae","Bornean orangutan",141400,"fruit/nectar/pollen",6,25002,4167,23566.6666666667,"Primates",69.45,23.5666666666667,"Pongo_pygmaeus"
"Potos flavus","N","Mammalia","Carnivora","Procyonidae","kinkajou",4250,"protein",2,300,150,2125,"Carnivora",2.5,2.125,"Potos_flavus"
"Promerops gurneyi","Y","Aves","Passeriformes","Promeropidae","gurney's sugarbird",34.75,"fruit/nectar/pollen",2,12.2,6.1,17.375,"Flying Birds",0.101666666666667,0.017375,"Promerops"
"Propithecus tattersalli","N","Mammalia","Primates","Indriidae","Golden crowned sifaka",6186,"fiber/foliage",6,12312,2052,1031,"Primates",34.2,1.031,"Propithecus_tattersalli"
"Propithecus verreauxi coquereli","N","Mammalia","Primates","Indriidae","Coquerel's sifaka",10772,"fiber/foliage",18,35038.8,1946.6,598.444444444444,"Primates",32.4433333333333,0.598444444444444,"Propithecus_verreauxi"
"Psilopogon asiaticus","Y","Aves","Piciformes","Megalaimidae","blue-throated barbet",665,"fruit/nectar/pollen",35,940,26.8571428571429,19,"Flying Birds",0.447619047619048,0.019,"Megalaima_asiatica"
"Pteropus rufus","Y","Mammalia","Chiroptera","Pteropodidae","Madagascan Flying Fox",625,"fruit/nectar/pollen",4,120,30,156.25,"Bats",0.5,0.15625,"Pteropus_rufus"
"Ptiliogonys cinereus","Y","Aves","Passeriformes","Ptiliogonatidae","grey silky flycatchers",100.5,"fruit/nectar/pollen",12,227.2,18.9333333333333,8.375,"Flying Birds",0.315555555555556,0.008375,"Ptilogonys_caudatus"
"Ptiliogonys cinereus","Y","Aves","Passeriformes","Ptiliogonatidae","silky flycatcher",103.5,"fruit/nectar/pollen",21,470.4,22.4,4.92857142857143,"Flying Birds",0.373333333333333,0.00492857142857143,"Ptilogonys_caudatus"
"Pudu puda","N","Mammalia","Artiodactyla","Cervidae","Southern pudu",9000,"fruit/nectar/pollen",6,10764,1794,1500,"Even-toed Ungulates",29.9,1.5,"Pudu_puda"
"Pycnonotus goiavier","Y","Aves","Passeriformes","Pyconitidae","Yellow-vented Bulbul",40.5,"fruit/nectar/pollen",7,242.9,34.7,5.78571428571429,"Flying Birds",0.578333333333333,0.00578571428571429,"Pycnonotus_goiavier"
"Pyconotus aurigaster","Y","Aves","Passeriformes","Pyconitidae","sooty-headed bulbul",315,"fruit/nectar/pollen",42,972,23.1428571428571,7.5,"Flying Birds",0.385714285714286,0.0075,"Pycnonotus_aurigaster"
"Pyconotus joscosus","Y","Aves","Passeriformes","Pyconitidae","Red-whiskered bulbul",227.5,"fruit/nectar/pollen",56,1336,23.8571428571429,4.0625,"Flying Birds",0.397619047619048,0.0040625,"Pycnonotus_jocosus"
"Pygathrix nemaeus","N","Mammalia","Primates","Cercopithecidae","red-shanked douc",32400,"fiber/foliage",8,24180,3022.5,4050,"Primates",50.375,4.05,"Pygathrix_nemaeus"
"Pygathrix nemaeus","N","Mammalia","Primates","Cercopithecidae","red-shanked douc langur",3595,"fiber/foliage",3,6108,2036,1198.33333333333,"Primates",33.9333333333333,1.19833333333333,"Pygathrix_nemaeus"
"Pygoscelis papua","N","Aves","Sphenisciformes","Spheniscidae","gentoo penguin",19500,"meat",15,12930,862,1300,"Non-Flying Birds",14.3666666666667,1.3,"Pygoscelis_papua"
"Pygoscelis papua","N","Aves","Sphenisciformes","Spheniscidae","Gentoo Penguin",3000,"meat",12,5940,495,250,"Non-Flying Birds",8.25,0.25,"Pygoscelis_papua"
"Ramphastos pluricinctus","Y","Aves","Piciformes","Ramphastidae","Many-banded arcari",258.5,"fruit/nectar/pollen",1,30,30,258.5,"Flying Birds",0.5,0.2585,"Pteroglossus_pluricinctus"
"Rangifer tarandus","N","Mammalia","Artiodactyla","Cervidae","reindeer",1492000,"fiber/foliage",32,89280,2790,46625,"Even-toed Ungulates",46.5,46.625,"Rangifer_tarandus"
"Rattus norvegicus","N","Mammalia","Rodentia","Muridae","common rat",590,"fiber/foliage",12,9072,756,49.1666666666667,"Rodents",12.6,0.0491666666666667,"Rattus_norvegicus"
"Rhea americana","N","Aves","Struthioniformes","Rheidae","greater rhea",72000,"fiber/foliage",15,11310,754,4800,"Non-Flying Birds",12.5666666666667,4.8,"Rhea_americana"
"Rhea americana","N","Aves","Palaeognathae","Rheidae","Greater Rhea",24500,"fiber/foliage",5,3900,780,4900,"Non-Flying Birds",13,4.9,"Rhea_americana"
"Rhinoceros unicornis","N","Mammalia","Perissodactyla","Rhinocerotidae","Indian rinoceros",1950000,"fruit/nectar/pollen",1,4560,4560,1950000,"Odd-toed Ungulates",76,1950,"Rhinoceros_unicornis"
"Rhinopithecus bieti","N","Mammalia","Primates","Cercopithecidae","Snub-Nosed Monkey",11750,"fiber/foliage",3,11880,3960,3916.66666666667,"Primates",66,3.91666666666667,"Rhinopithecus_bieti"
"Rhinopithecus bieti","N","Mammalia","Primates","Cercopithecidae","Snub-Nosed Monkey",11750,"fruit/nectar/pollen",3,6750,2250,3916.66666666667,"Primates",37.5,3.91666666666667,"Rhinopithecus_bieti"
"Rissa tridactyla","Y","Aves","Charadriiformes","Laridae","Black-legged kittiwake",1830,"meat",24,7729.2,322.05,76.25,"Flying Birds",5.3675,0.07625,"Rissa_tridactyla"
"Rubigula  Flaviventris","Y","Aves","Passeriformes","Pyconitidae","black-crested bulbul",217,"fruit/nectar/pollen",56,1152,20.5714285714286,3.875,"Flying Birds",0.342857142857143,0.003875,"Pycnonotus_flaviventris"
"Saltator similis","Y","Aves","Passeriformes","Thraupidae","Green winged saltator",129.9,"fiber/foliage",6,184.5,30.75,21.65,"Flying Birds",0.5125,0.02165,"Saltator_similis"
"Selasphorous rufus","Y","Aves","Apodiformes","Trochilidae","Rufous Hummingbirds",2.5,"fruit/nectar/pollen",4,192,48,0.625,"Flying Birds",0.8,0.000625,"Selasphorus_rufus"
"Semnopithecus vetulus","N","Mammalia","Primates","Cercopithecidae","purple-faced langur",21600,"fiber/foliage",12,44460,3705,1800,"Primates",61.75,1.8,"Trachypithecus_vetulus"
"Setophag coronata","Y","Aves","Passeriformes","Parulidae","yellow rumped warbler",11.5,"fiber/foliage",11,1353,123,1.04545454545455,"Flying Birds",2.05,0.00104545454545455,"Setophaga_coronata"
"Setophaga coronata","Y","Aves","Passeriformes","Parulidae","yellow rumped warbler",11.5,"fiber/foliage",11,1166,106,1.04545454545455,"Flying Birds",1.76666666666667,0.00104545454545455,"Setophaga_coronata"
"Setophaga coronata","Y","Aves","Passeriformes","Parulidae","yellow rumped warbler",23,"fruit/nectar/pollen",34,1564,46,0.676470588235294,"Flying Birds",0.766666666666667,0.000676470588235294,"Setophaga_coronata"
"Setophaga coronata","Y","Aves","Passeriformes","Parulidae","yellow rumped warbler",23,"protein",28,1750,62.5,0.821428571428571,"Flying Birds",1.04166666666667,0.000821428571428571,"Setophaga_coronata"
"Spermophilus columbianus","N","Mammalia","Rodentia","Sciuridae","Columbian ground squirrel",1152,"protein",12,16056,1338,96,"Rodents",22.3,0.096,"Urocitellus_columbianus"
"Spilopelia senegalensis","Y","Aves","Columbiformes","Columbidae","laughing dove",160.5,"fiber/foliage",6,2043,340.5,26.75,"Flying Birds",5.675,0.02675,"Spilopelia_senegalensis"
"Steatornis caripensis","Y","Aves","Steatornithiformes","Steatornithidae","oilbird",324,"fruit/nectar/pollen",9,3393,377,36,"Flying Birds",6.28333333333333,0.036,"Steatornis_caripensis"
"Stephanophorus diadematus","Y","Aves","Passeriformes","Thraupidae","Diademed tanager",177,"fiber/foliage",9,147.6,16.4,19.6666666666667,"Flying Birds",0.273333333333333,0.0196666666666667,"Stephanophorus_diadematus"
"Stercorarius skua","Y","Aves","Charadriiformes","Stercorariidae","great skua",4904,"meat",12,4351.2,362.6,408.666666666667,"Flying Birds",6.04333333333333,0.408666666666667,"Stercorarius_skua"
"Streptopelia semitorquata","Y","Aves","Columbiformes","Columbidae","red-eyed doe",236,"fiber/foliage",5,2308,461.6,47.2,"Flying Birds",7.69333333333333,0.0472,"Streptopelia_semitorquata"
"Struthio camelus","N","Aves","Struthioniformes","Struthionidae","common ostrich",327000,"fiber/foliage",18,33444,1858,18166.6666666667,"Non-Flying Birds",30.9666666666667,18.1666666666667,"Struthio_camelus"
"Struthio camelus","N","Aves","Palaeognathae","Struthioniformes","Ostrich",260200,"fiber/foliage",14,30000,2142.85714285714,18585.7142857143,"Non-Flying Birds",35.7142857142857,18.5857142857143,"Struthio_camelus"
"Sturnus vulgaris","Y","Aves","Passeriformes","Sturnidae","European Starling",164.5,"fruit/nectar/pollen",10,355,35.5,16.45,"Flying Birds",0.591666666666667,0.01645,"Sturnus_vulgaris"
"Sturnus vulgaris","Y","Aves","Passeriformes","Sturnidae","European Starling",85,"protein",5,100,20,17,"Flying Birds",0.333333333333333,0.017,"Sturnus_vulgaris"
"Sus scrofa","N","Mammalia","Artiodactyla","Suidae","Wild pig",45000,"unknown",1,4200,4200,45000,"Even-toed Ungulates",70,45,"Sus_scrofa"
"Syconycteris australis","Y","Mammalia","Chiroptera","Pteropodidae","Common blossum bat",39.4,"fruit/nectar/pollen",6,639,106.5,6.56666666666667,"Bats",1.775,0.00656666666666667,"Syconycteris_australis"
"Sylvia atricapilla","Y","Aves","Passeriformes","Sylviidae","blackcap",15.1,"protein",23,1828.5,79.5,0.656521739130435,"Flying Birds",1.325,0.000656521739130435,"Sylvia_atricapilla"
"Syncerus caffer","N","Mammalia","Artiodactyla","Bovidae","forest buffalo",1135000,"fiber/foliage",4,8640,2160,283750,"Even-toed Ungulates",36,283.75,"Syncerus_caffer"
"Tamias amoenus","N","Mammalia","Rodentia","Sciuridae","yellow-pine chipmunk",123.8,"protein",12,9648,804,10.3166666666667,"Rodents",13.4,0.0103166666666667,"Tamias_amoenus"
"Tapirus indicus","N","Mammalia","Perissodactyla","Tapiridae","Malaysian tapir",558000,"fiber/foliage",18,51840,2880,31000,"Odd-toed Ungulates",48,31,"Tapirus_indicus"
"Tapirus indicus","N","Mammalia","Perissodactyla","Tapiridae","Malaysian tapir",2450000,"fruit/nectar/pollen",49,352926,7202.57142857143,50000,"Odd-toed Ungulates",120.042857142857,50,"Tapirus_indicus"
"Tapirus terrestris","N","Mammalia","Perissodactyla","Tapiridae","lowland tapir",386000,"fiber/foliage",30,87300,2910,12866.6666666667,"Odd-toed Ungulates",48.5,12.8666666666667,"Tapirus_terrestris"
"Tauraco corythaix","Y","Aves","Musophagiformes","Musophagidae","Knysa turaco",321,"fiber/foliage",4,441.6,110.4,80.25,"Flying Birds",1.84,0.08025,"Tauraco_corythaix"
"Taxostoma curviroste","Y","Aves","Passeriformes","Mimidae","Curve-billed Thrasher",154,"fiber/foliage",2,422,211,77,"Flying Birds",3.51666666666667,0.077,"Toxostoma_curvirostre"
"Trachypithecus auratus","N","Mammalia","Primates","Cercopithecidae","east Javan langur",21600,"fiber/foliage",12,32160,2680,1800,"Primates",44.6666666666667,1.8,"Trachypithecus_auratus"
"Trachypithecus cristatus","N","Mammalia","Primates","Cercopithecidae","silvered leaf monkey",10800,"fruit/nectar/pollen",10,35700,3570,1080,"Primates",59.5,1.08,"Trachypithecus_cristatus"
"Trachypithecus francoisi","N","Mammalia","Primates","Cercopithecidae","Francois's langur",11920,"fiber/foliage",8,18528,2316,1490,"Primates",38.6,1.49,"Trachypithecus_francoisi"
"Trachypithecus obscurus","N","Mammalia","Primates","Cercopithecidae","dusky leaf monkey",12000,"fruit/nectar/pollen",4,14100,3525,3000,"Primates",58.75,3,"Trachypithecus_obscurus"
"Trachypthecus auratus auratus","N","Mammalia","Primates","Cercopithecidae","Janvan langur",21000,"protein",6,16200,2700,3500,"Primates",45,3.5,"Trachypithecus_auratus"
"Tragelaphus angasii","N","Mammalia","Artiodactyla","Bovidae","nyala",128000,"fiber/foliage",12,21636,1803,10666.6666666667,"Even-toed Ungulates",30.05,10.6666666666667,"Tragelaphus_angasii"
"Tragelaphus eurycerus","N","Mammalia","Artiodactyla","Bovidae","bongo",366000,"fiber/foliage",6,12690,2115,61000,"Even-toed Ungulates",35.25,61,"Tragelaphus_eurycerus"
"Tragelaphus spekii","N","Mammalia","Artiodactyla","Bovidae","sitatunga",1e+05,"fiber/foliage",8,17808,2226,12500,"Even-toed Ungulates",37.1,12.5,"Tragelaphus_spekii"
"Tragulus javanicus","N","Mammalia","Artiodactyla","Tragulidae","lesser mousedeer",2800,"fiber/foliage",16,38064,2379,175,"Even-toed Ungulates",39.65,0.175,"Tragulus_javanicus"
"Troglodytes aedon","Y","Aves","Passeriformes","Troglodytidae","house wren",11,"protein",9,297,33,1.22222222222222,"Flying Birds",0.55,0.00122222222222222,"Troglodytes_aedon"
"Turdus abicollis","Y","Aves","Passeriformes","Turdidae","White-necked thrush",216,"fiber/foliage",6,43.6,7.26666666666667,36,"Flying Birds",0.121111111111111,0.036,"Turdus_albicollis"
"Turdus amaurochalinus","Y","Aves","Passeriformes","Turdidae","Cream-bellied thrush",289.5,"fiber/foliage",11,253.3,23.0272727272727,26.3181818181818,"Flying Birds",0.383787878787879,0.0263181818181818,"Turdus_amaurochalinus"
"Turdus leucomelas","Y","Aves","Passeriformes","Turdidae","pale-breated thresh",69.1,"fiber/foliage",1,45,45,69.1,"Flying Birds",0.75,0.0691,"Turdus_leucomelas"
"Turdus migratorius","Y","Aves","Passeriformes","Turdidae","American robin",154,"fruit/nectar/pollen",15,400,26.6666666666667,10.2666666666667,"Flying Birds",0.444444444444444,0.0102666666666667,"Turdus_migratorius"
"Turdus migratorius","Y","Aves","Passeriformes","Turdidae","American robin",77,"protein",9,198,22,8.55555555555556,"Flying Birds",0.366666666666667,0.00855555555555556,"Turdus_migratorius"
