"genus.species","fly","class","order","family","common.name","sum_mass","trial.diet","N_tot","total_MRT","MRT","avg_mass","re_class","MRT_hrs","mass_kg","phylo_name"
"Bos taurus","N","Mammalia","Artiodactyla","Bovidae","large heifer",1120000,"fiber/foliage",6,249,41.5,186666.666666667,"Even-toed Ungulates",0.691666666666667,186.666666666667,"Bos_taurus"
"Bos taurus","N","Mammalia","Artiodactyla","Bovidae","small heifer",480000,"fiber/foliage",4,136,34,120000,"Even-toed Ungulates",0.566666666666667,120,"Bos_taurus"
"Bos taurus","N","Mammalia","Artiodactyla","Bovidae","Droughtmaster steer",6780000,"fiber/foliage",16,39456,2466,423750,"Even-toed Ungulates",41.1,423.75,"Bos_taurus"
"Bos taurus","N","Mammalia","Artiodactyla","Bovidae","steer",3500000,"fiber/foliage",25,51768,2070.72,140000,"Even-toed Ungulates",34.512,140,"Bos_taurus"
"Bos taurus","N","Mammalia","Artiodactyla","Bovinae","Cattle",2100000,"fruit/nectar/pollen",15,46578,3105.2,140000,"Even-toed Ungulates",51.7533333333333,140,"Bos_taurus"
"Boselaphus tragocamelus","N","Mammalia","Artiodactyla","Bovidae","nilgai",336000,"fiber/foliage",10,24600,2460,33600,"Even-toed Ungulates",41,33.6,"Boselaphus_tragocamelus"
"Bubalus bubalis","N","Mammalia","Artiodactyla","Bovidae","swamp buffalo",5250028,"fiber/foliage",32,87096,2721.75,164063.375,"Even-toed Ungulates",45.3625,164.063375,"Bubalus_bubalis"
"Bubalus bubalis","N","Mammalia","Artiodactyla","Bovidae","water buffalo",417100,"fiber/foliage",4,6943.2,1735.8,104275,"Even-toed Ungulates",28.93,104.275,"Bubalus_bubalis"
"Bubalus depressicornis","N","Mammalia","Artiodactyla","Bovidae","lowland anoa",180000,"fiber/foliage",8,15360,1920,22500,"Even-toed Ungulates",32,22.5,"Bubalus_depressicornis"
"Bulbalus bubalis","N","Mammalia","Artiodactyla","Bovinae","Buffalo",1275000,"fruit/nectar/pollen",10,26352,2635.2,127500,"Even-toed Ungulates",43.92,127.5,"Bubalus_bubalis"
"Buteo buteo","Y","Aves","Accipitriformes","Accipitridae","common buzzard",848,"meat",4,1975.2,493.8,212,"Flying Birds",8.23,0.212,"Buteo_buteo"
"Callithrix jacchus","N","Mammalia","Primates","Cebidae","common marmoset",696,"fruit/nectar/pollen",6,4896,816,116,"Primates",13.6,0.116,"Callithrix_jacchus"
"Callithrix jacchus","N","Mammalia","Primates","Callitrichidae","common marmoset",766,"protein",26,27651,1063.5,29.4615384615385,"Primates",17.725,0.0294615384615385,"Callithrix_jacchus"
"Camelus bactrianus","N","Mammalia","Artiodactyla","Camelidae","Bactrian camel",4006000,"fiber/foliage",28,96672,3452.57142857143,143071.428571429,"Even-toed Ungulates",57.5428571428571,143.071428571429,"Camelus_bactrianus"
"Camelus dromedarius","N","Mammalia","Artiodactyla","Camelidae","dromedary camel",675000,"fiber/foliage",12,53304,4442,56250,"Even-toed Ungulates",74.0333333333333,56.25,"Camelus_dromedarius"
"Canis familiaris","N","Mammalia","Carnivora","Canidae","domestic dog",11550,"meat",6,7470,1245,1925,"Carnivora",20.75,1.925,"Canis_lupus"
"Canis familiaris","N","Mammalia","Carnivora","Canidae","dog",12200,"protein",6,6840,1140,2033.33333333333,"Carnivora",19,2.03333333333333,"Canis_lupus"
"Capra hircus","N","Mammalia","Artiodactyla","Bovidae","domestic goat",255000,"fiber/foliage",51,150120,2943.52941176471,5000,"Even-toed Ungulates",49.0588235294118,5,"Capra_hircus"
"Capra hircus","N","Mammalia","Artiodactyla","Bovidae","Domestic Goat",9000,"fiber/foliage",12,29520,2460,750,"Even-toed Ungulates",41,0.75,"Capra_hircus"
"Capra hircus","N","Mammalia","Artiodactyla","Bovidae","goat",180200,"fiber/foliage",22,33735,1533.40909090909,8190.90909090909,"Even-toed Ungulates",25.5568181818182,8.19090909090909,"Capra_hircus"
"Capra nubiana","N","Mammalia","Artiodactyla","Bovidae","Nunian ibex",166400,"fiber/foliage",16,33336,2083.5,10400,"Even-toed Ungulates",34.725,10.4,"Capra_nubiana"
"Capreolus capreolus","N","Mammalia","Artiodactyla","Cervidae","roe deer",138900,"fiber/foliage",16,99942,6246.375,8681.25,"Even-toed Ungulates",104.10625,8.68125,"Capreolus_capreolus"
"Castor canadensis","N","Mammalia","Rodentia","Castoridae","North American beaver",28000,"fiber/foliage",16,25800,1612.5,1750,"Rodents",26.875,1.75,"Castor_canadensis"
"Cavia porcellus","N","Mammalia","Rodentia","Caviidae","guinea pig",12150,"fiber/foliage",58,66648.6,1149.11379310345,209.48275862069,"Rodents",19.1518965517241,0.20948275862069,"Cavia_porcellus"
"Cerathotherium simum","N","Mammalia","Perissodactyla","Rhinocerotidae","White Rhino",8900000,"fiber/foliage",14,21458,1532.71428571429,635714.285714286,"Odd-toed Ungulates",25.5452380952381,635.714285714286,"Ceratotherium_simum"
"Cercopithecus ascanius","N","Mammalia","Primates","Cercopithecidae","Red-tailed monkey",8785,"fruit/nectar/pollen",3,4866,1622,2928.33333333333,"Primates",27.0333333333333,2.92833333333333,"Cercopithecus_ascanius"
"Cercopithecus erythrotis","N","Mammalia","Primates","Cercopithecidae","Red-eared guenon",3585,"fruit/nectar/pollen",1,1602,1602,3585,"Primates",26.7,3.585,"Cercopithecus_erythrotis"
"Cercopithecus lhoesti","N","Mammalia","Primates","Cercopithecidae","L’Hoest’s monkey",3550,"fiber/foliage",2,3124,1562,1775,"Primates",26.0333333333333,1.775,"Allochrocebus_lhoesti"
"Cercopithecus mitis","N","Mammalia","Primates","Cercopithecidae","Blue monkey",8600,"fruit/nectar/pollen",2,3000,1500,4300,"Primates",25,4.3,"Cercopithecus_nictitans"
"Cercopithecus neglectus","N","Mammalia","Primates","Cercopithecidae","De Brazza's monkey",6500,"fruit/nectar/pollen",2,4092,2046,3250,"Primates",34.1,3.25,"Cercopithecus_neglectus"
"Cercopithecus pogonias","N","Mammalia","Primates","Cercopithecidae","Crested mona monkey",3300,"fruit/nectar/pollen",2,3228,1614,1650,"Primates",26.9,1.65,"Cercopithecus_mona"
"Cercopithecus talapoin","N","Mammalia","Primates","Cercopithecidae","Talapoin monkey",1600,"fruit/nectar/pollen",2,2016,1008,800,"Primates",16.8,0.8,"Miopithecus_talapoin"
"Cervus elaphus","N","Mammalia","Artiodactyla","Cervidae","red deer",223500,"fiber/foliage",36,31392,872,6208.33333333333,"Even-toed Ungulates",14.5333333333333,6.20833333333333,"Cervus_elaphus"
"Cervus elaphus canadensis","N","Mammalia","Artiodactyla","Cervidae","wapiti",845666.66,"fiber/foliage",72,34344,477,11745.3702777778,"Even-toed Ungulates",7.95,11.7453702777778,"Cervus_canadensis"
