"fly","class","order","family","genus.species","common.name","sum_mass","trial.diet","N_tot","total_MRT","MRT","avg_mass","re_class","MRT_hrs","mass_kg"
"N","Mammalia","Rodentia","Echimyidae","Myocastor coypus","nutria",8800,"fiber/foliage",10,26754,2675.4,880,"Rodents",44.59,0.88
"N","Mammalia","Rodentia","Myocastoridae","Myocastor coypus","nutria",3720,"fiber/foliage",8,13056,1632,465,"Rodents",27.2,0.465
"Y","Mammalia","Chiroptera","Vespertilionidae","Myotis bechsteinii","Bechstein's bat",8,"protein",5,1545,309,1.6,"Bats",5.15,0.0016
"Y","Mammalia","Chiroptera","Vespertilionidae","Myotis daubentonii","Daubenton's bat",7.6,"protein",17,3094,182,0.447058823529412,"Bats",3.03333333333333,0.000447058823529412
"Y","Mammalia","Chiroptera","Vespertilionidae","Myotis myotis","Greater mouse-eared bat",25.8,"protein",8,984,123,3.225,"Bats",2.05,0.003225
"Y","Mammalia","Chiroptera","Vespertilionidae","Myotis nattereri","Natterer's bat",6.8,"protein",3,564,188,2.26666666666667,"Bats",3.13333333333333,0.00226666666666667
"N","Mammalia","Artiodactyla","Bovidae","Nanger dama","Dama gazelle",122200,"fiber/foliage",8,12576,1572,15275,"Even-toed Ungulates",26.2,15.275
"N","Mammalia","Artiodactyla","Bovidae","Nanger soemmerringii","Soemmerring's gazelle",71200,"fiber/foliage",22,37092,1686,3236.36363636364,"Even-toed Ungulates",28.1,3.23636363636364
"N","Mammalia","Primates","Cercopithecidae","Nasalis larvatus","proboscis monkey",40000,"fiber/foliage",16,39030,2439.375,2500,"Primates",40.65625,2.5
"N","Mammalia","Primates","Cercopithecidae","Nasalis larvatus","proboscis monkey",10000,"protein",6,17640,2940,1666.66666666667,"Primates",49,1.66666666666667
"Y","Aves","Passeriformes","Nectariniidae","Nectarinia amesthystina","black sunbird",22.5,"fruit/nectar/pollen",21,385,18.3333333333333,1.07142857142857,"Flying Birds",0.305555555555556,0.00107142857142857
"Y","Aves","Passeriformes","Nectariniidae","Nectarinia famosa","malachite sunbird",39,"fruit/nectar/pollen",15,336,22.4,2.6,"Flying Birds",0.373333333333333,0.0026
"N","Mammalia","Rodentia","Cricetidae","Neotoma lepida","desert woodrat",125,"fiber/foliage",5,3900,780,25,"Rodents",13,0.025
"Y","Aves","Anseriformes","Anatidae","Netta rufina","Red-crested Pochard",2300,"fiber/foliage",6,5752.8,958.8,383.333333333333,"Flying Birds",15.98,0.383333333333333
"Y","Mammalia","Chiroptera","Vespertilionidae","Nyctalus leisleri","Lesser Noctule",12.5,"protein",3,777,259,4.16666666666667,"Bats",4.31666666666667,0.00416666666666667
"Y","Mammalia","Chiroptera","Vespertilionidae","Nyctalus noctula","Noctule",27.5,"protein",9,2655,295,3.05555555555556,"Bats",4.91666666666667,0.00305555555555556
"N","Mammalia","Carnivora","Canidae","Nyctereutes procynoides","raccoon dog",4130,"fruit/nectar/pollen",6,2700,450,688.333333333333,"Carnivora",7.5,0.688333333333333
"N","Mammalia","Carnivora","Canidae","Nyctereutes procynoides","raccoon dog",4131,"meat",6,4650,775,688.5,"Carnivora",12.9166666666667,0.6885
"Y","Mammalia","Chiroptera","Vespertillionidae","Nyctophilus gouldi","Gould’s long-eared bat",9.25,"meat",5,1614,322.8,1.85,"Bats",5.38,0.00185
"N","Mammalia","Artiodactyla","Bovidae","Obis aries","Domestic Sheep",110000,"fiber/foliage",3,6120,2040,36666.6666666667,"Even-toed Ungulates",34,36.6666666666667
"N","Mammalia","Rodentia","Octodontidae","Octodon degus","degu",925,"fiber/foliage",32,33504,1047,28.90625,"Rodents",17.45,0.02890625
"N","Mammalia","Artiodactyla","Cervidae","Odocoileus virginianus","white-tailed deer",156750,"fiber/foliage",6,7326,1221,26125,"Even-toed Ungulates",20.35,26.125
"Y","Aves","Passeriformes","Sturnidae","Onychognathus morio","red-winged starling",135,"fiber/foliage",4,140,35,33.75,"Flying Birds",0.583333333333333,0.03375
"Y","Aves","Passeriformes","Sturnidae","Onychognathus tristramii","Tristam's Grackle",119,"fruit/nectar/pollen",9,1215.9,135.1,13.2222222222222,"Flying Birds",2.25166666666667,0.0132222222222222
"Y","Aves","Opisthocomiformes","Opisthocomidae","Opisthocomus hoazin","Hoatzin",3600,"unknown",20,36810,1840.5,180,"Flying Birds",30.675,0.18
"N","Mammalia","Artiodactyla","Bovidae","Oryx gazella","Oryx Antelope",420000,"fiber/foliage",6,16020,2670,70000,"Even-toed Ungulates",44.5,70
"N","Mammalia","Artiodactyla","Bovidae","Oryx leucoryx","Arabian oryx",140000,"fiber/foliage",2,4488,2244,70000,"Even-toed Ungulates",37.4,70
"N","Mammalia","Artiodactyla","Bovidae","Ovibos moschatus","muskoxen",2280000,"fiber/foliage",32,118800,3712.5,71250,"Even-toed Ungulates",61.875,71.25
"N","Mammalia","Artiodactyla","Bovidae","Ovibos moschatus","musk ox",717000,"fiber/foliage",20,55896,2794.8,35850,"Even-toed Ungulates",46.58,35.85
"N","Mammalia","Artiodactyla","Bovidae","Ovis aries","domestic sheep",277200,"fiber/foliage",19,50580,2662.10526315789,14589.4736842105,"Even-toed Ungulates",44.3684210526316,14.5894736842105
"N","Mammalia","Artiodactyla","Bovidae","Ovis aries","Domestic Sheep",110000,"fiber/foliage",3,9720,3240,36666.6666666667,"Even-toed Ungulates",54,36.6666666666667
"N","Mammalia","Artiodactyla","Bovidae","Ovis aries","sheep",1293870,"fiber/foliage",92,184232,2002.52173913043,14063.8043478261,"Even-toed Ungulates",33.3753623188406,14.0638043478261
"N","Mammalia","Artiodactyla","Bovidae","Ovis aries","kazakh sheep",42000,"fiber/foliage",6,13044.917646,2174.152941,7000,"Even-toed Ungulates",36.23588235,7
"N","Mammalia","Primates","Hominidae","Pan troglodytes","Chimpanzee",58400,"fruit/nectar/pollen",2,3780,1890,29200,"Primates",31.5,29.2
"N","Mammalia","Carnivora","Viverridae","Paradoxurus hermaphroditus","palm civet",3500,"fiber/foliage",3,468,156,1166.66666666667,"Carnivora",2.6,1.16666666666667
"N","Mammalia","Artiodactyla","Tayassuidae","Pecari tacaju","collared peccary",39000,"fiber/foliage",12,30456,2538,3250,"Even-toed Ungulates",42.3,3.25
"Y","Aves","Accipitriformes","Accipitridae","Pernis apivorus","honey buzzard",470,"meat",1,408.6,408.6,470,"Flying Birds",6.81,0.47
"N","Mammalia","Artiodactyla","Suidae","Phacochoerus africanus","warthog",2e+05,"fiber/foliage",2,78,39,1e+05,"Even-toed Ungulates",0.65,100
"N","Mammalia","Artiodactyla","Bovidae","Philantomba maxwellii","Maxwell's duiker",9000,"fruit/nectar/pollen",6,15192,2532,1500,"Even-toed Ungulates",42.2,1.5
"N","Mammalia","Carnivora","Phocidae","Phoca groenlandica","harp seal",260000,"meat",4,2940,735,65000,"Carnivora",12.25,65
"N","Mammalia","Carnivora","Pinnipedia","Phoca vitulina","harbour seal",177600,"meat",24,32640,1360,7400,"Carnivora",22.6666666666667,7.4
"Y","Aves","Procellariiformes","Diomedeidae","Phoebetria fusca","Sooty Albatrosses",7500,"meat",15,13800,920,500,"Flying Birds",15.3333333333333,0.5
"N","Mammalia","Rodentia","Cricetidae","Phyllotis darwini","Darwin's leaf-eared mouse",162,"fiber/foliage",12,6444,537,13.5,"Rodents",8.95,0.0135
"N","Mammalia","Rodentia","Cricetidae","Phyllotis xanthopygus","leaf-eared mouse",111,"fiber/foliage",12,4356,363,9.25,"Rodents",6.05,0.00925
"Y","Aves","Passeriformes","Contingidae","Phytotoma rara","Rufuos tailed plant-cutter",40.9,"fruit/nectar/pollen",12,727.2,60.6,3.40833333333333,"Flying Birds",1.01,0.00340833333333333
"Y","Aves","Passeriformes","Contingidae","Phytotoma rara","Rufuos tailed plant-cutter",40.9,"fiber/foliage",12,411.6,34.3,3.40833333333333,"Flying Birds",0.571666666666667,0.00340833333333333
"Y","Mammalia","Chiroptera","Vespertilionidae","Pipistrellus pipistrellus","Common pipistrelle",5.1,"protein",7,1778,254,0.728571428571429,"Bats",4.23333333333333,0.000728571428571429
"N","Mammalia","Primates","Pitheciidae","Pithecia pithecia","white-faced saki",1712.5,"fiber/foliage",4,6150,1537.5,428.125,"Primates",25.625,0.428125
"Y","Mammalia","Chiroptera","Vespertilionidae","Plecotus auritus","Brown long-eared bat",6.9,"protein",6,792,132,1.15,"Bats",2.2,0.00115
"Y","Aves","Anseriformes","Anatidae","Plectopterus gambensis","Spur-winged goose",3900,"fiber/foliage",4,1528,382,975,"Flying Birds",6.36666666666667,0.975
"Y","Aves","Anseriformes","Anatidae","Plectopterus gambensis","Spur-winged goose",3900,"protein",4,560,140,975,"Flying Birds",2.33333333333333,0.975
"N","Mammalia","Primates","Hominidae","Pongo pygmaeus","Bornean orangutan",141400,"fruit/nectar/pollen",6,25002,4167,23566.6666666667,"Primates",69.45,23.5666666666667
"N","Mammalia","Primates","Hominidae","Pongo pygmaeus","Bornean orangutan",135140,"fiber/foliage",8,1084.8,135.6,16892.5,"Primates",2.26,16.8925
"N","Mammalia","Carnivora","Procyonidae","Potos flavus","kinkajou",4250,"protein",2,300,150,2125,"Carnivora",2.5,2.125
"Y","Aves","Passeriformes","Promeropidae","Promerops gurneyi","gurney's sugarbird",34.75,"fruit/nectar/pollen",2,12.2,6.1,17.375,"Flying Birds",0.101666666666667,0.017375
"N","Mammalia","Primates","Indriidae","Propithecus tattersalli","Golden crowned sifaka",6186,"fiber/foliage",6,12312,2052,1031,"Primates",34.2,1.031
"N","Mammalia","Primates","Indriidae","Propithecus verreauxi coquereli","Coquerel's sifaka",10772,"fiber/foliage",18,35038.8,1946.6,598.444444444444,"Primates",32.4433333333333,0.598444444444444
"Y","Aves","Piciformes","Megalaimidae","Psilopogon asiaticus","blue-throated barbet",665,"fruit/nectar/pollen",35,940,26.8571428571429,19,"Flying Birds",0.447619047619048,0.019
"Y","Mammalia","Chiroptera","Pteropodidae","Pteropus rufus","Madagascan Flying Fox",625,"fruit/nectar/pollen",4,120,30,156.25,"Bats",0.5,0.15625
"Y","Aves","Passeriformes","Ptiliogonatidae","Ptiliogonys cinereus","grey silky flycatchers",100.5,"fruit/nectar/pollen",12,227.2,18.9333333333333,8.375,"Flying Birds",0.315555555555556,0.008375
"Y","Aves","Passeriformes","Ptiliogonatidae","Ptiliogonys cinereus","silky flycatcher",103.5,"fruit/nectar/pollen",21,470.4,22.4,4.92857142857143,"Flying Birds",0.373333333333333,0.00492857142857143
"N","Mammalia","Artiodactyla","Cervidae","Pudu puda","Southern pudu",9000,"fruit/nectar/pollen",6,10764,1794,1500,"Even-toed Ungulates",29.9,1.5
"Y","Aves","Passeriformes","Pyconitidae","Pycnonotus goiavier","Yellow-vented Bulbul",40.5,"fruit/nectar/pollen",7,242.9,34.7,5.78571428571429,"Flying Birds",0.578333333333333,0.00578571428571429
"Y","Aves","Passeriformes","Pyconitidae","Pyconotus aurigaster","sooty-headed bulbul",315,"fruit/nectar/pollen",42,972,23.1428571428571,7.5,"Flying Birds",0.385714285714286,0.0075
"Y","Aves","Passeriformes","Pyconitidae","Pyconotus joscosus","Red-whiskered bulbul",227.5,"fruit/nectar/pollen",56,1336,23.8571428571429,4.0625,"Flying Birds",0.397619047619048,0.0040625
"N","Mammalia","Primates","Cercopithecidae","Pygathrix nemaeus","red-shanked douc",32400,"fiber/foliage",8,24180,3022.5,4050,"Primates",50.375,4.05
"N","Mammalia","Primates","Cercopithecidae","Pygathrix nemaeus","red-shanked douc langur",3595,"fiber/foliage",3,6108,2036,1198.33333333333,"Primates",33.9333333333333,1.19833333333333
"N","Aves","Sphenisciformes","Spheniscidae","Pygoscelis papua","gentoo penguin",19500,"meat",15,12930,862,1300,"Non-Flying Birds",14.3666666666667,1.3
"N","Aves","Sphenisciformes","Spheniscidae","Pygoscelis papua","Gentoo Penguin",3000,"meat",12,5940,495,250,"Non-Flying Birds",8.25,0.25
"Y","Aves","Piciformes","Ramphastidae","Ramphastos pluricinctus","Many-banded arcari",258.5,"fruit/nectar/pollen",1,30,30,258.5,"Flying Birds",0.5,0.2585
"N","Mammalia","Artiodactyla","Cervidae","Rangifer tarandus","reindeer",1492000,"fiber/foliage",32,89280,2790,46625,"Even-toed Ungulates",46.5,46.625
"N","Mammalia","Rodentia","Muridae","Rattus norvegicus","common rat",590,"fiber/foliage",12,9072,756,49.1666666666667,"Rodents",12.6,0.0491666666666667
"N","Aves","Struthioniformes","Rheidae","Rhea americana","greater rhea",72000,"fiber/foliage",15,11310,754,4800,"Non-Flying Birds",12.5666666666667,4.8
"N","Aves","Palaeognathae","Rheidae","Rhea americana","Greater Rhea",24500,"fiber/foliage",5,3900,780,4900,"Non-Flying Birds",13,4.9
"N","Mammalia","Perissodactyla","Rhinocerotidae","Rhinoceros unicornis","Indian rinoceros",1950000,"fruit/nectar/pollen",1,4560,4560,1950000,"Odd-toed Ungulates",76,1950
"N","Mammalia","Primates","Cercopithecidae","Rhinopithecus bieti","Snub-Nosed Monkey",11750,"fruit/nectar/pollen",3,6750,2250,3916.66666666667,"Primates",37.5,3.91666666666667
"N","Mammalia","Primates","Cercopithecidae","Rhinopithecus bieti","Snub-Nosed Monkey",11750,"fiber/foliage",3,11880,3960,3916.66666666667,"Primates",66,3.91666666666667
"Y","Aves","Charadriiformes","Laridae","Rissa tridactyla","Black-legged kittiwake",1830,"meat",24,7729.2,322.05,76.25,"Flying Birds",5.3675,0.07625
"Y","Aves","Passeriformes","Pyconitidae","Rubigula  Flaviventris","black-crested bulbul",217,"fruit/nectar/pollen",56,1152,20.5714285714286,3.875,"Flying Birds",0.342857142857143,0.003875
"Y","Aves","Passeriformes","Thraupidae","Saltator similis","Green winged saltator",129.9,"fiber/foliage",6,184.5,30.75,21.65,"Flying Birds",0.5125,0.02165
"Y","Aves","Apodiformes","Trochilidae","Selasphorous rufus","Rufous Hummingbirds",2.5,"fruit/nectar/pollen",4,192,48,0.625,"Flying Birds",0.8,0.000625
"N","Mammalia","Primates","Cercopithecidae","Semnopithecus vetulus","purple-faced langur",21600,"fiber/foliage",12,44460,3705,1800,"Primates",61.75,1.8
"Y","Aves","Passeriformes","Parulidae","Setophag coronata","yellow rumped warbler",11.5,"fiber/foliage",11,1353,123,1.04545454545455,"Flying Birds",2.05,0.00104545454545455
"Y","Aves","Passeriformes","Parulidae","Setophaga coronata","yellow rumped warbler",23,"fruit/nectar/pollen",34,1564,46,0.676470588235294,"Flying Birds",0.766666666666667,0.000676470588235294
"Y","Aves","Passeriformes","Parulidae","Setophaga coronata","yellow rumped warbler",23,"protein",28,1750,62.5,0.821428571428571,"Flying Birds",1.04166666666667,0.000821428571428571
"Y","Aves","Passeriformes","Parulidae","Setophaga coronata","yellow rumped warbler",11.5,"fiber/foliage",11,1166,106,1.04545454545455,"Flying Birds",1.76666666666667,0.00104545454545455
"N","Mammalia","Rodentia","Sciuridae","Spermophilus columbianus","Columbian ground squirrel",1152,"protein",12,16056,1338,96,"Rodents",22.3,0.096
"Y","Aves","Columbiformes","Columbidae","Spilopelia senegalensis","laughing dove",160.5,"fiber/foliage",6,2043,340.5,26.75,"Flying Birds",5.675,0.02675
"Y","Aves","Steatornithiformes","Steatornithidae","Steatornis caripensis","oilbird",324,"fruit/nectar/pollen",9,3393,377,36,"Flying Birds",6.28333333333333,0.036
"Y","Aves","Passeriformes","Thraupidae","Stephanophorus diadematus","Diademed tanager",177,"fiber/foliage",9,147.6,16.4,19.6666666666667,"Flying Birds",0.273333333333333,0.0196666666666667
"Y","Aves","Charadriiformes","Stercorariidae","Stercorarius skua","great skua",4904,"meat",12,4351.2,362.6,408.666666666667,"Flying Birds",6.04333333333333,0.408666666666667
"Y","Aves","Columbiformes","Columbidae","Streptopelia semitorquata","red-eyed doe",236,"fiber/foliage",5,2308,461.6,47.2,"Flying Birds",7.69333333333333,0.0472
"N","Aves","Struthioniformes","Struthionidae","Struthio camelus","common ostrich",327000,"fiber/foliage",18,33444,1858,18166.6666666667,"Non-Flying Birds",30.9666666666667,18.1666666666667
"N","Aves","Palaeognathae","Struthioniformes","Struthio camelus","Ostrich",260200,"fiber/foliage",14,30000,2142.85714285714,18585.7142857143,"Non-Flying Birds",35.7142857142857,18.5857142857143
"Y","Aves","Passeriformes","Sturnidae","Sturnus vulgaris","European Starling",164.5,"fruit/nectar/pollen",10,355,35.5,16.45,"Flying Birds",0.591666666666667,0.01645
"Y","Aves","Passeriformes","Sturnidae","Sturnus vulgaris","European Starling",85,"protein",5,100,20,17,"Flying Birds",0.333333333333333,0.017
"N","Mammalia","Artiodactyla","Suidae","Sus scrofa","Wild pig",45000,"unk",1,4200,4200,45000,"Even-toed Ungulates",70,45
"Y","Mammalia","Chiroptera","Pteropodidae","Syconycteris australis","Common blossum bat",39.4,"fruit/nectar/pollen",6,639,106.5,6.56666666666667,"Bats",1.775,0.00656666666666667
"Y","Aves","Passeriformes","Sylviidae","Sylvia atricapilla","blackcap",15.1,"protein",23,1828.5,79.5,0.656521739130435,"Flying Birds",1.325,0.000656521739130435
"N","Mammalia","Artiodactyla","Bovidae","Syncerus caffer","forest buffalo",1135000,"fiber/foliage",4,8640,2160,283750,"Even-toed Ungulates",36,283.75
"N","Mammalia","Rodentia","Sciuridae","Tamias amoenus","yellow-pine chipmunk",123.8,"protein",12,9648,804,10.3166666666667,"Rodents",13.4,0.0103166666666667
"N","Mammalia","Perissodactyla","Tapiridae","Tapirus indicus","Malaysian tapir",2450000,"fruit/nectar/pollen",49,352926,7202.57142857143,50000,"Odd-toed Ungulates",120.042857142857,50
"N","Mammalia","Perissodactyla","Tapiridae","Tapirus indicus","Malaysian tapir",558000,"fiber/foliage",18,51840,2880,31000,"Odd-toed Ungulates",48,31
"N","Mammalia","Perissodactyla","Tapiridae","Tapirus terrestris","lowland tapir",386000,"fiber/foliage",30,87300,2910,12866.6666666667,"Odd-toed Ungulates",48.5,12.8666666666667
"Y","Aves","Musophagiformes","Musophagidae","Tauraco corythaix","Knysa turaco",321,"fiber/foliage",4,441.6,110.4,80.25,"Flying Birds",1.84,0.08025
"Y","Aves","Passeriformes","Mimidae","Taxostoma curviroste","Curve-billed Thrasher",154,"fiber/foliage",2,422,211,77,"Flying Birds",3.51666666666667,0.077
"N","Mammalia","Primates","Cercopithecidae","Trachypithecus auratus","east Javan langur",21600,"fiber/foliage",12,32160,2680,1800,"Primates",44.6666666666667,1.8
"N","Mammalia","Primates","Cercopithecidae","Trachypithecus cristatus","silvered leaf monkey",10800,"fruit/nectar/pollen",10,35700,3570,1080,"Primates",59.5,1.08
"N","Mammalia","Primates","Cercopithecidae","Trachypithecus francoisi","Francois's langur",11920,"fiber/foliage",8,18528,2316,1490,"Primates",38.6,1.49
"N","Mammalia","Primates","Cercopithecidae","Trachypithecus obscurus","dusky leaf monkey",12000,"fruit/nectar/pollen",4,14100,3525,3000,"Primates",58.75,3
"N","Mammalia","Primates","Cercopithecidae","Trachypthecus auratus auratus","Janvan langur",21000,"protein",6,16200,2700,3500,"Primates",45,3.5
"N","Mammalia","Artiodactyla","Bovidae","Tragelaphus angasii","nyala",128000,"fiber/foliage",12,21636,1803,10666.6666666667,"Even-toed Ungulates",30.05,10.6666666666667
"N","Mammalia","Artiodactyla","Bovidae","Tragelaphus eurycerus","bongo",366000,"fiber/foliage",6,12690,2115,61000,"Even-toed Ungulates",35.25,61
"N","Mammalia","Artiodactyla","Bovidae","Tragelaphus spekii","sitatunga",1e+05,"fiber/foliage",8,17808,2226,12500,"Even-toed Ungulates",37.1,12.5
"N","Mammalia","Artiodactyla","Tragulidae","Tragulus javanicus","lesser mousedeer",2800,"fiber/foliage",16,38064,2379,175,"Even-toed Ungulates",39.65,0.175
"Y","Aves","Passeriformes","Troglodytidae","Troglodytes aedon","house wren",11,"protein",9,297,33,1.22222222222222,"Flying Birds",0.55,0.00122222222222222
"Y","Aves","Passeriformes","Turdidae","Turdus abicollis","White-necked thrush",216,"fiber/foliage",6,43.6,7.26666666666667,36,"Flying Birds",0.121111111111111,0.036
"Y","Aves","Passeriformes","Turdidae","Turdus amaurochalinus","Cream-bellied thrush",289.5,"fiber/foliage",11,253.3,23.0272727272727,26.3181818181818,"Flying Birds",0.383787878787879,0.0263181818181818
"Y","Aves","Passeriformes","Turdidae","Turdus leucomelas","pale-breated thresh",69.1,"fiber/foliage",1,45,45,69.1,"Flying Birds",0.75,0.0691
"Y","Aves","Passeriformes","Turdidae","Turdus migratorius","American robin",154,"fruit/nectar/pollen",15,400,26.6666666666667,10.2666666666667,"Flying Birds",0.444444444444444,0.0102666666666667
"Y","Aves","Passeriformes","Turdidae","Turdus migratorius","American robin",77,"protein",9,198,22,8.55555555555556,"Flying Birds",0.366666666666667,0.00855555555555556
"Y","Aves","Passeriformes","Turdidae","Turdus rufiventris","Rufous bellied thrush",66.8,"fiber/foliage",1,20,20,66.8,"Flying Birds",0.333333333333333,0.0668
"Y","Aves","Charadriiformes","Alcidae","Uria aalge","common guillemot",2784,"meat",21,6314.4,300.685714285714,132.571428571429,"Flying Birds",5.01142857142857,0.132571428571429
"Y","Aves","Charadriiformes","Alcidae","Uria aalge","common giuillemot",1856,"meat",2,758.4,379.2,928,"Flying Birds",6.32,0.928
"Y","Aves","Charadriiformes","Alcidae","Uria lomvia","brunnich's guillemot",1852,"meat",12,3567.6,297.3,154.333333333333,"Flying Birds",4.955,0.154333333333333
"N","Mammalia","Rodentia","Muridae","Uromys caudimaculatus","giant white-tailed rat",1270,"fiber/foliage",2,6054,3027,635,"Rodents",50.45,0.635
"N","Mammalia","Carnivora","Ursidae","Ursus americanus","black bear",46950,"fiber/foliage",5,2070,414,9390,"Carnivora",6.9,9.39
"N","Mammalia","Carnivora","Ursidae","Ursus americanus","black bear",46950,"protein",5,3870,774,9390,"Carnivora",12.9,9.39
"N","Mammalia","Carnivora","Ursidae","Ursus arctos","brown bear",340000,"fruit/nectar/pollen",6,2082,347,56666.6666666667,"Carnivora",5.78333333333333,56.6666666666667
"N","Mammalia","Carnivora","Ursidae","Ursus arctos","brown bear",340000,"meat",6,5220,870,56666.6666666667,"Carnivora",14.5,56.6666666666667
"N","Mammalia","Carnivora","Ursidae","Ursus arctos","brown bear",89900,"fiber/foliage",3,1260,420,29966.6666666667,"Carnivora",7,29.9666666666667
"N","Mammalia","Carnivora","Ursidae","Ursus arctos","brown bear",89900,"protein",3,2340,780,29966.6666666667,"Carnivora",13,29.9666666666667
"N","Mammalia","Carnivora","Ursidae","Ursus thibetanus","Asiatic black bear",325000,"fruit/nectar/pollen",15,16699.5,1113.3,21666.6666666667,"Carnivora",18.555,21.6666666666667
"N","Mammalia","Primates","Lemuridae","Varecia variegata","black-and-white-ruffed lemur",29782,"fiber/foliage",36,9585.6,266.266666666667,827.277777777778,"Primates",4.43777777777778,0.827277777777778
"N","Mammalia","Primates","Lemuridae","Varecia variegata","Black and White Ruffed Lemur",3600,"fruit/nectar/pollen",1,264,264,3600,"Primates",4.4,3.6
"Y","Mammalia","Chiroptera","Vespertilionidae","Vespertilio murinus","Parti-colored bat",14.3,"protein",5,1210,242,2.86,"Bats",4.03333333333333,0.00286
"N","Mammalia","Carnivora","Canidae","Vulpes lagopus","arctic fox",2300,"fruit/nectar/pollen",10,11928,1192.8,230,"Carnivora",19.88,0.23
