genus.species,phylo_name
Ficedula hypoleuca,Ficedula_hypoleuca
Fratercula arctica,Fratercula_arctica
Fulica atra,Fulica_atra
Fulmarus glacialis,Fulmarus_glacialis
Galago moholi,Galago_moholi
Gallirex johnstoni,Gallirex_johnstoni
Gallotia atlantica,Gallotia_atlantica
Gallus gallus,Gallus_gallus
Gallus gallus domesticus,Gallus_gallus
Gazella gazella,Gazella_gazella
Gazella spekei,Gazella_spekei
Gazella subgutturosa marica,Gazella
Giraffa camelopardalis,Giraffa_reticulata
Gorilla gorilla,Gorilla_gorilla
Gulosus aristotelis,
Haliaeetus leucocephalus,Haliaeetus_leucocephalus
Hapalemur griseus,Hapalemur_aureus
Hemiphaga novaeseelandiae,Hemiphaga_novaeseelandiae
Hexaprotodon liberiensis,Hexaprotodon_liberiensis
Hippopotamus amphibius,Hippopotamus_amphibius
Hippotragus niger,Hippotragus_niger
Homo sapien,Homo_sapiens
Homo sapiens,Homo_sapiens
Hydrochoerus hydrochaeris,Hydrochoerus_hydrochaeris
Hydrurga leptonyx,Hydrurga_leptonyx
Hylobates lar,Hylobates_lar
Hypsipetes amaurotis,Hypsipetes_leucocephalus
Hystrix indica,Hystrix_indica
Iguana iguana,Iguana_iguana
Inia geoffrensis,Inia_geoffrensis
Isoodon macrourus,Isoodon_macrourus
Kobus ellipsiprymnus,Kobus_ellipsiprymnus
Lagenorhynchus obscurus,Lagenorhynchus_obscurus
Lagopus muta,Lagopus_muta
Lagostomus maximus,Lagostomus_maximus
Lagothrix lagothricha,Lagothrix_lagotricha
Lagothrix lagotricha,Lagothrix_lagotricha
Lagurus lagurus,Lagurus_lagurus
Lama glama,Lama_glama
Lama guanicoe,Lama_guanicoe
Lama pacos,Vicugna_pacos
Lanius excubitor,Lanius_excubitor
Larus smithsonianus,Larus_smithsonianus
Lasiopodomys brandtii,Lasiopodomys_brandtii
Lasiorhinus latifrons,Lasiorhinus_latifrons
Leontopithecus rosalia,Leontopithecus_rosalia
Leptonycteris curasoae,Leptonycteris_curasoae
Lissonycteris angolensis,Lissonycteris_angolensis
Litocranius walleri,Litocranius_walleri
Lontra canadensis,Lontra_canadensis
Lophocebus albigena,Lophocebus_albigena
Lotra canadensis,Lontra_canadensis
Loxodonta africana,Loxodonta_africana
Loxodonta cyclotis,Loxodonta_cyclotis
Lutra canadensus,Lontra_canadensis
Lycalopex culpaeus,Lycalopex_culpaeus
Lycalopex gymnocercus,Lycalopex_gymnocercus
Macaca cyclopis,Macaca_cyclopis
Macaca fascicularis,Macaca_fascicularis
Macaca fuscata,Macaca_fuscata
Macaca nemestrina,Macaca_nemestrina
Macronectes giganteus,Macronectes_giganteus
Macropus eugenii,Notamacropus_eugenii
Macropus giganteus,Macropus_giganteus
Macropus rufus,Osphranter_rufus
Madoqua saltiana phillipsi,Madoqua_saltiana
Manacus vittelinus,Manacus_vitellinus
Marmaronetta angustirostris,Marmaronetta_angustirostris
Marmota caligata,Marmota_caligata
Martes americana,Martes_americana
Martes melampus,Martes_melampus
Megalaima nuchalis,Psilopogon_nuchalis
Meleagris gallopavo,Meleagris_gallopavo
Melogale moschata,Melogale_moschata
Meriones unguiculatus,Meriones_unguiculatus
Mesocricetus auratus,Mesocricetus_auratus
Microtus agrestis,Microtus_agrestis
Microtus townsendii,Microtus_townsendii
Milvus milvus,Milvus_milvus
Mirounga angustirostris,Mirounga_angustirostris
Mirounga leonina,Mirounga_leonina
Mitu salvini,Mitu_salvini
Molossus molossus,Molossus_molossus
Monachus schauinslandi,Neomonachus_schauinslandi
Morus capensis,Morus_capensis
Mus musculus,Mus_musculus
Muscicaps striata,Muscicapa_ferruginea
Mustela putorius furo,Mustela_putorius
Myadestes melanops,Myadestes_melanops
Myocastor coypus,Myocastor_coypus
Myonycteris torquata,Myonycteris_torquata
Myotis bechsteinii,Myotis_bechsteinii
Myotis daubentonii,Myotis_daubentonii
Myotis lucifugus,Myotis_lucifugus
Myotis myotis,Myotis_myotis
Myotis nattereri,Myotis_nattereri
Myrmecophaga tridactyla,Myrmecophaga_tridactyla
Nanger dama,Nanger_dama
Nanger soemmerringii,Nanger_soemmerringii
Nasalis larvatus,Nasalis_larvatus
Nectarinia amesthystina,Nectarinia_senegalensis
Nectarinia famosa,Nectarinia_famosa
Neotoma lepida,Neotoma_lepida
Neovison vison,Neogale_vison
Netta rufina,Netta_rufina
Notamacropus eugenii,Notamacropus_eugenii
Nyctalus leisleri,Nyctalus_leisleri
Nyctalus noctula,Nyctalus_noctula
Nyctea scandiaca,Bubo_scandiacus
Nyctereutes procynoides,Nyctereutes_procyonoides
Nyctimene rabori,Nyctimene_albiventer
Nyctophilus gouldi,Nyctophilus_gouldi
Nymphicus hollandicus,Nymphicus_hollandicus
Obis aries,Ovis_aries
Octodon degus,Octodon_degus
Odobenus rosmarus divergens,Odobenus_rosmarus
Odocoileus virginianus,Odocoileus_virginianus
Okapia johnstoni,Okapia_johnstoni
Onychognathus morio,Onychognathus_morio
Onychognathus tristramii,Onychognathus_morio
Opisthocomus hoazin,Opisthocomus_hoazin
Oryctolagus cuniculus,Oryctolagus_cuniculus
Oryx gazella,Oryx_gazella
Oryx leucoryx,Oryx_leucoryx
Osphranter rufus,Osphranter_rufus
Otus asio,Megascops_asio
Ovibos moschatus,Ovibos_moschatus
Ovis aries,Ovis_aries
Pan paniscus,Pan_paniscus
Pan troglodytes,Pan_troglodytes
Papio cynocephalus,Papio_cynocephalus
Papio hamadryas,Papio_hamadryas
Paradoxurus hermaphroditus,Paradoxurus_hermaphroditus
