"genus.species","fly","class","order","family","common.name","sum_mass","trial.diet","N_tot","total_transit","transit","avg_mass","re_class","transit_hrs","mass_kg","phylo_name"
"Trachylepis margaritifer","N","Reptilia","Squamata","Scincidae","Rainbow Skinks",37.3,"protein",15,40725,2715,2.48666666666667,"Reptiles",45.25,0.00248666666666667,"Trachylepis_margaritifera"
"Trachypithecus cristatus","N","Mammalia","Primates","Cercopithecidae","silvered leaf monkey",10800,"fruit/nectar/pollen",10,4530,453,1080,"Primates",7.55,1.08,"Trachypithecus_cristatus"
"Trachypithecus francoisi","N","Mammalia","Primates","Cercopithecidae","Francois's langur",11920,"fiber/foliage",8,7032,879,1490,"Primates",14.65,1.49,"Trachypithecus_francoisi"
"Trachypithecus obscurus","N","Mammalia","Primates","Cercopithecidae","dusky leaf monkey",12000,"fruit/nectar/pollen",4,4188,1047,3000,"Primates",17.45,3,"Trachypithecus_obscurus"
"Tragulus napu","N","Mammalia","Artiodactyla","Tragulidae","greater mouse deer",6500,"fiber/foliage",1,2940,2940,6500,"Even-toed Ungulates",49,6.5,"Tragulus_napu"
"Tremarctos ornatus","N","Mammalia","Carnivora","Ursidae","spectacled bear",130000,"fiber/foliage",2,1920,960,65000,"Carnivores",16,65,"Tremarctos_ornatus"
"Troglodytes aedon","Y","Aves","Passeriformes","Troglodytidae","house wren",11,"protein",9,72,8,1.22222222222222,"Flying Birds",0.133333333333333,0.00122222222222222,"Troglodytes_aedon"
"Turdus helleri","Y","Aves","Passeriformes","Turdidae","Thrush Species",66,"fruit/nectar/pollen",5,200,40,13.2,"Flying Birds",0.666666666666667,0.0132,"Turdus_helleri"
"Turdus merula","Y","Aves","Passeriformes","Turdidae","Common Blackbird",103,"unknown",7,413.7,59.1,14.7142857142857,"Flying Birds",0.985,0.0147142857142857,"Turdus_merula"
"Turdus migratorius","Y","Aves","Passeriformes","Turdidae","American robin",77,"fruit/nectar/pollen",10,110,11,7.7,"Flying Birds",0.183333333333333,0.0077,"Turdus_migratorius"
"Turdus migratorius","Y","Aves","Passeriformes","Turdidae","robin",150,"fruit/nectar/pollen",14,350,25,10.7142857142857,"Flying Birds",0.416666666666667,0.0107142857142857,"Turdus_migratorius"
"Turdus migratorius","Y","Aves","Passeriformes","Turdidae","American robin",77,"protein",9,171,19,8.55555555555556,"Flying Birds",0.316666666666667,0.00855555555555556,"Turdus_migratorius"
"Turdus philomelos","Y","Aves","Passeriformes","Turdidae","Song thrush",78.5,"unknown",4,242,60.5,19.625,"Flying Birds",1.00833333333333,0.019625,"Turdus_philomelos"
"Uria aalge","Y","Aves","Charadriiformes","Alcidae","common giuillemot",1856,"meat",2,101.5,50.75,928,"Flying Birds",0.845833333333333,0.928,"Uria_aalge"
"Uromacer oxyrhynchus","N","Reptilia","Squamata","Colubridae","pointed snake",0,"meat",2,5184,2592,0,"Reptiles",43.2,0,"Uromacer_oxyrhynchus"
"Ursus arctos","N","Mammalia","Carnivora","Ursidae","brown bear",340000,"fruit/nectar/pollen",6,1110,185,56666.6666666667,"Carnivores",3.08333333333333,56.6666666666667,"Ursus_arctos"
"Ursus arctos","N","Mammalia","Carnivora","Ursidae","brown bear",340000,"meat",6,2892,482,56666.6666666667,"Carnivores",8.03333333333333,56.6666666666667,"Ursus_arctos"
"Varecia editorum","N","Mammalia","Primates","Lemuridae","Black and White Ruffed Lemur",3600,"fruit/nectar/pollen",32,6233.92,194.81,112.5,"Primates",3.24683333333333,0.1125,"Varecia_variegata"
"Varecia variegata","N","Mammalia","Primates","Lemuridae","black-and-white-ruffed lemur",29782,"fiber/foliage",36,6103.8,169.55,827.277777777778,"Primates",2.82583333333333,0.827277777777778,"Varecia_variegata"
"Vespertilio murinus","Y","Mammalia","Chiroptera","Vespertilionidae","Parti-colored bat",14.3,"protein",5,510,102,2.86,"Bats",1.7,0.00286,"Vespertilio_murinus"
"Zalophus californianus","N","Mammalia","Carnivora","Otariidae","California sea lions",80000,"protein",4,1008,252,20000,"Carnivores",4.2,20,"Zalophus_californianus"
"Zosterops lateralis","Y","Aves","Passeriformes","Zosteropidae","Silvereye",31,"fruit/nectar/pollen",54,1485,27.5,0.574074074074074,"Flying Birds",0.458333333333333,0.000574074074074074,"Zosterops_lateralis"
"Zosterops pallidus","Y","Aves","Passeriformes","Zosteropidae","Cape White-eye",21.3,"fruit/nectar/pollen",20,475.5,23.775,1.065,"Flying Birds",0.39625,0.001065,"Zosterops_pallidus"
"Zosterops pallidus","Y","Aves","Passeriformes","Zosteropidae","Cape White-eye",10.19,"protein",10,117.2,11.72,1.019,"Flying Birds",0.195333333333333,0.001019,"Zosterops_pallidus"
