"genus.species","fly","class","order","family","common.name","sum_mass","trial.diet","N_tot","total_transit","transit","avg_mass","re_class","transit_hrs","mass_kg","phylo_name"
"Phyllostomus discolor","Y","Mammalia","Chiroptera","Phyllostomidae","pale spear-nosed bat",70,"fruit/nectar/pollen",12,403.2,33.6,5.83333333333333,"Bats",0.56,0.00583333333333333,"Phyllostomus_discolor"
"Phyllotis darwini","N","Mammalia","Rodentia","Cricetidae","Darwin's leaf-eared mouse",162,"fiber/foliage",12,3564,297,13.5,"Rodents",4.95,0.0135,"Phyllotis_darwini"
"Phyllotis xanthopygus","N","Mammalia","Rodentia","Cricetidae","leaf-eared mouse",111,"fiber/foliage",12,2592,216,9.25,"Rodents",3.6,0.00925,"Phyllotis_xanthopygus"
"Pipistrellus pipistrellus","Y","Mammalia","Chiroptera","Vespertilionidae","Common pipistrelle",5.1,"protein",7,483,69,0.728571428571429,"Bats",1.15,0.000728571428571429,"Pipistrellus_pipistrellus"
"Pipra mentalis","Y","Aves","Passeriformes","Pipridae","Red-capped manakin",14.2,"fruit/nectar/pollen",6,91.39999998,15.23333333,2.36666666666667,"Flying Birds",0.253888888833333,0.00236666666666667,"Pipra_fasciicauda"
"Pithecia monachus","N","Mammalia","Primates","Pitheciidae","monk saki",1900,"protein",1,1200,1200,1900,"Primates",20,1.9,"Pithecia_monachus"
"Pithecia pithecia","N","Mammalia","Primates","Pitheciidae","white-faced saki",1712.5,"fiber/foliage",4,3504,876,428.125,"Primates",14.6,0.428125,"Pithecia_pithecia"
"Plecotus auritus","Y","Mammalia","Chiroptera","Vespertilionidae","Brown long-eared bat",6.9,"protein",6,552,92,1.15,"Bats",1.53333333333333,0.00115,"Plecotus_auritus"
"Podarcis erhardii","N","Reptilia","Squamata","Lacertidae","Aegean wall lizard",5.78,"protein",47,122200,2600,0.122978723404255,"Reptiles",43.3333333333333,0.000122978723404255,"Podarcis_erhardii"
"Pogona vitticeps","N","Reptilia","Squamata","Agamidae","Bearded dragon",243.4,"protein",7,13020,1860,34.7714285714286,"Reptiles",31,0.0347714285714286,"Pogona_vitticeps"
"Pongo pygmaeus","N","Mammalia","Primates","Hominidae","Bornean Orangutan",75000,"fiber/foliage",1,1800,1800,75000,"Primates",30,75,"Pongo_pygmaeus"
"Pongo pygmaeus","N","Mammalia","Primates","Hominidae","Bornean orangutan",135140,"fiber/foliage",8,25272,3159,16892.5,"Primates",52.65,16.8925,"Pongo_pygmaeus"
"Pongo pygmaeus","N","Mammalia","Primates","Hominidae","Bornean orangutan",213891.67,"fruit/nectar/pollen",12,36228,3019,17824.3058333333,"Primates",50.3166666666667,17.8243058333333,"Pongo_pygmaeus"
"Pongo pygmaeus","N","Mammalia","Primates","Hominidae","Bornean orangutan",53000,"protein",2,4440,2220,26500,"Primates",37,26.5,"Pongo_pygmaeus"
"Prionailurus bengalensis","N","Mammalia","Carnivora","Felidae","Amur leopard cat",15900,"protein",3,6300,2100,5300,"Carnivores",35,5.3,"Prionailurus_bengalensis"
"Propithecus tattersalli","N","Mammalia","Primates","Indriidae","Golden crowned sifaka",6186,"fiber/foliage",6,7200,1200,1031,"Primates",20,1.031,"Propithecus_tattersalli"
"Propithecus verreauxi coquereli","N","Mammalia","Primates","Indriidae","Coquerel's sifaka",10772,"fiber/foliage",18,21070.8,1170.6,598.444444444444,"Primates",19.51,0.598444444444444,"Propithecus_verreauxi"
"Psittacus erithacus","Y","Aves","Psittaciformes","Psittacidae","African grey parrot",446,"unknown",8,2100,262.5,55.75,"Flying Birds",4.375,0.05575,"Psittacus_erithacus"
"Ptenochirus jagorii","Y","Mammalia","Chiroptera","Pteropodidae","Greater musky fruit bat",79.5,"fruit/nectar/pollen",5,287.5,57.5,15.9,"Bats",0.958333333333333,0.0159,"Ptenochirus_jagorii"
"Pteronotus rubiginosus","Y","Mammalia","Chiroptera","Mormoopidae","Parnell's mustached bat",24.1,"unknown",5,600,120,4.82,"Bats",2,0.00482,"Pteronotus_rubiginosus"
"Pteronura brasiliensis","N","Mammalia","Carnivora","Mustelidae","giant river otter",23000,"meat",3,563.4,187.8,7666.66666666667,"Carnivores",3.13,7.66666666666667,"Pteronura_brasiliensis"
"Pteropus alecto","Y","Mammalia","Chiroptera","Pteropodidae","Black flying fox",540,"fruit/nectar/pollen",1,30,30,540,"Bats",0.5,0.54,"Pteropus_alecto"
"Pteropus poliocephalus","Y","Mammalia","Chiroptera","Pteropodidae","Grey-headed flying fox",692,"fruit/nectar/pollen",1,28.5,28.5,692,"Bats",0.475,0.692,"Pteropus_poliocephalus"
"Pteropus rufus","Y","Mammalia","Chiroptera","Pteropodidae","Madagascan Flying Fox",625,"fruit/nectar/pollen",4,120,30,156.25,"Bats",0.5,0.15625,"Pteropus_rufus"
"Pycnonotus xanthopygos","Y","Aves","Passeriformes","Pycnonotidae","White-Spectacled Bulbul",74,"fruit/nectar/pollen",19,366.7,19.3,3.89473684210526,"Flying Birds",0.321666666666667,0.00389473684210526,"Pycnonotus_xanthopygos"
"Pycnonotus xanthopygos","Y","Aves","Passeriformes","Pycnonotidae","White-Spectacled Bulbul",37,"protein",4,77.2,19.3,9.25,"Flying Birds",0.321666666666667,0.00925,"Pycnonotus_xanthopygos"
"Pygathrix nemaeus","N","Mammalia","Primates","Cercopithecidae","red-shanked douc langur",5980,"fiber/foliage",5,5850,1170,1196,"Primates",19.5,1.196,"Pygathrix_nemaeus"
"Python molurus","N","Reptilia","Squamata","Boidae","Indian python",91000,"meat",7,352800,50400,13000,"Reptiles",840,13,"Python_molurus"
"Python regius","N","Reptilia","Squamata","Pythonidae","Ball python",3900,"unknown",18,56160,3120,216.666666666667,"Reptiles",52,0.216666666666667,"Python_regius"
"Rattus norvegicus","N","Mammalia","Rodentia","Muridae","common rat",590,"fiber/foliage",12,4752,396,49.1666666666667,"Rodents",6.6,0.0491666666666667,"Rattus_norvegicus"
"Rattus rattus","N","Mammalia","Rodentia","Muridae","rat",242,"fiber/foliage",10,450,45,24.2,"Rodents",0.75,0.0242,"Rattus_tanezumi"
"Rhea americana","N","Aves","Struthioniformes","Rheidae","greater rhea",72000,"fiber/foliage",15,5848.7818785,389.9187919,4800,"Non-Flying Birds",6.49864653166667,4.8,"Rhea_americana"
"Rhinopithecus bieti","N","Mammalia","Primates","Cercopithecidae","Snub-Nosed Monkey",11750,"fiber/foliage",3,5400,1800,3916.66666666667,"Primates",30,3.91666666666667,"Rhinopithecus_bieti"
"Rhinopithecus bieti","N","Mammalia","Primates","Cercopithecidae","Snub-Nosed Monkey",11750,"fruit/nectar/pollen",3,4680,1560,3916.66666666667,"Primates",26,3.91666666666667,"Rhinopithecus_bieti"
"Rissa tridactyla","Y","Aves","Charadriiformes","Laridae","Black-legged kittiwake",732,"meat",2,86,43,366,"Flying Birds",0.716666666666667,0.366,"Rissa_tridactyla"
"Rousettus aegyptiacus","Y","Mammalia","Chiroptera","Pteropodidae","Egyptian fruit bat",127.5,"fruit/nectar/pollen",1,20,20,127.5,"Bats",0.333333333333333,0.1275,"Rousettus_aegyptiacus"
