"","fly","class","order","family","genus.species","common.name","sum_mass","trial.diet","N_tot","total_MRT","MRT","avg_mass","re_class"
"319","N","Mammalia","Artiodactyla","Tragulidae","Tragulus javanicus","lesser mousedeer",2800,"fiber/foliage",16,38064,2379,175,"Artiodactyla"
"320","N","Mammalia","Sirenia","Trichechidae","Trichechus manatus latirostris","Florida manatee",818000,"fiber/foliage",4,46080,11520,204500,"Sirenia"
"321","N","Mammalia","Diprotodontia","Phalangeridae","Trichosurus vulpecula","silver-gray brushtail possum",10900,"fiber/foliage",10,25500,2550,1090,"Diprotodontia"
"322","N","Mammalia","Diprotodontia","Phalangeridae","Trichosurus vulpecula","brushtail possum",2850,"fiber/foliage",4,145.2,36.3,712.5,"Diprotodontia"
"323","N","Mammalia","Diprotodontia","Phalangeridae","Trichosurus vulpecula","",5700,"fiber/foliage",8,289.6,36.2,712.5,"Diprotodontia"
"324","Y","Aves","Passeriformes","Troglodytidae","Troglodytes aedon","house wren",11,"protein",9,297,33,1.22222222222222,"Flying Birds"
"325","Y","Aves","Passeriformes","Turdidae","Turdus abicollis","White-necked thrush",216,"fiber/foliage",6,43.6,7.26666666666667,36,"Flying Birds"
"326","Y","Aves","Passeriformes","Turdidae","Turdus amaurochalinus","Cream-bellied thrush",289.5,"fiber/foliage",11,253.3,23.0272727272727,26.3181818181818,"Flying Birds"
"327","Y","Aves","Passeriformes","Turdidae","Turdus leucomelas","pale-breated thresh",69.1,"fiber/foliage",1,45,45,69.1,"Flying Birds"
"328","Y","Aves","Passeriformes","Turdidae","Turdus migratorius","American robin",154,"fruit/nectar/pollen",15,400,26.6666666666667,10.2666666666667,"Flying Birds"
"329","Y","Aves","Passeriformes","Turdidae","Turdus migratorius","American robin",77,"protein",9,198,22,8.55555555555556,"Flying Birds"
"330","Y","Aves","Passeriformes","Turdidae","Turdus rufiventris","Rufous bellied thrush",66.8,"fiber/foliage",1,20,20,66.8,"Flying Birds"
"331","Y","Aves","Charadriiformes","Alcidae","Uria aalge","common guillemot",2784,"meat",21,6314.4,300.685714285714,132.571428571429,"Flying Birds"
"332","Y","Aves","Charadriiformes","Alcidae","Uria aalge","common giuillemot",1856,"meat",2,758.4,379.2,928,"Flying Birds"
"333","Y","Aves","Charadriiformes","Alcidae","Uria lomvia","brunnich's guillemot",1852,"meat",12,3567.6,297.3,154.333333333333,"Flying Birds"
"334","N","Mammalia","Rodentia","Muridae","Uromys caudimaculatus","giant white-tailed rat",1270,"fiber/foliage",2,6054,3027,635,"Rodentia"
"335","N","Mammalia","Carnivora","Ursidae","Ursus americanus","black bear",46950,"fiber/foliage",5,2070,414,9390,"Carnivora"
"336","N","Mammalia","Carnivora","Ursidae","Ursus americanus","black bear",46950,"protein",5,3870,774,9390,"Carnivora"
"337","N","Mammalia","Carnivora","Ursidae","Ursus arctos","brown bear",340000,"fruit/nectar/pollen",6,2082,347,56666.6666666667,"Carnivora"
"338","N","Mammalia","Carnivora","Ursidae","Ursus arctos","brown bear",340000,"meat",6,5220,870,56666.6666666667,"Carnivora"
"339","N","Mammalia","Carnivora","Ursidae","Ursus arctos","brown bear",89900,"fiber/foliage",3,1260,420,29966.6666666667,"Carnivora"
"340","N","Mammalia","Carnivora","Ursidae","Ursus arctos","brown bear",89900,"protein",3,2340,780,29966.6666666667,"Carnivora"
"341","N","Mammalia","Carnivora","Ursidae","Ursus thibetanus","Asiatic black bear",325000,"fruit/nectar/pollen",15,16699.5,1113.3,21666.6666666667,"Carnivora"
"342","N","Mammalia","Primates","Lemuridae","Varecia variegata","black-and-white-ruffed lemur",29782,"fiber/foliage",36,9585.6,266.266666666667,827.277777777778,"Primates"
"343","N","Mammalia","Primates","Lemuridae","Varecia variegata","Black and White Ruffed Lemur",3600,"fruit/nectar/pollen",1,264,264,3600,"Primates"
"344","Y","Mammalia","Chiroptera","Vespertilionidae","Vespertilio murinus","Parti-colored bat",14.3,"protein",5,1210,242,2.86,"Chiroptera"
"345","N","Mammalia","Diprotodontia","Vombatidae","Vombatus ursinus","common wombat",117800,"fiber/foliage",16,53520,3345,7362.5,"Diprotodontia"
"346","N","Mammalia","Carnivora","Canidae","Vulpes lagopus","arctic fox",2300,"fruit/nectar/pollen",10,11928,1192.8,230,"Carnivora"
