"","fly","class","order","family","genus.species","common.name","sum_mass","trial.diet","N_tot","total_MRT","MRT","avg_mass","re_class"
"215","N","Mammalia","Artiodactyla","Bovidae","Oryx gazella","Oryx Antelope",420000,"fiber/foliage",6,16020,2670,70000,"Artiodactyla"
"216","N","Mammalia","Artiodactyla","Bovidae","Oryx leucoryx","Arabian oryx",140000,"fiber/foliage",2,4488,2244,70000,"Artiodactyla"
"217","N","Mammalia","Diprotodontia","Macropodidae","Osphranter rufus","red kangaroo",21750,"unknown",18,26280,1460,1208.33333333333,"Diprotodontia"
"218","N","Mammalia","Diprotodontia","Macropodidae","Osphranter rufus","red kangaroo",767120,"fiber/foliage",72,109602,1522.25,10654.4444444444,"Diprotodontia"
"219","N","Mammalia","Artiodactyla","Bovidae","Ovibos moschatus","muskoxen",2280000,"fiber/foliage",32,118800,3712.5,71250,"Artiodactyla"
"220","N","Mammalia","Artiodactyla","Bovidae","Ovibos moschatus","musk ox",717000,"fiber/foliage",20,55896,2794.8,35850,"Artiodactyla"
"221","N","Mammalia","Artiodactyla","Bovidae","Ovis aries","domestic sheep",277200,"fiber/foliage",19,50580,2662.10526315789,14589.4736842105,"Artiodactyla"
"222","N","Mammalia","Artiodactyla","Bovidae","Ovis aries","Domestic Sheep",110000,"fiber/foliage",3,9720,3240,36666.6666666667,"Artiodactyla"
"223","N","Mammalia","Artiodactyla","Bovidae","Ovis aries","sheep",1293870,"fiber/foliage",92,184232,2002.52173913043,14063.8043478261,"Artiodactyla"
"224","N","Mammalia","Artiodactyla","Bovidae","Ovis aries","kazakh sheep",42000,"fiber/foliage",6,13044.917646,2174.152941,7000,"Artiodactyla"
"225","N","Mammalia","Cetartiodactyla","Bovidae","Ovis aries","domestic sheep",758088.88888,"fiber/foliage",101,194576.4,1926.49900990099,7505.8305829703,"Cetartiodactyla"
"226","N","Mammalia","Primates","Hominidae","Pan troglodytes","Chimpanzee",58400,"fruit/nectar/pollen",2,3780,1890,29200,"Primates"
"227","N","Mammalia","Carnivora","Viverridae","Paradoxurus hermaphroditus","palm civet",3500,"fiber/foliage",3,468,156,1166.66666666667,"Carnivora"
"228","N","Mammalia","Artiodactyla","Tayassuidae","Pecari tacaju","collared peccary",39000,"fiber/foliage",12,30456,2538,3250,"Artiodactyla"
"229","N","Mammalia","Peramelemorphia","Peramelidae","Perameles nasuta","long-nosed bandicoot",1590,"meat",12,12744,1062,132.5,"Peramelemorphia"
"230","N","Mammalia","Peramelemorphia","Peramelidae","Perameles nasuta","long-nosed bandicoot",1420,"fiber/foliage",8,14484,1810.5,177.5,"Peramelemorphia"
"231","Y","Aves","Accipitriformes","Accipitridae","Pernis apivorus","honey buzzard",470,"meat",1,408.6,408.6,470,"Flying Birds"
"232","N","Mammalia","Artiodactyla","Suidae","Phacochoerus africanus","warthog",2e+05,"fiber/foliage",2,78,39,1e+05,"Artiodactyla"
"233","N","Mammalia","Diprotodontia","Phalangeridae","Phalanger gymnotis","ground cuscus",5060,"fiber/foliage",12,69408,5784,421.666666666667,"Diprotodontia"
"234","N","Mammalia","Diprotodontia","Phascolarctidae","Phascolarctos cinereus","koala",11920,"fiber/foliage",32,152960,4780,372.5,"Diprotodontia"
"235","N","Mammalia","Artiodactyla","Bovidae","Philantomba maxwellii","Maxwell's duiker",9000,"fruit/nectar/pollen",6,15192,2532,1500,"Artiodactyla"
"236","N","Mammalia","Carnivora","Phocidae","Phoca groenlandica","harp seal",260000,"meat",4,2940,735,65000,"Carnivora"
"237","N","Mammalia","Carnivora","Pinnipedia","Phoca vitulina","harbour seal",177600,"meat",24,32640,1360,7400,"Carnivora"
"238","Y","Aves","Procellariiformes","Diomedeidae","Phoebetria fusca","Sooty Albatrosses",7500,"meat",15,13800,920,500,"Flying Birds"
"239","N","Mammalia","Rodentia","Cricetidae","Phyllotis darwini","Darwin's leaf-eared mouse",162,"fiber/foliage",12,6444,537,13.5,"Rodentia"
"240","N","Mammalia","Rodentia","Cricetidae","Phyllotis xanthopygus","leaf-eared mouse",111,"fiber/foliage",12,4356,363,9.25,"Rodentia"
"241","Y","Aves","Passeriformes","Contingidae","Phytotoma rara","Rufuos tailed plant-cutter",40.9,"fruit/nectar/pollen",12,727.2,60.6,3.40833333333333,"Flying Birds"
"242","Y","Aves","Passeriformes","Contingidae","Phytotoma rara","Rufuos tailed plant-cutter",40.9,"fiber/foliage",12,411.6,34.3,3.40833333333333,"Flying Birds"
"243","Y","Mammalia","Chiroptera","Vespertilionidae","Pipistrellus pipistrellus","Common pipistrelle",5.1,"protein",7,1778,254,0.728571428571429,"Chiroptera"
"244","N","Mammalia","Primates","Pitheciidae","Pithecia pithecia","white-faced saki",1712.5,"fiber/foliage",4,6150,1537.5,428.125,"Primates"
"245","Y","Mammalia","Chiroptera","Vespertilionidae","Plecotus auritus","Brown long-eared bat",6.9,"protein",6,792,132,1.15,"Chiroptera"
"246","Y","Aves","Anseriformes","Anatidae","Plectopterus gambensis","Spur-winged goose",NA,"fiber/foliage",4,1528,382,NA,"Flying Birds"
"247","Y","Aves","Anseriformes","Anatidae","Plectopterus gambensis","Spur-winged goose",NA,"protein",4,560,140,NA,"Flying Birds"
