can_fly,Class,Order,phylo_dist,Family,Genus.species,Common Name,Typical_Diet,Mass g (mean/median from study),mass-citation-if-not-from-retention-study,Food in Feeding Trial,Feeding.Trial.Food.Cat,N_individuals,N_trials,retention metric description,Minimum (min),IQR_1,Median (min),Mean (min),IQR_3,Maximum (min),SD,SE,mrt (min),mrt_sd,mrt_se,Retention.Citation,Notes,includes keywords,original submision
Y,Aves,Galliformes,637.90000000,Phasianidae,Gallus gallus domesticus,domestic chicken,omnivore,2580.20000000,https://animaldiversity.org/accounts/Gallus_gallus/,wheat bran and rice husk with marker,fiber/foliage,30,1,T0: time from feeding to first appearance of marker in feces,,,,132.00000000,,,19.00000000,,408.00000000,34.90000000,,Ferrando et al 1986,reported mean across all food types (all size varying in rice/bran/wheat husk); calculated values from results table,,Yes
Y,Aves,Galliformes,637.90000000,Phasianidae,Gallus gallus domesticus,domestic chicken,omnivore,2580.20000000,https://animaldiversity.org/accounts/Gallus_gallus/,corn-soy-vitamin mixture with chromic oxide marker,fiber/foliage,120,1,Transit time: time from feeding marker to first appearance of marker in feces,,,,192.00000000,,,3.55902608,,,,,Golian and Maurice 1992,mean across all percent supplemental fat trials (no differences calculated among them),,Yes
Y,Aves,Galliformes,637.90000000,Phasianidae,Gallus gallus domesticus,domestic chicken,omnivore,2580.20000000,https://animaldiversity.org/accounts/Gallus_gallus/,corn-soy-vitamin mixture with chromic oxide marker,fiber/foliage,35,1,Gut Passage Time: mean of eating to time of first sighting in feces,,,,193.00000000,,,,,,,,Mateo et al 1980,mean of only 0% fat diet reported since significant differences reported among diets,,Yes
Y,Aves,Galliformes,637.90000000,Phasianidae,Gallus gallus domesticus,domestic chicken,omnivore,2580.20000000,https://animaldiversity.org/accounts/Gallus_gallus/,corn-soy-vitamin mixture,fiber/foliage,16,1,Gut Passage Time: mean of eating to time of first sighting in feces,,,,191.25000000,,,6.05000000,,,,,McKenzie et al 1986,mean of gut passage time for controls at all time points (extracted data from points),,Yes
Y,Aves,Galliformes,637.90000000,Phasianidae,Gallus gallus domesticus,domestic chicken,omnivore,2580.20000000,https://animaldiversity.org/accounts/Gallus_gallus/,corn-soy-vitamin mixture with chromic oxide marker,fiber/foliage,6,1,Transit time: time from beginning of feeding to first sight of marker in feces,,,,68.80000000,,,3.75000000,,,,,Nasir et al 1999,mean reported in sham-operated (control) individuals,,Yes
N,Mammalia,Artiodactyla,188.00000000,Giraffidae,Giraffa camelopardalis,giraffe,folivore,665200.00000000,,wheat brain + Co-EDTA,fiber/foliage,12,,mean retention time,,,,,,,,,2240.40000000,236.40000000,,Przybylo et al 2019,,no,No
N,Mammalia,Artiodactyla,188.00000000,Giraffidae,Giraffa camelopardalis,giraffe,folivore,665200.00000000,,wheat brain + chromium mordanted fiber,fiber/foliage,12,,mean retention time,,,,,,,,,2319.00000000,266.40000000,,Przybylo et al 2019,,no,No
N,Mammalia,Primates,174.36960000,Lemuridae,Hapalemur griseus,Eastern lesser bamboo lemur,folivore,1050.00000000,mean of initial and final mass reported in paper,insoluble to soluble fiber diet,fiber/foliage,6,2,"TT: transit time, time from feeding to first appearance of marker in feces",,,,1816.80000000,,,81.00000000,,2801.40000000,147.00000000,,Campbell et al 2004,mean of Co and Cr values per species,,Yes
N,Reptilia,Squamata,637.90000000,Iguanidae,Iguana iguana ,Green iguana,folivore,2350.00000000,mass as reported in paper,25% weight-by-volume suspension,fiber/foliage,5,,first excretia of marker,2160.00000000,,4320.00000000,3744.00000000,,4320.00000000,870.00000000,,,,,Smith et al 2001,reported in table 2,,Yes
N,Mammalia,Peramelemorphia,320.00000000,Peramelidae,Isoodon macrourus,northern brown bandicoot,omnivore,977.50000000,mean of initial and final masses,Co-EDTA or Cr-cell walls in protein slush,fiber/foliage,5,1,transit time: time from beginning of feeding to first sight of marker in feces,,,,90.00000000,,,54.00000000,,1122.00000000,315.00000000,,McClelland et al 1999,mean of two markers presented,,Yes
