"","fly","class","order","family","genus.species","common.name","typical.diet","food.cat","mass","food","N_tot","total_transit","total_MRT","transit","MRT","re_class","transit_hrs","MRT_hrs","mass_kg","predicted_transit_mrt"
"24","N","Mammalia","Rodentia","Muridae","Meriones unguiculatus","Mongolian gerbils","folivore","fiber/foliage",51.3,"fiber/foliage",11,742.5,7227,67.5,657,"Rodents",1.125,10.95,0.0513,11.9446236080755
"25","Y","Mammalia","Chiroptera","Vespertilionidae","Pipistrellus pipistrellus","Common pipistrelle","insectivore","protein",5.1,"protein",7,483,1778,69,254,"Bats",1.15,4.23333333333333,0.0051,4.17131813029447
"26","Y","Mammalia","Chiroptera","Vespertilionidae","Plecotus auritus","Brown long-eared bat","insectivore","protein",6.9,"protein",6,552,792,92,132,"Bats",1.53333333333333,2.2,0.0069,3.72229940888148
"27","Y","Mammalia","Chiroptera","Vespertilionidae","Myotis nattereri","Natterer's bat","insectivore","protein",6.8,"protein",3,231,564,77,188,"Bats",1.28333333333333,3.13333333333333,0.0068,3.74282993927285
"28","Y","Mammalia","Chiroptera","Vespertilionidae","Myotis daubentonii","Daubenton's bat","insectivore","protein",7.6,"protein",17,1530,3094,90,182,"Bats",1.5,3.03333333333333,0.0076,3.58922200049578
"29","Y","Mammalia","Chiroptera","Vespertilionidae","Myotis bechsteinii","Bechstein's bat","insectivore","protein",8,"protein",5,475,1545,95,309,"Bats",1.58333333333333,5.15,0.008,3.52052339671351
"30","Y","Mammalia","Chiroptera","Vespertilionidae","Vespertilio murinus","Parti-colored bat","insectivore","protein",14.3,"protein",5,510,1210,102,242,"Bats",1.7,4.03333333333333,0.0143,2.8285794934897
"31","Y","Mammalia","Chiroptera","Vespertilionidae","Nyctalus leisleri","Lesser Noctule","insectivore","protein",12.5,"protein",3,612,777,204,259,"Bats",3.4,4.31666666666667,0.0125,2.9756482034708
"32","Y","Mammalia","Chiroptera","Vespertilionidae","Eptesicus serotinus","Serotine bat","insectivore","protein",23.1,"protein",5,440,870,88,174,"Bats",1.46666666666667,2.9,0.0231,2.36100103531222
"33","N","Mammalia","Rodentia","Echimyidae","Myocastor coypus","nutria","folivore","fiber/foliage",4400,"fiber/foliage",5,1740,13503,348,2700.6,"Rodents",5.8,45.01,4.4,43.9961185165106
"34","N","Mammalia","Rodentia","Caviidae","Cavia porcellus","guinea pig","folivore","fiber/foliage",1000,"fiber/foliage",3,900,5524.2,300,1841.4,"Rodents",5,30.69,1,28.5074079541454
"35","N","Mammalia","Rodentia","Echimyidae","Myocarter coypus","nutria","folivore","label-solution",4400,"label-solution",5,1500,13251,300,2650.2,"Rodents",5,44.17,4.4,43.9961185165106
"36","N","Reptilia","Testudines","Chelidae","Emydura macquarii","Australian short-necked turtle","omnivore","fiber/foliage",4000,"fiber/foliage",8,90720,127920,11340,15990,"Reptiles",189,266.5,4,179.015711600965
"37","N","Reptilia","Testudines","Chelidae","Emydura macquarii","Australian short-necked turtle","omnivore","protein",4000,"protein",8,38160,57720,4770,7215,"Reptiles",79.5,120.25,4,179.015711600965
"38","N","Mammalia","Primates","Cercopithecidae","Macaca fuscata","Japanese macaques","frugivore/nectarivore","fruit/nectar/pollen",8600,"fruit/nectar/pollen",5,6600,10800,1320,2160,"Primates",22,36,8.6,29.4996285293957
"39","N","Mammalia","Artiodactyla","Bovidae","Capra hircus","domestic goat","folivore","fiber/foliage",15300,"fiber/foliage",27,81864,81864,3032,3032,"Ungulates",50.5333333333333,50.5333333333333,15.3,42.7775758185617
"40","N","Mammalia","Artiodactyla","Bovidae","Capra hircus","domestic goat","folivore","fiber/foliage",15700,"fiber/foliage",27,81864,81864,3032,3032,"Ungulates",50.5333333333333,50.5333333333333,15.7,42.863414646372
