"","fly","class","order","family","genus.species","common.name","typical.diet","food.cat","mass","food","N_tot","total_transit","total_MRT","transit","MRT","re_class","transit_hrs","MRT_hrs","mass_kg"
"31","Y","Aves","Galliformes","Phasianidae","Gallus gallus domestics","domestic chicken","omnivore","fiber/foliage",2580.2,"fiber/foliage",233,41275.7333336,NA,177.149070101288,NA,"Flying Birds",2.95248450168813,NA,2.5802
"32","N","Mammalia","Primates","Lemuridae","Varecia variegata","black-and-white-ruffed lemur","frugivore/nectarivore","fiber/foliage",3622,"fiber/foliage",6,1423.8,2775.6,237.3,462.6,"Primates",3.955,7.71,3.622
"33","N","Mammalia","Primates","Lemuridae","Eulemur fulvus","common brown lemur ","frugivore/nectarivore","fiber/foliage",2258.6,"fiber/foliage",6,1152,3306.6,192,551.1,"Primates",3.2,9.185,2.2586
"34","N","Mammalia","Primates","Indriidae","Propithecus verreauxi coquereli ","Coquerel's sifaka","folivore","fiber/foliage",3396,"fiber/foliage",6,8830.8,12466.8,1471.8,2077.8,"Primates",24.53,34.63,3.396
"35","N","Mammalia","Primates","Lemuridae","Hapalemur griseus","Eastern lesser bamboo lemur","folivore","fiber/foliage",1050,"fiber/foliage",6,10900.8,16808.4,1816.8,2801.4,"Primates",30.28,46.69,1.05
"36","Y","Mammalia","Chiroptera","Vespertilionidae","Nyctalus noctula","Noctule","insectivore","protein",27,"protein",10,658,NA,65.8,NA,"Bats",1.09666666666667,NA,0.027
"37","Y","Mammalia","Chiroptera","Vespertilionidae","Nyctalus noctula","Noctule","insectivore","protein",27.5,"protein",10,658,NA,65.8,NA,"Bats",1.09666666666667,NA,0.0275
"38","N","Mammalia","Carnivora","Mustelidae","Lutra canadensus","Northern river otter","carnivore","protein",9500,"protein",12,2424,NA,202,NA,"Carnivores",3.36666666666667,NA,9.5
"39","N","Reptilia","Testudines","Cheloniidae","Caretta caretta","Loggerhead sea turtle","omnivore","label-solution",10187.5,"label-solution",8,204480,NA,25560,NA,"Reptiles",426,NA,10.1875
"40","Y","Aves","Accipitriformes","Accipitridae","Buteo jamaicensis","Red-tailed hawks","carnivore","label-solution",1009.5,"label-solution",9,900,NA,100,NA,"Flying Birds",1.66666666666667,NA,1.0095
"41","Y","Aves","Strigiformes","Strigidae","Srix varia","Barred owl","carnivore","label-solution",790,"label-solution",12,654.999996,NA,54.583333,NA,"Flying Birds",0.909722216666667,NA,0.79
"42","Y","Mammalia","Chiroptera","Vespertilionidae"," Nyctophilus gouldi","Gould's long-eared bat","insectivore","protein",9,"protein",36,2027.999988,NA,56.333333,NA,"Bats",0.938888883333333,NA,0.009
"43","N","Reptilia","Squamata","Agamidae","Pogona vitticeps","Bearded dragon","omnivore","label-solution",243.4,"label-solution",7,13020,NA,1860,NA,"Reptiles",31,NA,0.2434
"44","N","Mammalia","Artiodactyla","Bovidae","Bos taurus","cow","folivore","fiber/foliage",642000,"fiber/foliage",20,18922.2857144,NA,946.11428572,NA,"Ungulates",15.7685714286667,NA,642
"45","N","Mammalia","Artiodactyla","Bovidae","Bos taurus","cow","folivore","fiber/foliage",340000,"fiber/foliage",20,18922.2857144,NA,946.11428572,NA,"Ungulates",15.7685714286667,NA,340
"46","N","Mammalia","Artiodactyla","Bovidae","Bos taurus","cow","folivore","fiber/foliage",571000,"fiber/foliage",20,18922.2857144,NA,946.11428572,NA,"Ungulates",15.7685714286667,NA,571
"47","N","Mammalia","Artiodactyla","Bovidae","Bos taurus","cow","folivore","fiber/foliage",561000,"fiber/foliage",20,18922.2857144,NA,946.11428572,NA,"Ungulates",15.7685714286667,NA,561
"48","Y","Mammalia","Chiroptera","Phyllostomidae","Anoura geoffroyi","Geoffrey's tailless bat","omnivore","fruit/nectar/pollen",14.5,"fruit/nectar/pollen",22,2460,NA,111.818181818182,NA,"Bats",1.86363636363636,NA,0.0145
"49","Y","Mammalia","Chiroptera","Phyllostomidae","Anoura geoffroyi","Geoffrey's tailless bat","omnivore","fruit/nectar/pollen",14.4,"fruit/nectar/pollen",22,2460,NA,111.818181818182,NA,"Bats",1.86363636363636,NA,0.0144
"50","Y","Mammalia","Chiroptera","Phyllostomidae","Anoura geoffroyi","Geoffrey's tailless bat","omnivore","fruit/nectar/pollen",15,"fruit/nectar/pollen",22,2460,NA,111.818181818182,NA,"Bats",1.86363636363636,NA,0.015
"51","Y","Mammalia","Chiroptera","Phyllostomidae","Leptonycteris curasoae","Southern long-nosed bat","frugivore/nectarivore","fruit/nectar/pollen",23.3,"fruit/nectar/pollen",5,575,NA,115,NA,"Bats",1.91666666666667,NA,0.0233
"52","Y","Mammalia","Chiroptera","Phyllostomidae","Artibeus jamaicensis","Jamaican fruit bat","frugivore/nectarivore","fruit/nectar/pollen",39.9,"fruit/nectar/pollen",26,2921.1,NA,112.35,NA,"Bats",1.8725,NA,0.0399
"53","Y","Mammalia","Chiroptera","Phyllostomidae","Artibeus jamaicensis","Jamaican fruit bat","frugivore/nectarivore","fruit/nectar/pollen",42.1,"fruit/nectar/pollen",26,2921.1,NA,112.35,NA,"Bats",1.8725,NA,0.0421
"54","Y","Mammalia","Chiroptera","Phyllostomidae","Artibeus jamaicensis","Jamaican fruit bat","frugivore/nectarivore","fruit/nectar/pollen",38.2,"fruit/nectar/pollen",26,2921.1,NA,112.35,NA,"Bats",1.8725,NA,0.0382
"55","Y","Mammalia","Chiroptera","Phyllostomidae","Artibeus jamaicensis","Jamaican fruit bat","frugivore/nectarivore","fruit/nectar/pollen",39.7,"fruit/nectar/pollen",26,2921.1,NA,112.35,NA,"Bats",1.8725,NA,0.0397
"56","Y","Mammalia","Chiroptera","Phyllostomidae","Sturnira lilium","little yellow-shouldered bat","frugivore/nectarivore","fruit/nectar/pollen",20.3,"fruit/nectar/pollen",13,1375.4,NA,105.8,NA,"Bats",1.76333333333333,NA,0.0203
"57","Y","Mammalia","Chiroptera","Phyllostomidae","Sturnira lilium","little yellow-shouldered bat","frugivore/nectarivore","fruit/nectar/pollen",21.4,"fruit/nectar/pollen",13,1375.4,NA,105.8,NA,"Bats",1.76333333333333,NA,0.0214
"58","Y","Mammalia","Chiroptera","Phyllostomidae","Sturnira lilium","little yellow-shouldered bat","frugivore/nectarivore","fruit/nectar/pollen",20,"fruit/nectar/pollen",13,1375.4,NA,105.8,NA,"Bats",1.76333333333333,NA,0.02
"59","N","Reptilia","Testudines","Emydidae","Terrapene carolina","Florida box Turtle","omnivore","label-solution",359.5,"label-solution",11,236148,NA,21468,NA,"Reptiles",357.8,NA,0.3595
"60","N","Mammalia","Rodentia","Cricetidae","Mesocricetus auratus","hamster","folivore","fiber/foliage",105,"fiber/foliage",8,4896,NA,612,NA,"Rodents",10.2,NA,0.105
"61","N","Mammalia","Artiodactyla","Giraffidae","Okapia johnstoni","Okapi","folivore","fiber/foliage",290000,"fiber/foliage",4,4050,NA,1012.5,NA,"Ungulates",16.875,NA,290
"62","N","Mammalia","Primates","Cercopithecidae","Rhinopithecus bieti","Snub-Nosed Monkey","folivore","fruit/nectar/pollen",11750,"fruit/nectar/pollen",3,4680,6750,1560,2250,"Primates",26,37.5,11.75
"63","N","Mammalia","Primates","Cercopithecidae","Rhinopithecus bieti","Snub-Nosed Monkey","folivore","fiber/foliage",11750,"fiber/foliage",3,5400,11880,1800,3960,"Primates",30,66,11.75
"64","N","Aves","Sphenisciformes","Spheniscidae","Spheniscus demersus","African penguin","carnivore","label-solution",3100,"label-solution",12,12672,NA,1056,NA,"Non-Flying Birds",17.6,NA,3.1
"65","Y","Mammalia","Chiroptera","Mormoopidae","Pteronotus rubiginosa","Parnell's mustached bat","insectivore","label-solution",24.1,"label-solution",5,600,NA,120,NA,"Bats",2,NA,0.0241
"66","Y","Mammalia","Chiroptera","Phyllostomidae","Carollia perspicillata","Seba's short-tailed bat","frugivore/nectarivore","label-solution",17.3,"label-solution",5,600,NA,120,NA,"Bats",2,NA,0.0173
"67","Y","Mammalia","Chiroptera","Molossidae","Molossus molossus","Velvety free-tailed bat","insectivore","label-solution",10.7,"label-solution",5,600,NA,120,NA,"Bats",2,NA,0.0107
"68","N","Mammalia","Artiodactyla","Bovidae","Ovis aries","domestic sheep","folivore","fiber/foliage",43600,"fiber/foliage",14,11880,34080,848.571428571429,2434.28571428571,"Ungulates",14.1428571428571,40.5714285714286,43.6
"69","N","Mammalia","Artiodactyla","Bovidae","Ovis aries","domestic sheep","folivore","fiber/foliage",33600,"fiber/foliage",14,11880,34080,848.571428571429,2434.28571428571,"Ungulates",14.1428571428571,40.5714285714286,33.6
"70","Y","Aves","Psittaciformes","Psittacidae","Psittacus erithacus","African grey parrot","omnivore","label-solution",446,"label-solution",8,2100,NA,262.5,NA,"Flying Birds",4.375,NA,0.446
"71","N","Mammalia","Primates","Cercopithecidae","Cercopithecus ascanius","Red-tailed monkey","frugivore/nectarivore","fruit/nectar/pollen",5200,"fruit/nectar/pollen",2,2364,3264,1182,1632,"Primates",19.7,27.2,5.2
