"","fly","class","order","family","genus.species","common.name","typical.diet","food.cat","mass","food","N_tot","total_transit","total_MRT","transit","MRT","re_class","transit_hrs","MRT_hrs","mass_kg"
"121","N","Mammalia","Rodentia","Echimyidae","Myocarter coypus","nutria","folivore","label-solution",4400,"label-solution",5,1500,13251,300,2650.2,"Rodents",5,44.17,4.4
"122","N","Mammalia","Rodentia","Caviidae","Cavia porcellus","guinea pig","folivore","label-solution",1000,"label-solution",23,6539.4,NA,284.321739130435,NA,"Rodents",4.73869565217391,NA,1
"123","N","Mammalia","Rodentia","Caviidae","Cavia porcellus","guinea pig","folivore","label-solution",642,"label-solution",23,6539.4,NA,284.321739130435,NA,"Rodents",4.73869565217391,NA,0.642
"124","Y","Aves","Falconiformes","Falconidae","Caracara plancus","Southern crested caracara","carnivore","label-solution",1348,"label-solution",6,4020,NA,670,NA,"Flying Birds",11.1666666666667,NA,1.348
"125","Y","Mammalia","Chiroptera","Pteropodidae","Cynopterus sphinx","Greater short-nosed fruit bat","frugivore/nectarivore","fruit/nectar/pollen",75.3,"fruit/nectar/pollen",7,2809.8,NA,401.4,NA,"Bats",6.69,NA,0.0753
"126","N","Reptilia","Squamata","Iguanidae","Iguana iguana ","Green iguana","folivore","label-solution",2350,"label-solution",5,18720,NA,3744,NA,"Reptiles",62.4,NA,2.35
"127","N","Reptilia","Testudines","Chelidae","Emydura macquarii","Australian short-necked turtle","omnivore","fiber/foliage",4000,"fiber/foliage",8,90720,127920,11340,15990,"Reptiles",189,266.5,4
"128","N","Reptilia","Testudines","Chelidae","Emydura macquarii","Australian short-necked turtle","omnivore","protein",4000,"protein",8,38160,57720,4770,7215,"Reptiles",79.5,120.25,4
"129","N","Mammalia","Primates","Cercopithecidae","Cercopithecus albogularis schwarzi","samango monkey","frugivore/nectarivore","fruit/nectar/pollen",5350,"fruit/nectar/pollen",2,2505,NA,1252.5,NA,"Primates",20.875,NA,5.35
"130","N","Mammalia","Primates","Hominidae","Pongo pygmaeus","Orangutans","frugivore/nectarivore","fruit/nectar/pollen",72491.66667,"fruit/nectar/pollen",6,27516,NA,4586,NA,"Primates",76.4333333333333,NA,72.49166667
"131","Y","Mammalia","Chiroptera","Pteropodidae","Pteropus poliocephalus","Grey-headed flying fox","frugivore/nectarivore","fruit/nectar/pollen",692,"fruit/nectar/pollen",1,28.5,NA,28.5,NA,"Bats",0.475,NA,0.692
"132","Y","Mammalia","Chiroptera","Pteropodidae","Pteropus alecto","Black flying fox","frugivore/nectarivore","fruit/nectar/pollen",540,"fruit/nectar/pollen",1,30,NA,30,NA,"Bats",0.5,NA,0.54
"133","N","Mammalia","Artiodactyla","Camelidae","Llama glama","llama","folivore","label-solution",2500,"label-solution",6,19800,NA,3300,NA,"Ungulates",55,NA,2.5
"134","N","Mammalia","Carnivora","Mustelidae","Martes melampus","Japanese marten","omnivore","protein",1400,"protein",4,1776,NA,444,NA,"Carnivores",7.4,NA,1.4
"135","N","Mammalia","Primates","Cercopithecidae","Macaca fuscata","Japanese macaques","frugivore/nectarivore","fruit/nectar/pollen",8600,"fruit/nectar/pollen",5,6600,10800,1320,2160,"Primates",22,36,8.6
"136","Y","Mammalia","Chiroptera","Pteropodidae","Nyctimene rabori","Philippine tube-nosed fruit bat","frugivore/nectarivore","fruit/nectar/pollen",75,"fruit/nectar/pollen",3,172.5,NA,57.5,NA,"Bats",0.958333333333333,NA,0.075
"137","Y","Mammalia","Chiroptera","Pteropodidae","Ptenochirus jagori","Greater musky fruit bat","frugivore/nectarivore","fruit/nectar/pollen",79.5,"fruit/nectar/pollen",5,287.5,NA,57.5,NA,"Bats",0.958333333333333,NA,0.0795
"138","N","Reptilia","Testudines","Cheloniidae","Caretta caretta","Loggerhead sea turtle","omnivore","protein",13300,"protein",30,439344,NA,14644.8,NA,"Reptiles",244.08,NA,13.3
"139","N","Reptilia","Testudines","Cheloniidae","Caretta caretta","Loggerhead sea turtle","omnivore","protein",14380,"protein",30,439344,NA,14644.8,NA,"Reptiles",244.08,NA,14.38
"140","N","Aves","Struthioniformes","Struthionidae","Struthio camelus","Common ostrich","omnivore","label-solution",56558,"label-solution",10,10800,NA,1080,NA,"Non-Flying Birds",18,NA,56.558
"141","Y","Mammalia","Chiroptera","Pteropodidae","Epomops buettikoferi","Buettikofer's epauletted fruit bat ","frugivore/nectarivore","fruit/nectar/pollen",136,"fruit/nectar/pollen",1,69,NA,69,NA,"Bats",1.15,NA,0.136
"142","Y","Mammalia","Chiroptera","Pteropodidae","Myonycteris torquata","little collared fruit bat","frugivore/nectarivore","fruit/nectar/pollen",48,"fruit/nectar/pollen",1,28,NA,28,NA,"Bats",0.466666666666667,NA,0.048
"143","Y","Mammalia","Chiroptera","Pteropodidae","Scotonycteris zenkeri","Zenker's fruit bat","frugivore/nectarivore","fruit/nectar/pollen",20.5,"fruit/nectar/pollen",1,24,NA,24,NA,"Bats",0.4,NA,0.0205
"144","Y","Mammalia","Chiroptera","Pteropodidae","Rousettus aegyptiacus","Egyptian fruit bat","frugivore/nectarivore","fruit/nectar/pollen",127.5,"fruit/nectar/pollen",1,20,NA,20,NA,"Bats",0.333333333333333,NA,0.1275
"145","Y","Mammalia","Chiroptera","Pteropodidae","Lissonycteris angolensis","Angolan rousette","frugivore/nectarivore","fruit/nectar/pollen",58.5,"fruit/nectar/pollen",1,50,NA,50,NA,"Bats",0.833333333333333,NA,0.0585
"146","Y","Aves","Passeriformes","Pipridae","Pipra mentalis","Red-capped manakin","frugivore/nectarivore","fruit/nectar/pollen",14.2,"fruit/nectar/pollen",6,91.39999998,NA,15.23333333,NA,"Flying Birds",0.253888888833333,NA,0.0142
"147","Y","Aves","Passeriformes","Pipridae","Manacus vittelinus","golden-collared manakin","frugivore/nectarivore","fruit/nectar/pollen",17.9,"fruit/nectar/pollen",8,133.86666664,NA,16.73333333,NA,"Flying Birds",0.278888888833333,NA,0.0179
"148","N","Reptilia","Testudines","Cheloniidae","Chelonia mydas","green sea turtle","omnivore","protein",7500,"protein",13,181497.6,NA,13961.3538461538,NA,"Reptiles",232.689230769231,NA,7.5
"149","N","Reptilia","Testudines","Cheloniidae","Chelonia mydas","green sea turtle","omnivore","protein",4700,"protein",13,181497.6,NA,13961.3538461538,NA,"Reptiles",232.689230769231,NA,4.7
"150","N","Mammalia","Artiodactyla","Bovidae","Capra hircus","domestic goat","folivore","fiber/foliage",15300,"fiber/foliage",27,81864,81864,3032,3032,"Ungulates",50.5333333333333,50.5333333333333,15.3
"151","N","Mammalia","Artiodactyla","Bovidae","Capra hircus","domestic goat","folivore","fiber/foliage",15700,"fiber/foliage",27,81864,81864,3032,3032,"Ungulates",50.5333333333333,50.5333333333333,15.7
"152","N","Mammalia","Primates","Cebidae","Callithrix jacchus","common marmoset","omnivore","fruit/nectar/pollen",348,"fruit/nectar/pollen",6,1296,4896,216,816,"Primates",3.6,13.6,0.348
"153","N","Mammalia","Primates","Hominidae","Pongo pygmaeus","Bornean orangutan","frugivore/nectivore","fruit/nectar/pollen",70700,"fruit/nectar/pollen",6,8712,25002,1452,4167,"Primates",24.2,69.45,70.7
"154","N","Mammalia","Diprotodontia","Pseudocheiridae","Pseudocheirus peregrinus","common ringtail possum","folivore","fiber/foliage",700,"fiber/foliage",2,NA,5880,NA,2940,"Marsupials",NA,49,0.7
"155","N","Mammalia","Rodentia","Muridae","Uromys caudimaculatus","giant white-tailed rat","omnivore","fiber/foliage",635,"fiber/foliage",2,NA,6054,NA,3027,"Rodents",NA,50.45,0.635
"156","N","Mammalia","Rodentia","Sciuridae","Tamias amoenus","yellow-pine chipmunk","omnivore","protein",61.9,"protein",12,3420,9648,285,804,"Rodents",4.75,13.4,0.0619
"157","N","Mammalia","Rodentia","Sciuridae","Spermophilus columbianus","Columbian ground squirrel","folivore","protein",576,"protein",12,8856,16056,738,1338,"Rodents",12.3,22.3,0.576
"158","N","Mammalia","Rodentia","Sciuridae","Marmota caligata","hoary marmot","folivore","protein",2308,"protein",12,10836,19332,903,1611,"Rodents",15.05,26.85,2.308
"159","N","Mammalia","Rodentia","Cricetidae","Microtus townsendii","Townsend vole","folivore","protein",54.9,"protein",12,1224,10044,102,837,"Rodents",1.7,13.95,0.0549
"160","N","Mammalia","Diprotodontia","Phalangeridae","Phalanger gymnotis","ground cuscus","frugivore/nectivore","fiber/foliage",2530,"fiber/foliage",12,21780,69408,1815,5784,"Marsupials",30.25,96.4,2.53
"161","N","Reptilia","Squamata","Viperidae","Bitis gabonica","Gaboon viper","carnivore","",1172,"",8,1324800,NA,165600,NA,"Reptiles",2760,NA,1.172
"162","N","Reptilia","Squamata","Boidae","Corallus caninus","emerald tree boa","carnivore","",1500,"",8,292608,NA,36576,NA,"Reptiles",609.6,NA,1.5
"163","N","Reptilia","Squamata","Boidae","Python molurus","Indian python","carnivore","",91000,"",7,352800,NA,50400,NA,"Reptiles",840,NA,91
"164","N","Reptilia","Squamata","Colubridae","Elaphe obsoleta","black rat snake","carnivore","",500,"",10,37440,NA,3744,NA,"Reptiles",62.4,NA,0.5
"165","N","Reptilia","Squamata","Colubridae","Uromacer oxyrhynchus","pointed snake","carnivore","",NA,"",2,5184,NA,2592,NA,"Reptiles",43.2,NA,NA
"166","N","Reptilia","Squamata","Viperidae","Atheris nitscheri","Great Lakes bush viper","carnivore","",NA,"",3,31104,NA,10368,NA,"Reptiles",172.8,NA,NA
"167","N","Reptilia","Squamata","Viperidae","Bitis arietans","puff ader","carnivore","",945.4,"",5,212400,NA,42480,NA,"Reptiles",708,NA,0.9454
"168","N","Mammalia","Peramelemorphia","Peramelidae","Perameles nasuta","long-nosed bandicoot","omnivore","protein",795,"protein",12,5562,12744,463.5,1062,"Marsupials",7.725,17.7,0.795
"169","N","Mammalia","Peramelemorphia","Peramelidae","Perameles nasuta","long-nosed bandicoot","omnivore","fiber/foliage",710,"fiber/foliage",8,9888,14484,1236,1810.5,"Marsupials",20.6,30.175,0.71
"170","N","Mammalia","Artiodactyla","Bovidae","Tragelaphus spekii","sitatunga","folivore","fiber/foliage",50000,"fiber/foliage",8,NA,17808,NA,2226,"Ungulates",NA,37.1,50
"171","N","Mammalia","Artiodactyla","Bovidae","Tragelaphus angasii","nyala","folivore","fiber/foliage",64000,"fiber/foliage",12,NA,21636,NA,1803,"Ungulates",NA,30.05,64
"172","N","Mammalia","Artiodactyla","Bovidae","Kobus ellipsiprymnus","waterbuck","folivore","fiber/foliage",173500,"fiber/foliage",10,NA,20265,NA,2026.5,"Ungulates",NA,33.775,173.5
"173","N","Mammalia","Artiodactyla","Giraffidae","Giraffa camelopardalis","giraffe","folivore","fiber/foliage",665200,"fiber/foliage",24,NA,54712.8,NA,2279.7,"Ungulates",NA,37.995,665.2
"174","N","Mammalia","Artiodactyla","Bovidae","Bos taurus","domestic cow","folivore","fiber/foliage",680000,"fiber/foliage",4,NA,7356,NA,1839,"Ungulates",NA,30.65,680
"175","N","Mammalia","Artiodactyla","Cervidae","Alces alces","moose","folivore","fiber/foliage",280142.8571,"fiber/foliage",24,NA,48394.285716,NA,2016.4285715,"Ungulates",NA,33.6071428583333,280.1428571
"176","N","Mammalia","Artiodactyla","Bovidae","Bison bonasus","European bison","folivore","fiber/foliage",188000,"fiber/foliage",4,NA,6948,NA,1737,"Ungulates",NA,28.95,188
"177","N","Mammalia","Artiodactyla","Bovidae","Tragelaphus eurycerus","bongo","folivore","fiber/foliage",183000,"fiber/foliage",6,NA,12690,NA,2115,"Ungulates",NA,35.25,183
"178","N","Mammalia","Artiodactyla","Bovidae","Oryx leucoryx","Arabian oryx","folivore","fiber/foliage",70000,"fiber/foliage",2,NA,4488,NA,2244,"Ungulates",NA,37.4,70
"179","N","Mammalia","Artiodactyla","Bovidae","Litocranius walleri","gerenuk","folivore","fiber/foliage",37000,"fiber/foliage",2,NA,4686,NA,2343,"Ungulates",NA,39.05,37
"180","N","Mammalia","Diprotodontia","Phalangeridae","Trichosurus vulpecula","silver-gray brushtail possum","folivore","fiber/foliage",2600,"fiber/foliage",8,2784,17400,348,2175,"Marsupials",5.8,36.25,2.6
"181","N","Mammalia","Diprotodontia","Pseudocheiridae","Pseudocheirus peregrinus","ringtail possum","folivore","fiber/foliage",661,"fiber/foliage",8,3060,93600,382.5,11700,"Marsupials",6.375,195,0.661
"182","N","Mammalia","Rodentia","Cricetidae","Mesocricetus auratus","golden hamster","omnivore","fiber/foliage",105,"fiber/foliage",6,1188,3276,198,546,"Rodents",3.3,9.1,0.105
"183","N","Mammalia","Rodentia","Muridae","Rattus norvegicus","common rat","omnivore","fiber/foliage",295,"fiber/foliage",12,4752,9072,396,756,"Rodents",6.6,12.6,0.295
"184","N","Mammalia","Rodentia","Caviidae","Dolichotis patagonum","Patagonian mara","folivore","fiber/foliage",7400,"fiber/foliage",6,3600,9738,600,1623,"Rodents",10,27.05,7.4
"185","N","Mammalia","Rodentia","Caviidae","Cavia porcellus","guinea pig","folivore","",498,"",10,3000,11250,300,1125,"Rodents",5,18.75,0.498
"186","N","Mammalia","Rodentia","Octodontidae","Octodon degus","degu","folivore","",177,"",16,4944,16752,309,1047,"Rodents",5.15,17.45,0.177
"187","N","Mammalia","Rodentia","Cricetidae","Phyllotis darwini","Darwin's leaf-eared mouse","omnivore","",81,"",12,3564,6444,297,537,"Rodents",4.95,8.95,0.081
"188","N","Mammalia","Primates","Cercopithecidae","Macaca fuscata","Japanese macaque","frugivore/nectivore","",9200,"",20,NA,46875,NA,2343.75,"Primates",NA,39.0625,9.2
"189","N","Mammalia","Primates","Cercopithecidae","Macaca fuscata","Japanese macaque","frugivore/nectivore","",13600,"",20,NA,46875,NA,2343.75,"Primates",NA,39.0625,13.6
"190","N","Mammalia","Diprotodontia","Phalangeridae","Trichosurus vulpecula","silver-gray brushtail possum","folivore","",2850,"",2,NA,8100,NA,4050,"Marsupials",NA,67.5,2.85
"191","N","Aves","Struthioniformes","Struthionidae","Struthio camelus","common ostrich","omnivore","",109000,"",18,NA,33444,NA,1858,"Non-Flying Birds",NA,30.9666666666667,109
"192","N","Aves","Struthioniformes","Rheidae","Rhea americana","greater rhea","omnivore","",24000,"",15,NA,11310,NA,754,"Non-Flying Birds",NA,12.5666666666667,24
"193","N","Aves","Struthioniformes","Dromaiidae","Dromaius novaehollandiae","emu","omnivore","",33000,"",6,NA,471,NA,78.5,"Non-Flying Birds",NA,1.30833333333333,33
