fly,class,order,family,genus.species,common.name,sum_mass,typical.diet,N_tot,total_transit,total_MRT,transit,MRT,avg_mass,re_class,transit_hrs,MRT_hrs,mass_kg,phylo_name
N,Mammalia,Primates,Cercopithecidae,Cercopithecus mitis,Blue monkey,8600,frugivore/nectarivore,2,2028,3000,1014,1500,4300,Primates,16.9,25,4.3,Cercopithecus_mitis_mitis
N,Mammalia,Primates,Cercopithecidae,Cercopithecus neglectus,De Brazza's monkey,6500,frugivore/nectarivore,2,2472,4092,1236,2046,3250,Primates,20.6,34.1,3.25,Cercopithecus_neglectus
N,Mammalia,Primates,Cercopithecidae,Cercopithecus pogonias,Crested mona monkey,3300,frugivore/nectarivore,2,1992,3228,996,1614,1650,Primates,16.6,26.9,1.65,Cercopithecus_pogonias_grayi
N,Mammalia,Primates,Cercopithecidae,Cercopithecus talapoin,Talapoin monkey,1600,frugivore/nectarivore,2,1440,2016,720,1008,800,Primates,12,16.8,0.8,Cercopithecus_talapoin
N,Mammalia,Primates,Cercopithecidae,Lophocebus albigena,Gray-cheecked mangabey,5300,frugivore/nectarivore,2,2724,4560,1362,2280,2650,Primates,22.7,38,2.65,Lophocebus_albigena
N,Mammalia,Primates,Cercopithecidae,Macaca fuscata,Japanese macaque,81400,frugivore/nectarivore,25,6600,57675,264,2307,3256,Primates,4.4,38.45,3.256,Macaca_fuscata
N,Mammalia,Primates,Cercopithecidae,Rhinopithecus bieti,Snub-Nosed Monkey,23500,folivore,6,10080,18630,1680,3105,3916.666667,Primates,28,51.75,3.916666667,Rhinopithecus_bieti
N,Mammalia,Primates,Hominidae,Pan paniscus,Bonobo,39000,frugivore/nectarivore,19,27360,NA,1440,NA,2052.631579,Primates,24,NA,2.052631579,Pan_paniscus
N,Mammalia,Primates,Hominidae,Pan troglodytes,Chimpanzee,58400,omnivore,2,2784,3780,1392,1890,29200,Primates,23.2,31.5,29.2,Pan_troglodytes
N,Mammalia,Primates,Hominidae,Pongo pygmaeus,Bornean orangutan,213891.6667,frugivore/nectarivore,12,36228,25002,3019,2083.5,17824.30556,Primates,50.31666667,34.725,17.82430556,Pongo_pygmaeus
N,Mammalia,Primates,Indriidae,Propithecus verreauxi coquereli ,Coquerel's sifaka,3396,folivore,6,8830.8,12466.8,1471.8,2077.8,566,Primates,24.53,34.63,0.566,Propithecus_verreauxi_coquereli
N,Mammalia,Primates,Lemuridae,Eulemur fulvus,common brown lemur ,2258.6,frugivore/nectarivore,6,1152,3306.6,192,551.1,376.4333333,Primates,3.2,9.185,0.376433333,Eulemur_coronatus
N,Mammalia,Primates,Lemuridae,Hapalemur griseus,Eastern lesser bamboo lemur,1050,folivore,6,10900.8,16808.4,1816.8,2801.4,175,Primates,30.28,46.69,0.175,Hapalemur
N,Mammalia,Primates,Lemuridae,Varecia variegata,black-and-white-ruffed lemur,3622,frugivore/nectarivore,6,1423.8,2775.6,237.3,462.6,603.6666667,Primates,3.955,7.71,0.603666667,Varecia_variegata
N,Mammalia,Primates,Pitheciidae,Pithecia pithecia,white-faced saki,1712.5,folivore,4,3504,6150,876,1537.5,428.125,Primates,14.6,25.625,0.428125,Pithecia_pithecia
N,Mammalia,Rodentia,Caviidae,Cavia porcellus,guinea pig,5212,folivore,56,15359.4,42438.6,274.275,757.8321429,93.07142857,Rodents,4.57125,12.63053571,0.093071429,Cavia_porcellus
