genus.species,fly,class,order,family,common.name,sum_mass,typical.diet,N_tot,total_transit,transit,avg_mass,re_class,transit_hrs,mass_kg,phylo_name_old,sci_name,phylo_name
Cercopithecus mitis,N,Mammalia,Primates,Cercopithecidae,Blue monkey,8600,frugivore/nectarivore,2,2028,1014,4300,Primates,16.9,4.3,Cercopithecus_nictitans,Cercopithecus_mitis,Cercopithecus_mitis
Cercopithecus neglectus,N,Mammalia,Primates,Cercopithecidae,De Brazza's monkey,6500,frugivore/nectarivore,2,2472,1236,3250,Primates,20.6,3.25,Cercopithecus_neglectus,Cercopithecus_neglectus,Cercopithecus_neglectus
Cercopithecus pogonias,N,Mammalia,Primates,Cercopithecidae,Crested mona monkey,3300,frugivore/nectarivore,2,1992,996,1650,Primates,16.6,1.65,Cercopithecus_pogonias_grayi,Cercopithecus_pogonias,Cercopithecus_pogonias
Cercopithecus talapoin,N,Mammalia,Primates,Cercopithecidae,Talapoin monkey,1600,frugivore/nectarivore,2,1440,720,800,Primates,12,0.8,Cercopithecus_talapoin,Miopithecus_talapoin,Miopithecus_talapoin
Eulemur fulvus,N,Mammalia,Primates,Lemuridae,common brown lemur ,2258.6,frugivore/nectarivore,6,1152,192,376.4333333,Primates,3.2,0.376433333,Eulemur_coronatus,Eulemur_fulvus,Eulemur_coronatus
Hapalemur griseus,N,Mammalia,Primates,Lemuridae,Eastern lesser bamboo lemur,1050,folivore,6,10900.8,1816.8,175,Primates,30.28,0.175,Eulemur_coronatus,Hapalemur_griseus,Hapalemur_aureus
Lophocebus albigena,N,Mammalia,Primates,Cercopithecidae,Gray-cheecked mangabey,5300,frugivore/nectarivore,2,2724,1362,2650,Primates,22.7,2.65,Lophocebus_albigena,Lophocebus_albigena,Lophocebus_albigena
Macaca fuscata,N,Mammalia,Primates,Cercopithecidae,Japanese macaque,8600,frugivore/nectarivore,5,6600,1320,1720,Primates,22,1.72,Macaca_fuscata,Macaca_fuscata,Macaca_fuscata
Pan paniscus,N,Mammalia,Primates,Hominidae,Bonobo,39000,frugivore/nectarivore,19,27360,1440,2052.631579,Primates,24,2.052631579,Pan_paniscus,Pan_paniscus,Pan_paniscus
Pan troglodytes,N,Mammalia,Primates,Hominidae,Chimpanzee,58400,omnivore,2,2784,1392,29200,Primates,23.2,29.2,Pan_troglodytes,Pan_troglodytes,Pan_troglodytes
Pithecia pithecia,N,Mammalia,Primates,Pitheciidae,white-faced saki,1712.5,folivore,4,3504,876,428.125,Primates,14.6,0.428125,Pithecia_pithecia,Pithecia_pithecia,Pithecia_pithecia
Pongo pygmaeus,N,Mammalia,Primates,Hominidae,Bornean orangutan,213891.6667,frugivore/nectarivore,12,36228,3019,17824.30556,Primates,50.31666667,17.82430556,Pongo_pygmaeus,Pongo_pygmaeus,Pongo_pygmaeus
Propithecus coquereli,N,Mammalia,Primates,Indriidae,Coquerel's sifaka,3396,folivore,6,8830.8,1471.8,566,Primates,24.53,0.566,Propithecus_coquereli,Propithecus_verreauxi_coquereli,Propithecus_coquereli
Rhinopithecus bieti,N,Mammalia,Primates,Cercopithecidae,Snub-Nosed Monkey,23500,folivore,6,10080,1680,3916.666667,Primates,28,3.916666667,Rhinopithecus_bieti,Rhinopithecus_bieti,Rhinopithecus_bieti
Varecia variegata,N,Mammalia,Primates,Lemuridae,black-and-white-ruffed lemur,3622,frugivore/nectarivore,6,1423.8,237.3,603.6666667,Primates,3.955,0.603666667,Varecia_variegata,Varecia_variegata,Varecia_variegata
Atheris nitscheri,N,Reptilia,Squamata,Viperidae,Great Lakes bush viper,NA,carnivore,3,31104,10368,NA,Reptiles,172.8,NA,Atheris_nitschei,Atheris_squamigera,Atheris_squamigera
Bitis arietans,N,Reptilia,Squamata,Viperidae,puff ader,945.4,carnivore,5,212400,42480,189.08,Reptiles,708,0.18908,Bitis_arietans,Bitis_arietans,Bitis_arietans
Bitis gabonica,N,Reptilia,Squamata,Viperidae,Gaboon viper,1172,carnivore,8,1324800,165600,146.5,Reptiles,2760,0.1465,Bitis_gabonica,Bitis_gabonica,Bitis_gabonica
Caretta caretta,N,Reptilia,Testudines,Cheloniidae,Loggerhead sea turtle,37867.5,omnivore,38,643824,16942.73684,996.5131579,Reptiles,282.3789474,0.996513158,Caretta_caretta,Caretta_caretta,Caretta_caretta
Chelonia mydas,N,Reptilia,Testudines,Cheloniidae,green sea turtle,12200,omnivore,13,181497.6,13961.35385,938.4615385,Reptiles,232.6892308,0.938461538,Chelonia_mydas,Chelonia_mydas,Chelonia_mydas
Corallus caninus,N,Reptilia,Squamata,Boidae,emerald tree boa,1500,carnivore,8,292608,36576,187.5,Reptiles,609.6,0.1875,Corallus_caninus,Corallus_caninus,Corallus_caninus
Cordylus melanotus,N,Reptilia,Squamata,Cordylidae,common crag lizard,47.6,omnivore,19,164491.17,8657.43,2.505263158,Reptiles,144.2905,0.002505263,Cordylus_melanotus,Pseudocordylus_microlepidotus,Pseudocordylus_microlepidotus
Elaphe obsoleta,N,Reptilia,Squamata,Colubridae,black rat snake,500,carnivore,10,37440,3744,50,Reptiles,62.4,0.05,Elaphe_obsoleta,Pantheropis_obsoletus,Pantherophis_obsoletus
Emydura macquarii,N,Reptilia,Testudines,Chelidae,Australian short-necked turtle,8000,omnivore,16,128880,8055,500,Reptiles,134.25,0.5,Emydura_macquarii,Emydura_macquarii,Emydura_macquarii
Iguana iguana ,N,Reptilia,Squamata,Iguanidae,Green iguana,2350,folivore,5,18720,3744,470,Reptiles,62.4,0.47,Iguana_iguana,Iguana_iguana_,Iguana_iguana
Podarcis erhardii,N,Reptilia,Squamata,Lacertidae,Aegean wall lizard,5.78,carnivore,47,122200,2600,0.122978723,Reptiles,43.33333333,0.000122979,Podarcis_erhardii,Podarcis_muralis,Podarcis_erhardii
Pogona vitticeps,N,Reptilia,Squamata,Agamidae,Bearded dragon,243.4,omnivore,7,13020,1860,34.77142857,Reptiles,31,0.034771429,Pogona_vitticeps,Pogona_vitticeps,Pogona_vitticeps
Python molurus,N,Reptilia,Squamata,Boidae,Indian python,91000,carnivore,7,352800,50400,13000,Reptiles,840,13,Python_molurus,Python_molurus,Python_molurus
Python regius,N,Reptilia,Squamata,Pythonidae,Ball python,3900,carnivore,18,56160,3120,216.6666667,Reptiles,52,0.216666667,Python_regius,Python_regius,Python_regius
Stigmochelys pardalis,N,Reptilia,Testudines,Testudinidae,leopard tortoise,158177.5,folivore,12,56160,4680,13181.45833,Reptiles,78,13.18145833,Stigmochelys_pardalis,Stigmochelys_pardalis,Stigmochelys_pardalis
Terrapene carolina,N,Reptilia,Testudines,Emydidae,Florida box Turtle,359.5,omnivore,11,236148,21468,32.68181818,Reptiles,357.8,0.032681818,Terrapene_ornata,Terrapene_carolina,Terrapene_ornata
Trachemys scripta elegans,N,Reptilia,Testudines,Emydidae,Red-eared Slider Turtle,566.5,omnivore,8,59520,7440,70.8125,Reptiles,124,0.0708125,Trachemys_scripta_elegans,Trachemys_scripta_elegans,Trachemys_scripta_elegans
Trachylepis margaritifer,N,Reptilia,Squamata,Scincidae,Rainbow Skinks,37.3,carnivore,15,40725,2715,2.486666667,Reptiles,45.25,0.002486667,Trachylepis_comorensis,Trachylepis_comorensis,Trachylepis_margaritifera
Uromacer oxyrhynchus,N,Reptilia,Squamata,Colubridae,pointed snake,NA,carnivore,2,5184,2592,NA,Reptiles,43.2,NA,Uromacer_oxyrhynchus,Uromacer_oxyrhynchus,Uromacer_oxyrhynchus
Cavia porcellus,N,Mammalia,Rodentia,Caviidae,guinea pig,5212,folivore,56,15359.4,274.275,93.07142857,Rodents,4.57125,0.093071429,Cavia_porcellus,Cavia_porcellus,Cavia_porcellus
Dolichotis patagonum,N,Mammalia,Rodentia,Caviidae,Patagonian mara,14800,folivore,6,3600,600,2466.666667,Rodents,10,2.466666667,Dolichotis_patagonum,Dolichotis_patagonum,Dolichotis_patagonum
Lasiopodomys brandtii,N,Mammalia,Rodentia,Cricetidae,Brandt's vole,4.9,folivore,11,495,45,0.445454545,Rodents,0.75,0.000445455,Lasiopodomys_brandtii,Lasiopodomys_brandtii,Lasiopodomys_brandtii
Marmota caligata,N,Mammalia,Rodentia,Sciuridae,hoary marmot,4616,folivore,12,10836,903,384.6666667,Rodents,15.05,0.384666667,Marmota_caligata,Marmota_monax,Marmota_caligata
Meriones unguiculatus,N,Mammalia,Rodentia,Muridae,Mongolian gerbils,51.3,folivore,11,742.5,67.5,4.663636364,Rodents,1.125,0.004663636,Meriones_unguiculatus,Meriones_unguiculatus,Meriones_unguiculatus
Mesocricetus auratus,N,Mammalia,Rodentia,Cricetidae,hamster,210,folivore,14,6084,434.5714286,15,Rodents,7.242857143,0.015,Mesocricetus_auratus,Mesocricetus_auratus,Mesocricetus_auratus
Microtus townsendii,N,Mammalia,Rodentia,Cricetidae,Townsend vole,109.8,folivore,12,1224,102,9.15,Rodents,1.7,0.00915,Microtus_townsendii,Microtus_townsendii,Microtus_townsendii
Myocastor coypus,N,Mammalia,Rodentia,Echimyidae,nutria,8800,folivore,10,3240,324,880,Rodents,5.4,0.88,Myocastor_coypus,Myocastor_coypus,Myocastor_coypus
Octodon degus,N,Mammalia,Rodentia,Octodontidae,degu,354,folivore,16,4944,309,22.125,Rodents,5.15,0.022125,Octodon_degus,Octodon_degus,Octodon_degus
Phyllotis darwini,N,Mammalia,Rodentia,Cricetidae,Darwin's leaf-eared mouse,162,omnivore,12,3564,297,13.5,Rodents,4.95,0.0135,Phyllotis_darwini,Phyllotis_osilae,Phyllotis_magister
Rattus norvegicus,N,Mammalia,Rodentia,Muridae,common rat,590,omnivore,12,4752,396,49.16666667,Rodents,6.6,0.049166667,Rattus_norvegicus,Rattus_norvegicus,Rattus_norvegicus
Spermophilus columbianus,N,Mammalia,Rodentia,Sciuridae,Columbian ground squirrel,1152,folivore,12,8856,738,96,Rodents,12.3,0.096,Spermophilus_columbianus,Urocitellus_columbianus,Urocitellus_columbianus
Tamias amoenus,N,Mammalia,Rodentia,Sciuridae,yellow-pine chipmunk,123.8,omnivore,12,3420,285,10.31666667,Rodents,4.75,0.010316667,Tamias_amoenus,Tamias_amoenus,Tamias_amoenus
Bos taurus,N,Mammalia,Artiodactyla,Bovidae,cow,2114000,folivore,20,18922.28571,946.1142857,105700,Ungulates,15.76857143,105.7,Bos_taurus,Bos_taurus,Bos_taurus
Capra hircus,N,Mammalia,Artiodactyla,Bovidae,domestic goat,31000,folivore,27,81864,3032,1148.148148,Ungulates,50.53333333,1.148148148,Capra_hircus,Capra_hircus,Capra_hircus
Delphinapterus leucas,N,Mammalia,Artiodactyla,Monodontidae,beluga whale,718333.3333,carnivore,3,36540,12180,239444.4444,Ungulates,203,239.4444444,Delphinapterus_leucas,Delphinapterus_leucas,Delphinapterus_leucas
Lama glama,N,Mammalia,Artiodactyla,Camelidae,llama,2500,folivore,6,19800,3300,416.6666667,Ungulates,55,0.416666667,Lama_glama,Lama_glama,Lama_glama
Okapia johnstoni,N,Mammalia,Artiodactyla,Giraffidae,Okapi,290000,folivore,4,4050,1012.5,72500,Ungulates,16.875,72.5,Okapia_johnstoni,Okapia_johnstoni,Okapia_johnstoni
Ovis aries,N,Mammalia,Artiodactyla,Bovidae,domestic sheep,77200,folivore,14,11880,848.5714286,5514.285714,Ungulates,14.14285714,5.514285714,Ovis_aries,Ovis_aries,Ovis_aries
Sus scrofa,N,Mammalia,Artiodactyla,Suidae,pig,507000,omnivore,30,43630.8,1454.36,16900,Ungulates,24.23933333,16.9,Sus_scrofa,Sus_scrofa,Sus_scrofa
